#    wave[microns]        norm_trans
      1.284000E+00      0.000000E+00
      1.285000E+00      0.000000E+00
      1.286000E+00      0.000000E+00
      1.287000E+00      0.000000E+00
      1.288000E+00      0.000000E+00
      1.289000E+00      0.000000E+00
      1.315000E+00      5.916350E-08
      1.341000E+00      1.271000E-07
      1.368000E+00      0.000000E+00
      1.397000E+00      0.000000E+00
      1.418000E+00      1.710650E-05
      1.440000E+00      5.110740E-04
      1.462000E+00      2.765820E-03
      1.478000E+00      8.088270E-03
      1.486000E+00      2.873560E-02
      1.493000E+00      8.711470E-02
      1.504000E+00      2.014490E-01
      1.515000E+00      4.381590E-01
      1.528000E+00      6.863570E-01
      1.539000E+00      8.180760E-01
      1.546000E+00      8.820730E-01
      1.551000E+00      9.118250E-01
      1.556000E+00      9.268720E-01
      1.565000E+00      9.292880E-01
      1.572000E+00      8.727470E-01
      1.577000E+00      8.566190E-01
      1.583000E+00      8.825560E-01
      1.592000E+00      9.180840E-01
      1.597000E+00      9.266540E-01
      1.602000E+00      9.075940E-01
      1.613000E+00      9.259740E-01
      1.619000E+00      9.204960E-01
      1.628000E+00      9.241980E-01
      1.633000E+00      9.235330E-01
      1.642000E+00      9.417880E-01
      1.648000E+00      9.491340E-01
      1.657000E+00      9.806580E-01
      1.659000E+00      9.937440E-01
      1.671000E+00      1.000000E+00
      1.684000E+00      9.560520E-01
      1.701000E+00      9.241160E-01
      1.715000E+00      9.821200E-01
      1.727000E+00      9.915890E-01
      1.739000E+00      9.886830E-01
      1.746000E+00      9.791680E-01
      1.751000E+00      9.681840E-01
      1.753000E+00      9.370400E-01
      1.756000E+00      9.189980E-01
      1.764000E+00      8.422640E-01
      1.775000E+00      6.671110E-01
      1.785000E+00      2.694020E-01
      1.790000E+00      4.516300E-01
      1.796000E+00      1.730620E-01
      1.803000E+00      1.077260E-01
      1.810000E+00      7.070030E-02
      1.813000E+00      5.109450E-03
      1.818000E+00      1.997050E-02
      1.828000E+00      3.919340E-04
      1.835000E+00      1.530530E-06
      1.850000E+00      5.945810E-05
      1.871000E+00      0.000000E+00
      1.893000E+00      3.050880E-05
      1.914000E+00      0.000000E+00
      1.915000E+00      0.000000E+00
      1.916000E+00      0.000000E+00
      1.917000E+00      0.000000E+00
      1.918000E+00      0.000000E+00
      1.919000E+00      0.000000E+00
