#    wave[microns]        norm_trans
 2.09890E+00   0.00000E+00
 2.09900E+00   0.00000E+00
 2.09910E+00   0.00000E+00
 2.09920E+00   0.00000E+00
 2.09930E+00   0.00000E+00
 2.09940E+00   4.04500E-02
 2.09950E+00   3.41500E-02
 2.09960E+00   2.38800E-02
 2.09970E+00   3.38000E-02
 2.09980E+00   3.04600E-02
 2.09990E+00   4.01800E-02
 2.10000E+00   5.91900E-02
 2.10010E+00   4.30300E-02
 2.10020E+00   2.87000E-02
 2.10030E+00   3.52000E-02
 2.10040E+00   3.52000E-02
 2.10050E+00   2.50400E-02
 2.10060E+00   4.16400E-02
 2.10070E+00   3.51100E-02
 2.10080E+00   1.95200E-02
 2.10090E+00   2.99400E-02
 2.10100E+00   2.65500E-02
 2.10110E+00   3.31300E-02
 2.10120E+00   3.66200E-02
 2.10130E+00   4.64900E-02
 2.10140E+00   3.33700E-02
 2.10150E+00   3.32000E-02
 2.10160E+00   3.62400E-02
 2.10170E+00   3.60400E-02
 2.10180E+00   4.25100E-02
 2.10190E+00   3.27000E-02
 2.10200E+00   3.81900E-02
 2.10210E+00   3.18900E-02
 2.10220E+00   3.83000E-02
 2.10230E+00   3.20000E-02
 2.10240E+00   4.01900E-02
 2.10250E+00   4.23400E-02
 2.10260E+00   4.23600E-02
 2.10270E+00   5.85000E-02
 2.10280E+00   5.51800E-02
 2.10290E+00   5.83000E-02
 2.10300E+00   4.56200E-02
 2.10310E+00   5.17600E-02
 2.10320E+00   3.41600E-02
 2.10330E+00   1.85900E-02
 2.10340E+00   2.76500E-02
 2.10350E+00   1.97400E-02
 2.10360E+00   1.10300E-02
 2.10370E+00   1.33800E-02
 2.10380E+00   1.92100E-02
 2.10390E+00   2.11600E-02
 2.10400E+00   1.84800E-02
 2.10410E+00   3.29600E-02
 2.10420E+00   2.62300E-02
 2.10430E+00   2.56200E-02
 2.10440E+00   3.98400E-02
 2.10450E+00   2.87800E-02
 2.10460E+00   3.38400E-02
 2.10470E+00   3.73700E-02
 2.10480E+00   5.91300E-02
 2.10490E+00   5.91300E-02
 2.10500E+00   6.89700E-02
 2.10510E+00   6.75200E-02
 2.10520E+00   6.20100E-02
 2.10530E+00   6.76000E-02
 2.10540E+00   6.88300E-02
 2.10550E+00   6.34500E-02
 2.10560E+00   5.89100E-02
 2.10570E+00   7.11700E-02
 2.10580E+00   6.57800E-02
 2.10590E+00   6.65300E-02
 2.10600E+00   6.76400E-02
 2.10610E+00   7.08600E-02
 2.10620E+00   8.32700E-02
 2.10630E+00   9.64200E-02
 2.10640E+00   9.87900E-02
 2.10650E+00   8.23500E-02
 2.10660E+00   7.24600E-02
 2.10670E+00   7.22500E-02
 2.10680E+00   8.21800E-02
 2.10690E+00   8.23100E-02
 2.10700E+00   6.70300E-02
 2.10710E+00   7.50100E-02
 2.10720E+00   7.43400E-02
 2.10730E+00   8.34500E-02
 2.10740E+00   9.71400E-02
 2.10750E+00   1.03620E-01
 2.10760E+00   9.68000E-02
 2.10770E+00   1.04000E-01
 2.10780E+00   1.10670E-01
 2.10790E+00   9.31400E-02
 2.10800E+00   8.99800E-02
 2.10810E+00   8.34800E-02
 2.10820E+00   8.25300E-02
 2.10830E+00   7.59000E-02
 2.10840E+00   7.91600E-02
 2.10850E+00   7.82000E-02
 2.10860E+00   8.10700E-02
 2.10870E+00   9.00600E-02
 2.10880E+00   8.72700E-02
 2.10890E+00   9.05600E-02
 2.10900E+00   9.39300E-02
 2.10910E+00   1.04580E-01
 2.10920E+00   9.78900E-02
 2.10930E+00   9.54400E-02
 2.10940E+00   9.51700E-02
 2.10950E+00   1.13170E-01
 2.10960E+00   1.23200E-01
 2.10970E+00   1.30230E-01
 2.10980E+00   1.42500E-01
 2.10990E+00   1.35860E-01
 2.11000E+00   1.54020E-01
 2.11010E+00   1.64900E-01
 2.11020E+00   1.80310E-01
 2.11030E+00   1.60060E-01
 2.11040E+00   1.65830E-01
 2.11050E+00   1.64520E-01
 2.11060E+00   1.62260E-01
