#    wave[microns]        norm_trans
 1.14600E+00   0.00000E+00
 1.14620E+00   0.00000E+00
 1.14640E+00   0.00000E+00
 1.14660E+00   0.00000E+00
 1.14680E+00   0.00000E+00
 1.14700E+00   2.23000E-03
 1.14720E+00   2.30000E-03
 1.14740E+00   2.38000E-03
 1.14760E+00   2.58000E-03
 1.14780E+00   2.52000E-03
 1.14800E+00   2.58000E-03
 1.14820E+00   2.78000E-03
 1.14840E+00   2.88000E-03
 1.14860E+00   2.91000E-03
 1.14880E+00   3.13000E-03
 1.14900E+00   3.20000E-03
 1.14920E+00   3.25000E-03
 1.14940E+00   3.33000E-03
 1.14960E+00   3.40000E-03
 1.14980E+00   3.51000E-03
 1.15000E+00   3.65000E-03
 1.15020E+00   3.85000E-03
 1.15040E+00   4.12000E-03
 1.15060E+00   4.32000E-03
 1.15080E+00   4.50000E-03
 1.15100E+00   4.79000E-03
 1.15120E+00   5.11000E-03
 1.15140E+00   5.25000E-03
 1.15160E+00   5.39000E-03
 1.15180E+00   5.46000E-03
 1.15200E+00   5.66000E-03
 1.15220E+00   5.80000E-03
 1.15240E+00   6.01000E-03
 1.15260E+00   6.26000E-03
 1.15280E+00   6.53000E-03
 1.15300E+00   6.62000E-03
 1.15320E+00   6.85000E-03
 1.15340E+00   7.00000E-03
 1.15360E+00   7.11000E-03
 1.15380E+00   7.37000E-03
 1.15400E+00   7.54000E-03
 1.15420E+00   7.69000E-03
 1.15440E+00   7.97000E-03
 1.15460E+00   8.27000E-03
 1.15480E+00   8.67000E-03
 1.15500E+00   8.96000E-03
 1.15520E+00   9.17000E-03
 1.15540E+00   9.55000E-03
 1.15560E+00   9.89000E-03
 1.15580E+00   1.03100E-02
 1.15600E+00   1.07400E-02
 1.15620E+00   1.12200E-02
 1.15640E+00   1.16700E-02
 1.15660E+00   1.20800E-02
 1.15680E+00   1.25600E-02
 1.15700E+00   1.29700E-02
 1.15720E+00   1.35800E-02
 1.15740E+00   1.42200E-02
 1.15760E+00   1.47100E-02
 1.15780E+00   1.52300E-02
 1.15800E+00   1.57900E-02
 1.15820E+00   1.64800E-02
 1.15840E+00   1.71800E-02
 1.15860E+00   1.79100E-02
 1.15880E+00   1.86200E-02
 1.15900E+00   1.92600E-02
 1.15920E+00   1.99600E-02
 1.15940E+00   2.07100E-02
 1.15960E+00   2.15500E-02
 1.15980E+00   2.24500E-02
 1.16000E+00   2.33500E-02
 1.16020E+00   2.42900E-02
 1.16040E+00   2.52100E-02
 1.16060E+00   2.61800E-02
 1.16080E+00   2.72100E-02
 1.16100E+00   2.83700E-02
 1.16120E+00   2.95000E-02
 1.16140E+00   3.07300E-02
 1.16160E+00   3.19700E-02
 1.16180E+00   3.32800E-02
 1.16200E+00   3.47000E-02
 1.16220E+00   3.61600E-02
 1.16240E+00   3.77700E-02
 1.16260E+00   3.94100E-02
 1.16280E+00   4.09700E-02
 1.16300E+00   4.27600E-02
