#    wave[microns]        norm_trans
 1.92000E+00   0.00000E+00
 1.92050E+00   0.00000E+00
 1.92100E+00   0.00000E+00
 1.92150E+00   0.00000E+00
 1.92200E+00   0.00000E+00
 1.92250E+00  -1.16700E-02
 1.92300E+00  -1.16700E-02
 1.92350E+00  -1.13100E-02
 1.92400E+00  -9.32000E-03
 1.92450E+00  -7.31000E-03
 1.92500E+00  -7.63000E-03
 1.92550E+00  -5.62000E-03
 1.92600E+00  -4.62000E-03
 1.92650E+00  -3.62000E-03
 1.92700E+00  -2.29000E-03
 1.92750E+00  -2.29000E-03
 1.92800E+00  -2.93000E-03
 1.92850E+00  -4.20000E-03
 1.92900E+00  -4.21000E-03
 1.92950E+00  -4.21000E-03
 1.93000E+00  -2.93000E-03
 1.93050E+00  -2.29000E-03
 1.93100E+00  -1.95000E-03
 1.93150E+00  -1.30000E-03
 1.93200E+00  -3.22000E-03
 1.93250E+00  -2.27000E-03
 1.93300E+00  -2.91000E-03
 1.93350E+00  -3.22000E-03
 1.93400E+00  -5.45000E-03
 1.93450E+00  -6.09000E-03
 1.93500E+00  -5.43000E-03
 1.93550E+00  -6.38000E-03
 1.93600E+00  -5.40000E-03
 1.93650E+00  -6.03000E-03
 1.93700E+00  -6.65000E-03
 1.93750E+00  -6.33000E-03
 1.93800E+00  -5.39000E-03
 1.93850E+00  -6.01000E-03
 1.93900E+00  -6.94000E-03
 1.93950E+00  -4.75000E-03
 1.94000E+00  -4.75000E-03
 1.94050E+00  -2.55000E-03
 1.94100E+00  -1.59000E-03
 1.94150E+00  -1.28000E-03
 1.94200E+00  -3.14000E-03
 1.94250E+00  -1.91000E-03
 1.94300E+00  -1.91000E-03
 1.94350E+00  -2.53000E-03
 1.94400E+00  -1.57000E-03
 1.94450E+00  -2.50000E-03
 1.94500E+00  -1.88000E-03
 1.94550E+00  -2.79000E-03
 1.94600E+00  -9.20000E-04
 1.94650E+00  -9.30000E-04
 1.94700E+00   6.00000E-04
 1.94750E+00   1.48000E-03
 1.94800E+00   1.50000E-03
 1.94850E+00   3.10000E-04
 1.94900E+00   9.00000E-04
 1.94950E+00   8.90000E-04
 1.95000E+00   1.19000E-03
 1.95050E+00   8.70000E-04
 1.95100E+00   1.46000E-03
 1.95150E+00   8.50000E-04
 1.95200E+00   2.04000E-03
 1.95250E+00   4.14000E-03
 1.95300E+00   5.02000E-03
 1.95350E+00   6.77000E-03
 1.95400E+00   9.11000E-03
 1.95450E+00   9.11000E-03
 1.95500E+00   9.09000E-03
 1.95550E+00   8.79000E-03
 1.95600E+00   8.74000E-03
 1.95650E+00   1.01500E-02
 1.95700E+00   1.09700E-02
 1.95750E+00   1.09700E-02
 1.95800E+00   1.05600E-02
 1.95850E+00   1.19600E-02
 1.95900E+00   1.22100E-02
 1.95950E+00   1.53400E-02
 1.96000E+00   1.75300E-02
 1.96050E+00   1.77900E-02
 1.96100E+00   1.83000E-02
 1.96150E+00   2.05400E-02
 1.96200E+00   2.16100E-02
 1.96250E+00   2.46400E-02
 1.96300E+00   2.82000E-02
 1.96350E+00   2.94200E-02
 1.96400E+00   3.05000E-02
 1.96450E+00   3.42700E-02
 1.96500E+00   3.72600E-02
 1.96550E+00   4.01900E-02
 1.96600E+00   4.39900E-02
 1.96650E+00   4.55500E-02
 1.96700E+00   4.70700E-02
 1.96750E+00   5.10300E-02
 1.96800E+00   5.49900E-02
 1.96850E+00   5.78600E-02
 1.96900E+00   6.17500E-02
 1.96950E+00   6.54100E-02
 1.97000E+00   7.00800E-02
 1.97050E+00   7.61600E-02
 1.97100E+00   8.23700E-02
 1.97150E+00   8.84200E-02
 1.97200E+00   9.46200E-02
 1.97250E+00   9.99100E-02
 1.97300E+00   1.07640E-01
 1.97350E+00   1.15860E-01
 1.97400E+00   1.23350E-01
 1.97450E+00   1.31640E-01
 1.97500E+00   1.41170E-01
 1.97550E+00   1.49830E-01
 1.97600E+00   1.60230E-01
 1.97650E+00   1.72330E-01
 1.97700E+00   1.83550E-01
 1.97750E+00   1.95140E-01
 1.97800E+00   2.07730E-01
 1.97850E+00   2.20630E-01
 1.97900E+00   2.35110E-01
 1.97950E+00   2.50210E-01
 1.98000E+00   2.64830E-01
 1.98050E+00   2.80320E-01
 1.98100E+00   2.97730E-01
 1.98150E+00   3.15480E-01
 1.98200E+00   3.34290E-01
 1.98250E+00   3.52620E-01
 1.98300E+00   3.70640E-01
 1.98350E+00   3.90090E-01
 1.98400E+00   4.12770E-01
 1.98450E+00   4.34270E-01
 1.98500E+00   4.53090E-01
 1.98550E+00   4.73570E-01
 1.98600E+00   4.95350E-01
 1.98650E+00   5.17580E-01
 1.98700E+00   5.39280E-01
 1.98750E+00   5.61170E-01
 1.98800E+00   5.80580E-01
 1.98850E+00   6.01260E-01
 1.98900E+00   6.22940E-01
 1.98950E+00   6.42820E-01
 1.99000E+00   6.61410E-01
 1.99050E+00   6.79780E-01
 1.99100E+00   6.97250E-01
 1.99150E+00   7.12460E-01
 1.99200E+00   7.28380E-01
 1.99250E+00   7.41390E-01
 1.99300E+00   7.55190E-01
 1.99350E+00   7.68830E-01
 1.99400E+00   7.81920E-01
 1.99450E+00   7.93900E-01
 1.99500E+00   8.05370E-01
 1.99550E+00   8.18160E-01
 1.99600E+00   8.29760E-01
 1.99650E+00   8.39980E-01
 1.99700E+00   8.49550E-01
 1.99750E+00   8.56190E-01
 1.99800E+00   8.61650E-01
 1.99850E+00   8.66710E-01
 1.99900E+00   8.72740E-01
 1.99950E+00   8.77060E-01
 2.00000E+00   8.81070E-01
 2.00050E+00   8.86640E-01
 2.00100E+00   8.90820E-01
 2.00150E+00   8.96610E-01
 2.00200E+00   9.01150E-01
 2.00250E+00   9.05560E-01
 2.00300E+00   9.08190E-01
 2.00350E+00   9.10660E-01
 2.00400E+00   9.12690E-01
 2.00450E+00   9.15880E-01
 2.00500E+00   9.17040E-01
 2.00550E+00   9.19390E-01
 2.00600E+00   9.23430E-01
 2.00650E+00   9.25140E-01
