#    wave[microns]        norm_trans
      2.996000E-01      0.000000E+00
      2.997000E-01      0.000000E+00
      2.998000E-01      0.000000E+00
      2.999000E-01      0.000000E+00
      3.000000E-01      2.191961E-37
      3.001000E-01      5.117867E-14
      3.002000E-01      1.027926E-13
      3.003000E-01      1.548449E-13
      3.004000E-01      2.073319E-13
      3.005000E-01      2.602623E-13
      3.006000E-01      3.136339E-13
      3.007000E-01      3.674461E-13
      3.008000E-01      4.217026E-13
      3.009000E-01      4.764084E-13
      3.010000E-01      5.315579E-13
      3.011000E-01      5.894472E-13
      3.012000E-01      6.482116E-13
      3.013000E-01      7.078598E-13
      3.014000E-01      7.683885E-13
      3.015000E-01      8.298066E-13
      3.016000E-01      8.921178E-13
      3.017000E-01      9.553201E-13
      3.018000E-01      1.019429E-12
      3.019000E-01      1.084437E-12
      3.020000E-01      1.150355E-12
      3.021000E-01      1.215973E-12
      3.022000E-01      1.282384E-12
      3.023000E-01      1.349602E-12
      3.024000E-01      1.417610E-12
      3.025000E-01      1.486436E-12
      3.026000E-01      1.556045E-12
      3.027000E-01      1.626507E-12
      3.028000E-01      1.697784E-12
      3.029000E-01      1.769841E-12
      3.030000E-01      1.842747E-12
      3.031000E-01      1.918098E-12
      3.032000E-01      1.994428E-12
      3.033000E-01      2.071687E-12
      3.034000E-01      2.149893E-12
      3.035000E-01      2.229020E-12
      3.036000E-01      2.309143E-12
      3.037000E-01      2.390196E-12
      3.038000E-01      2.472208E-12
      3.039000E-01      2.555215E-12
      3.040000E-01      2.639146E-12
      3.041000E-01      2.717016E-12
      3.042000E-01      2.795508E-12
      3.043000E-01      2.874563E-12
      3.044000E-01      2.954257E-12
      3.045000E-01      3.034562E-12
      3.046000E-01      3.115467E-12
      3.047000E-01      3.197001E-12
      3.048000E-01      3.279137E-12
      3.049000E-01      3.361908E-12
      3.050000E-01      3.445285E-12
      3.051000E-01      3.541944E-12
      3.052000E-01      3.639746E-12
      3.053000E-01      3.738743E-12
      3.054000E-01      3.838859E-12
      3.055000E-01      3.940178E-12
      3.056000E-01      4.042672E-12
      3.057000E-01      4.146361E-12
      3.058000E-01      4.251185E-12
      3.059000E-01      4.357228E-12
      3.060000E-01      4.464446E-12
      3.061000E-01      4.558166E-12
      3.062000E-01      4.652507E-12
      3.063000E-01      4.747551E-12
      3.064000E-01      4.843269E-12
      3.065000E-01      4.939644E-12
      3.066000E-01      5.036697E-12
      3.067000E-01      5.134444E-12
      3.068000E-01      5.232871E-12
      3.069000E-01      5.331997E-12
      3.070000E-01      5.431756E-12
      3.071000E-01      5.511332E-12
      3.072000E-01      5.590974E-12
      3.073000E-01      5.670598E-12
      3.074000E-01      5.750304E-12
      3.075000E-01      5.830005E-12
      3.076000E-01      5.909752E-12
      3.077000E-01      5.989493E-12
      3.078000E-01      6.069313E-12
      3.079000E-01      6.149159E-12
      3.080000E-01      6.228961E-12
      3.081000E-01      6.287308E-12
      3.082000E-01      6.345089E-12
      3.083000E-01      6.402283E-12
      3.084000E-01      6.458869E-12
      3.085000E-01      6.514879E-12
      3.086000E-01      6.570275E-12
      3.087000E-01      6.625069E-12
      3.088000E-01      6.679308E-12
      3.089000E-01      6.732889E-12
      3.090000E-01      6.785874E-12
      3.091000E-01      6.813495E-12
      3.092000E-01      6.839925E-12
      3.093000E-01      6.865107E-12
      3.094000E-01      6.889083E-12
      3.095000E-01      6.911768E-12
      3.096000E-01      6.933238E-12
      3.097000E-01      6.953453E-12
      3.098000E-01      6.972393E-12
      3.099000E-01      6.990067E-12
      3.100000E-01      7.006470E-12
      3.101000E-01      7.000074E-12
      3.102000E-01      6.991904E-12
      3.103000E-01      6.982001E-12
      3.104000E-01      6.970313E-12
      3.105000E-01      6.956907E-12
      3.106000E-01      6.941688E-12
      3.107000E-01      6.924738E-12
      3.108000E-01      6.905993E-12
      3.109000E-01      6.885447E-12
      3.110000E-01      6.863107E-12
      3.111000E-01      6.817817E-12
      3.112000E-01      6.770281E-12
      3.113000E-01      6.720461E-12
      3.114000E-01      6.668377E-12
      3.115000E-01      6.613981E-12
      3.116000E-01      6.557317E-12
      3.117000E-01      6.498350E-12
      3.118000E-01      6.437071E-12
      3.119000E-01      6.373485E-12
      3.120000E-01      6.307536E-12
      3.121000E-01      6.236598E-12
      3.122000E-01      6.163266E-12
      3.123000E-01      6.087509E-12
      3.124000E-01      6.009340E-12
      3.125000E-01      5.928739E-12
      3.126000E-01      5.845698E-12
      3.127000E-01      5.760199E-12
      3.128000E-01      5.672232E-12
      3.129000E-01      5.581819E-12
      3.130000E-01      5.488922E-12
      3.131000E-01      5.404008E-12
      3.132000E-01      5.316818E-12
      3.133000E-01      5.227365E-12
      3.134000E-01      5.135631E-12
      3.135000E-01      5.041611E-12
      3.136000E-01      4.945281E-12
      3.137000E-01      4.846666E-12
      3.138000E-01      4.745743E-12
      3.139000E-01      4.642499E-12
      3.140000E-01      4.536933E-12
      3.141000E-01      4.466026E-12
      3.142000E-01      4.393378E-12
      3.143000E-01      4.318989E-12
      3.144000E-01      4.242847E-12
      3.145000E-01      4.164947E-12
      3.146000E-01      4.085271E-12
      3.147000E-01      4.003837E-12
      3.148000E-01      3.920622E-12
      3.149000E-01      3.835627E-12
      3.150000E-01      3.748857E-12
      3.151000E-01      3.721235E-12
      3.152000E-01      3.692791E-12
      3.153000E-01      3.663527E-12
      3.154000E-01      3.633424E-12
      3.155000E-01      3.602475E-12
      3.156000E-01      3.570697E-12
      3.157000E-01      3.538070E-12
      3.158000E-01      3.504609E-12
      3.159000E-01      3.470298E-12
      3.160000E-01      3.435144E-12
      3.161000E-01      3.535806E-12
      3.162000E-01      3.637605E-12
      3.163000E-01      3.740572E-12
      3.164000E-01      3.844696E-12
      3.165000E-01      3.949980E-12
      3.166000E-01      4.056422E-12
      3.167000E-01      4.164029E-12
      3.168000E-01      4.272809E-12
      3.169000E-01      4.382754E-12
      3.170000E-01      4.493880E-12
      3.171000E-01      4.916993E-12
      3.172000E-01      5.345566E-12
      3.173000E-01      5.779601E-12
      3.174000E-01      6.219107E-12
      3.175000E-01      6.664122E-12
      3.176000E-01      7.114634E-12
      3.177000E-01      7.570664E-12
      3.178000E-01      8.032235E-12
      3.179000E-01      8.499340E-12
