#    wave[microns]        norm_trans
 2.97502E-01   0.00000E+00
 2.98001E-01   0.00000E+00
 2.98501E-01   0.00000E+00
 2.99001E-01   0.00000E+00
 2.99500E-01   0.00000E+00
 3.00000E-01   3.10185E-04
 3.00500E-01   2.82073E-04
 3.01000E-01   3.19457E-04
 3.01500E-01   3.17355E-04
 3.02000E-01   3.12528E-04
 3.02500E-01   3.17415E-04
 3.03000E-01   2.74101E-04
 3.03500E-01   2.93882E-04
 3.04000E-01   3.11929E-04
 3.04500E-01   3.60179E-04
 3.05000E-01   2.83414E-04
 3.05500E-01   2.93058E-04
 3.06000E-01   3.11472E-04
 3.06500E-01   2.96848E-04
 3.07000E-01   2.74714E-04
 3.07500E-01   2.90749E-04
 3.08000E-01   3.29958E-04
 3.08500E-01   2.94996E-04
 3.09000E-01   2.97046E-04
 3.09500E-01   3.14391E-04
 3.10000E-01   3.16566E-04
 3.10500E-01   3.40309E-04
 3.11000E-01   3.15640E-04
 3.11500E-01   2.84460E-04
 3.12000E-01   3.03620E-04
 3.12500E-01   3.40218E-04
 3.13000E-01   3.34387E-04
 3.13500E-01   2.78206E-04
 3.14000E-01   3.02357E-04
 3.14500E-01   3.05902E-04
 3.15000E-01   3.44778E-04
 3.15500E-01   3.16448E-04
 3.16000E-01   3.33097E-04
 3.16500E-01   3.37337E-04
 3.17000E-01   2.96850E-04
 3.17500E-01   2.90741E-04
 3.18000E-01   3.53774E-04
 3.18500E-01   2.79091E-04
 3.19000E-01   3.16669E-04
 3.19500E-01   3.23798E-04
 3.20000E-01   3.11756E-04
 3.20500E-01   3.12980E-04
 3.21000E-01   3.18305E-04
 3.21500E-01   3.68897E-04
 3.22000E-01   3.20600E-04
 3.22500E-01   3.29258E-04
 3.23000E-01   3.36983E-04
 3.23500E-01   3.17274E-04
 3.24000E-01   3.27120E-04
 3.24500E-01   3.25662E-04
 3.25000E-01   3.59763E-04
 3.25500E-01   3.28208E-04
 3.26000E-01   3.10010E-04
 3.26500E-01   3.54487E-04
 3.27000E-01   3.32703E-04
 3.27500E-01   2.81481E-04
 3.28000E-01   3.48335E-04
 3.28500E-01   3.47097E-04
 3.29000E-01   3.14539E-04
 3.29500E-01   3.04838E-04
 3.30000E-01   3.42356E-04
 3.30500E-01   3.09768E-04
 3.31000E-01   3.17517E-04
 3.31500E-01   3.20191E-04
 3.32000E-01   3.16353E-04
 3.32500E-01   3.16284E-04
 3.33000E-01   2.83205E-04
 3.33500E-01   3.84052E-04
 3.34000E-01   3.56324E-04
 3.34500E-01   2.64304E-04
 3.35000E-01   2.77877E-04
 3.35500E-01   3.53124E-04
 3.36000E-01   3.21113E-04
 3.36500E-01   3.05280E-04
 3.37000E-01   3.61497E-04
 3.37500E-01   3.09245E-04
 3.38000E-01   3.15237E-04
 3.38500E-01   3.42047E-04
 3.39000E-01   3.11660E-04
 3.39500E-01   3.15623E-04
 3.40000E-01   3.39275E-04
 3.40500E-01   3.54709E-04
 3.41000E-01   2.95805E-04
 3.41500E-01   3.45698E-04
 3.42000E-01   3.04302E-04
 3.42500E-01   3.32998E-04
 3.43000E-01   3.21169E-04
 3.43500E-01   3.15459E-04
 3.44000E-01   3.33717E-04
 3.44500E-01   2.99246E-04
 3.45000E-01   2.99725E-04
 3.45500E-01   3.72694E-04
 3.46000E-01   3.33937E-04
 3.46500E-01   3.10381E-04
 3.47000E-01   3.13462E-04
 3.47500E-01   3.55704E-04
 3.48000E-01   3.27772E-04
 3.48500E-01   3.11302E-04
 3.49000E-01   3.41461E-04
 3.49500E-01   2.90622E-04
 3.50000E-01   2.93552E-04
 3.50500E-01   3.41225E-04
 3.51000E-01   3.27517E-04
 3.51500E-01   3.56422E-04
 3.52000E-01   3.24995E-04
 3.52500E-01   3.28967E-04
 3.53000E-01   3.24140E-04
 3.53500E-01   3.36086E-04
 3.54000E-01   3.18515E-04
 3.54500E-01   3.34798E-04
 3.55000E-01   3.54863E-04
 3.55500E-01   3.16521E-04
 3.56000E-01   3.25630E-04
 3.56500E-01   3.24953E-04
 3.57000E-01   2.98552E-04
 3.57500E-01   3.38360E-04
 3.58000E-01   3.15272E-04
 3.58500E-01   2.92817E-04
 3.59000E-01   3.56332E-04
 3.59500E-01   3.48974E-04
 3.60000E-01   2.69988E-04
 3.60500E-01   3.56116E-04
 3.61000E-01   3.81168E-04
 3.61500E-01   3.23440E-04
 3.62000E-01   3.61171E-04
 3.62500E-01   3.45808E-04
 3.63000E-01   2.89374E-04
 3.63500E-01   3.16549E-04
 3.64000E-01   3.72433E-04
