#    wave[microns]        norm_trans
 8.88889E+02   5.51537E-04
 8.92857E+02   5.63580E-04
 8.96861E+02   6.43183E-04
 9.00901E+02   7.42261E-04
 9.04977E+02   8.25433E-04
 9.09091E+02   8.59625E-04
 9.13242E+02   8.23219E-04
 9.17431E+02   8.51285E-04
 9.21659E+02   9.43948E-04
 9.25926E+02   1.00039E-03
 9.30233E+02   1.01786E-03
 9.34579E+02   1.11450E-03
 9.38967E+02   1.26761E-03
 9.43396E+02   1.38284E-03
 9.47867E+02   1.34782E-03
 9.52381E+02   1.32909E-03
 9.56938E+02   1.57080E-03
 9.61538E+02   1.73065E-03
 9.66184E+02   1.79871E-03
 9.70874E+02   1.86401E-03
 9.75610E+02   1.92648E-03
 9.80392E+02   1.95145E-03
 9.85222E+02   2.00815E-03
 9.90099E+02   2.10416E-03
 9.95025E+02   2.40797E-03
 1.00000E+03   2.89241E-03
 1.00503E+03   1.87489E-03
 1.01010E+03   2.02785E-03
 1.01523E+03   1.99242E-03
 1.02041E+03   2.06922E-03
 1.02564E+03   2.38958E-03
 1.03093E+03   2.50208E-03
 1.03627E+03   2.48186E-03
 1.04167E+03   2.71391E-03
 1.04712E+03   3.14412E-03
 1.05263E+03   3.43641E-03
 1.05820E+03   3.69388E-03
 1.06383E+03   4.05122E-03
 1.06952E+03   4.57888E-03
 1.07527E+03   5.07029E-03
 1.08108E+03   5.70114E-03
 1.08696E+03   6.68058E-03
 1.09290E+03   8.07401E-03
 1.09890E+03   9.85545E-03
 1.10231E+03   1.14749E-02
 1.10436E+03   1.13390E-02
 1.10642E+03   1.00947E-02
 1.10849E+03   8.45341E-03
 1.11057E+03   8.16696E-03
 1.11265E+03   1.01281E-02
 1.11474E+03   1.17433E-02
 1.11684E+03   1.32201E-02
 1.11895E+03   1.50844E-02
 1.12106E+03   1.77467E-02
 1.12319E+03   2.11868E-02
 1.12532E+03   2.72676E-02
 1.12746E+03   3.98044E-02
 1.12960E+03   5.75273E-02
 1.13176E+03   6.66526E-02
 1.13392E+03   6.48618E-02
 1.13610E+03   6.52348E-02
 1.13828E+03   7.29254E-02
 1.14047E+03   8.52242E-02
 1.14266E+03   9.59131E-02
 1.14487E+03   9.74917E-02
 1.14708E+03   9.22897E-02
 1.14931E+03   8.62062E-02
 1.15154E+03   9.22838E-02
 1.15378E+03   1.11011E-01
 1.15603E+03   1.33747E-01
 1.15829E+03   1.57891E-01
 1.16055E+03   1.68014E-01
 1.16283E+03   1.74385E-01
 1.16511E+03   1.84135E-01
 1.16741E+03   2.24384E-01
 1.16971E+03   2.98872E-01
 1.17202E+03   3.45829E-01
 1.17434E+03   3.27054E-01
 1.17667E+03   3.01602E-01
 1.17901E+03   3.27466E-01
 1.18136E+03   4.05622E-01
 1.18372E+03   4.94463E-01
 1.18609E+03   5.26907E-01
 1.18846E+03   4.98484E-01
 1.19085E+03   4.80132E-01
 1.19324E+03   5.07942E-01
 1.19565E+03   5.43163E-01
 1.19807E+03   5.48775E-01
 1.20049E+03   5.73552E-01
 1.20293E+03   5.93425E-01
 1.20537E+03   5.58053E-01
 1.20783E+03   4.90912E-01
 1.21029E+03   4.71851E-01
 1.21277E+03   5.37749E-01
 1.21525E+03   6.45683E-01
 1.21775E+03   7.38301E-01
 1.22025E+03   7.72991E-01
 1.22277E+03   7.58525E-01
 1.22529E+03   7.32144E-01
 1.22783E+03   7.42429E-01
