#    wave[microns]        norm_trans
      6.020000E-01      0.000000E+00
      6.120000E-01      0.000000E+00
      6.220000E-01      0.000000E+00
      6.320000E-01      0.000000E+00
      6.420000E-01      0.000000E+00
      6.520000E-01      4.688850E-04
      6.620000E-01      7.674960E-04
      6.720000E-01      6.488570E-03
      6.820000E-01      7.111230E-02
      6.920000E-01      2.593420E-01
      7.020000E-01      4.292010E-01
      7.120000E-01      4.829010E-01
      7.220000E-01      4.686520E-01
      7.320000E-01      4.663800E-01
      7.420000E-01      4.560200E-01
      7.520000E-01      4.434580E-01
      7.620000E-01      2.867810E-01
      7.720000E-01      4.015190E-01
      7.820000E-01      3.835550E-01
      7.920000E-01      3.694170E-01
      8.020000E-01      3.640260E-01
      8.120000E-01      3.398300E-01
      8.220000E-01      1.875730E-01
      8.320000E-01      2.421730E-02
      8.420000E-01      3.254120E-03
      8.520000E-01      1.271550E-03
      8.620000E-01      0.000000E+00
      8.720000E-01      0.000000E+00
      8.820000E-01      0.000000E+00
      8.920000E-01      0.000000E+00
      9.020000E-01      0.000000E+00
