#    wave[microns]        norm_trans
      2.520000E-01      0.000000E+00
      2.620000E-01      0.000000E+00
      2.720000E-01      0.000000E+00
      2.820000E-01      0.000000E+00
      2.920000E-01      0.000000E+00
      3.020000E-01      1.937110E-06
      3.120000E-01      1.901910E-03
      3.220000E-01      4.046060E-02
      3.320000E-01      7.772560E-02
      3.370000E-01      9.075990E-02
      3.420000E-01      1.027410E-01
      3.470000E-01      1.120430E-01
      3.520000E-01      1.213160E-01
      3.570000E-01      1.213690E-01
      3.620000E-01      1.178180E-01
      3.620000E-01      1.180060E-01
      3.670000E-01      1.275880E-01
      3.720000E-01      1.280140E-01
      3.770000E-01      1.160070E-01
      3.820000E-01      9.056650E-02
      3.870000E-01      5.545940E-02
      3.920000E-01      2.555760E-02
      4.020000E-01      1.717200E-03
      4.120000E-01      4.793670E-04
      4.220000E-01      0.000000E+00
      4.320000E-01      0.000000E+00
      4.420000E-01      0.000000E+00
      4.520000E-01      0.000000E+00
      4.620000E-01      0.000000E+00
