#    wave[microns]        norm_trans
      3.600000E+00      0.000000E+00
      3.610000E+00      0.000000E+00
      3.620000E+00      0.000000E+00
      3.630000E+00      0.000000E+00
      3.640000E+00      0.000000E+00
      3.722490E+00      1.201000E-03
      3.725160E+00      1.099000E-03
      3.727840E+00      1.117000E-03
      3.730520E+00      1.213000E-03
      3.733210E+00      1.211000E-03
      3.735900E+00      1.253000E-03
      3.738590E+00      1.231000E-03
      3.741290E+00      1.209000E-03
      3.743990E+00      1.237000E-03
      3.746690E+00      1.197000E-03
      3.749400E+00      1.128000E-03
      3.752120E+00      1.091000E-03
      3.754830E+00      1.037000E-03
      3.757550E+00      9.560000E-04
      3.760280E+00      8.580000E-04
      3.763010E+00      7.170000E-04
      3.765740E+00      6.020000E-04
      3.768480E+00      5.780000E-04
      3.771220E+00      5.870000E-04
      3.773960E+00      4.740000E-04
      3.776710E+00      3.770000E-04
      3.779460E+00      3.170000E-04
      3.782220E+00      2.330000E-04
      3.784980E+00      2.300000E-04
      3.787750E+00      1.570000E-04
      3.790510E+00      2.280000E-04
      3.793290E+00      4.240000E-04
      3.796060E+00      4.740000E-04
      3.798840E+00      5.630000E-04
      3.801630E+00      6.330000E-04
      3.804420E+00      4.510000E-04
      3.807210E+00      4.640000E-04
      3.810010E+00      8.500000E-04
      3.812810E+00      9.420000E-04
      3.815620E+00      8.120000E-04
      3.818430E+00      1.039000E-03
      3.821240E+00      1.136000E-03
      3.824060E+00      1.040000E-03
      3.826880E+00      1.322000E-03
      3.829710E+00      1.361000E-03
      3.832540E+00      1.194000E-03
      3.835370E+00      1.184000E-03
      3.838210E+00      1.108000E-03
      3.841050E+00      1.127000E-03
      3.843900E+00      1.191000E-03
      3.846750E+00      1.142000E-03
      3.849610E+00      1.138000E-03
      3.852470E+00      9.460000E-04
      3.855330E+00      9.720000E-04
      3.858200E+00      1.021000E-03
      3.861070E+00      7.730000E-04
      3.863950E+00      6.930000E-04
      3.866830E+00      6.470000E-04
      3.869720E+00      5.230000E-04
      3.872610E+00      4.510000E-04
      3.875500E+00      3.660000E-04
      3.878400E+00      3.980000E-04
