#    wave[microns]        norm_trans
      9.913400E+00      0.000000E+00
      9.932800E+00      0.000000E+00
      9.952200E+00      0.000000E+00
      9.971600E+00      0.000000E+00
      9.991000E+00      0.000000E+00
      1.001040E+01      1.490000E-03
      1.002980E+01      7.250000E-03
      1.004920E+01      2.020000E-03
      1.006870E+01      2.220000E-03
      1.008830E+01      0.000000E+00
      1.010800E+01      1.320000E-03
      1.012770E+01      0.000000E+00
      1.014750E+01      2.070000E-03
      1.016740E+01      3.220000E-03
      1.018740E+01      2.710000E-03
      1.020740E+01      2.780000E-03
      1.022760E+01      2.680000E-03
      1.024780E+01      1.150000E-03
      1.026810E+01      0.000000E+00
      1.028850E+01      5.370000E-04
      1.030890E+01      3.570000E-04
      1.032940E+01      3.270000E-03
      1.035010E+01      2.630000E-03
      1.037080E+01      1.640000E-03
      1.039160E+01      3.030000E-03
      1.041240E+01      3.020000E-03
      1.043340E+01      1.650000E-03
      1.045440E+01      2.040000E-03
      1.047550E+01      3.780000E-03
      1.049670E+01      1.500000E-03
      1.051800E+01      2.480000E-04
      1.053940E+01      1.650000E-03
      1.056090E+01      0.000000E+00
      1.058240E+01      0.000000E+00
      1.060410E+01      0.000000E+00
      1.062580E+01      0.000000E+00
      1.064760E+01      0.000000E+00
      1.066950E+01      0.000000E+00
      1.069150E+01      0.000000E+00
      1.071360E+01      0.000000E+00
      1.073580E+01      0.000000E+00
      1.075810E+01      0.000000E+00
      1.078040E+01      1.290000E-03
      1.080290E+01      1.490000E-03
      1.082540E+01      3.450000E-03
      1.084810E+01      2.740000E-03
      1.087080E+01      1.190000E-03
      1.089370E+01      8.790000E-04
      1.091660E+01      0.000000E+00
      1.093960E+01      0.000000E+00
      1.096280E+01      0.000000E+00
      1.098600E+01      0.000000E+00
      1.100930E+01      0.000000E+00
      1.103270E+01      0.000000E+00
      1.105630E+01      3.970000E-04
      1.107990E+01      2.770000E-03
      1.110360E+01      2.920000E-03
      1.112740E+01      0.000000E+00
      1.115140E+01      0.000000E+00
      1.117540E+01      0.000000E+00
      1.119950E+01      0.000000E+00
      1.122380E+01      0.000000E+00
      1.124810E+01      1.180000E-03
      1.127260E+01      2.110000E-04
      1.129710E+01      0.000000E+00
      1.132180E+01      0.000000E+00
      1.134660E+01      0.000000E+00
      1.137150E+01      0.000000E+00
      1.139650E+01      0.000000E+00
      1.142150E+01      6.140000E-04
      1.144680E+01      1.070000E-03
      1.147210E+01      2.130000E-03
      1.149750E+01      2.680000E-03
      1.152310E+01      3.670000E-03
      1.154870E+01      5.110000E-03
      1.157450E+01      3.460000E-03
      1.160040E+01      1.680000E-03
      1.162640E+01      2.400000E-03
      1.165260E+01      8.590000E-04
      1.167880E+01      5.260000E-04
      1.170520E+01      4.270000E-04
      1.173160E+01      9.440000E-04
      1.175820E+01      0.000000E+00
      1.178500E+01      0.000000E+00
      1.181180E+01      0.000000E+00
      1.183880E+01      0.000000E+00
      1.186590E+01      0.000000E+00
      1.189310E+01      1.030000E-03
      1.192040E+01      3.170000E-03
      1.194790E+01      2.190000E-03
      1.197550E+01      2.530000E-03
      1.200320E+01      3.040000E-03
      1.203110E+01      5.170000E-03
      1.205900E+01      5.600000E-03
      1.208710E+01      7.410000E-03
      1.211540E+01      2.600000E-03
      1.214380E+01      1.380000E-03
      1.217230E+01      0.000000E+00
      1.220090E+01      0.000000E+00
      1.222970E+01      0.000000E+00
      1.225860E+01      0.000000E+00
      1.228760E+01      2.350000E-03
      1.231680E+01      7.330000E-03
      1.234620E+01      8.070000E-03
      1.237560E+01      7.210000E-03
      1.240520E+01      7.200000E-03
      1.243500E+01      6.030000E-03
      1.246490E+01      4.520000E-03
      1.249490E+01      4.410000E-03
      1.252510E+01      5.980000E-03
      1.255540E+01      4.870000E-03
      1.258590E+01      7.130000E-03
      1.261650E+01      1.230000E-02
      1.264730E+01      1.640000E-02
      1.267820E+01      2.590000E-02
      1.270930E+01      3.220000E-02
      1.274050E+01      3.860000E-02
      1.277190E+01      5.190000E-02
      1.280340E+01      7.570000E-02
      1.283510E+01      1.130000E-01
      1.286700E+01      1.770000E-01
      1.289900E+01      2.280000E-01
      1.293110E+01      2.760000E-01
      1.296350E+01      3.160000E-01
      1.299600E+01      3.900000E-01
      1.302860E+01      5.060000E-01
      1.306140E+01      6.490000E-01
      1.309440E+01      8.580000E-01
      1.312760E+01      1.050000E+00
      1.316090E+01      1.280000E+00
      1.319440E+01      1.490000E+00
      1.322800E+01      1.710000E+00
      1.326190E+01      1.890000E+00
      1.329590E+01      2.000000E+00
      1.333000E+01      2.090000E+00
      1.336440E+01      2.140000E+00
      1.339890E+01      2.130000E+00
      1.343360E+01      2.100000E+00
      1.346850E+01      2.140000E+00
      1.350360E+01      2.180000E+00
      1.353890E+01      2.260000E+00
      1.357430E+01      2.340000E+00
      1.360990E+01      2.550000E+00
      1.364570E+01      2.690000E+00
      1.368170E+01      2.780000E+00
      1.371790E+01      2.800000E+00
      1.375430E+01      2.850000E+00
      1.379090E+01      2.770000E+00
      1.382770E+01      2.760000E+00
      1.386470E+01      2.770000E+00
      1.390180E+01      2.810000E+00
      1.393920E+01      2.820000E+00
      1.397680E+01      2.850000E+00
      1.401460E+01      2.850000E+00
      1.405250E+01      2.840000E+00
      1.409070E+01      2.820000E+00
      1.412910E+01      2.790000E+00
      1.416770E+01      2.750000E+00
      1.420650E+01      2.750000E+00
      1.424560E+01      2.750000E+00
      1.428480E+01      2.770000E+00
      1.432430E+01      2.770000E+00
      1.436400E+01      2.780000E+00
      1.440380E+01      2.810000E+00
      1.444400E+01      2.820000E+00
      1.448430E+01      2.780000E+00
      1.452490E+01      2.810000E+00
      1.456570E+01      2.840000E+00
      1.460670E+01      2.870000E+00
      1.464800E+01      2.890000E+00
      1.468950E+01      2.930000E+00
      1.473120E+01      2.960000E+00
      1.477320E+01      2.940000E+00
      1.481540E+01      2.940000E+00
      1.485780E+01      2.910000E+00
      1.490050E+01      2.860000E+00
      1.494350E+01      2.770000E+00
      1.498670E+01      2.710000E+00
      1.503010E+01      2.650000E+00
      1.507380E+01      2.610000E+00
      1.511770E+01      2.560000E+00
      1.516190E+01      2.500000E+00
      1.520640E+01      2.450000E+00
      1.525110E+01      2.390000E+00
      1.529610E+01      2.350000E+00
      1.534140E+01      2.320000E+00
      1.538690E+01      2.280000E+00
      1.543270E+01      2.260000E+00
      1.547870E+01      2.250000E+00
      1.552510E+01      2.270000E+00
      1.557170E+01      2.360000E+00
      1.561860E+01      2.450000E+00
      1.566580E+01      2.510000E+00
      1.571330E+01      2.580000E+00
      1.576100E+01      2.670000E+00
      1.580910E+01      2.670000E+00
      1.585740E+01      2.640000E+00
      1.590610E+01      2.610000E+00
      1.595500E+01      2.590000E+00
      1.600430E+01      2.540000E+00
      1.605380E+01      2.490000E+00
      1.610370E+01      2.460000E+00
      1.615380E+01      2.410000E+00
      1.620430E+01      2.360000E+00
      1.625510E+01      2.320000E+00
      1.630620E+01      2.290000E+00
      1.635770E+01      2.280000E+00
      1.640940E+01      2.300000E+00
      1.646150E+01      2.320000E+00
      1.651400E+01      2.330000E+00
      1.656670E+01      2.330000E+00
      1.661980E+01      2.340000E+00
      1.667330E+01      2.340000E+00
      1.672710E+01      2.340000E+00
      1.678120E+01      2.320000E+00
      1.683570E+01      2.290000E+00
      1.689050E+01      2.280000E+00
      1.694570E+01      2.270000E+00
      1.700130E+01      2.260000E+00
      1.705720E+01      2.280000E+00
      1.711350E+01      2.330000E+00
      1.717020E+01      2.350000E+00
      1.722720E+01      2.310000E+00
      1.728460E+01      2.350000E+00
      1.734240E+01      2.420000E+00
      1.740060E+01      2.430000E+00
      1.745920E+01      2.490000E+00
      1.751820E+01      2.500000E+00
      1.757760E+01      2.500000E+00
      1.763740E+01      2.490000E+00
      1.769750E+01      2.380000E+00
      1.775820E+01      2.280000E+00
      1.781920E+01      2.240000E+00
      1.788060E+01      2.220000E+00
      1.794250E+01      2.230000E+00
      1.800480E+01      2.210000E+00
      1.806750E+01      2.180000E+00
      1.813070E+01      2.190000E+00
      1.819430E+01      2.240000E+00
      1.825840E+01      2.210000E+00
      1.832290E+01      2.190000E+00
      1.838790E+01      2.250000E+00
      1.845330E+01      2.210000E+00
      1.851920E+01      2.080000E+00
      1.858560E+01      1.880000E+00
      1.865250E+01      1.570000E+00
      1.871980E+01      1.180000E+00
      1.878760E+01      8.010000E-01
      1.885590E+01      5.000000E-01
      1.892480E+01      2.820000E-01
      1.899410E+01      1.660000E-01
      1.906390E+01      9.650000E-02
      1.913430E+01      6.020000E-02
      1.920510E+01      3.900000E-02
      1.927650E+01      2.730000E-02
      1.934850E+01      1.510000E-02
      1.942090E+01      5.710000E-03
      1.949390E+01      0.000000E+00
      1.956750E+01      0.000000E+00
      1.964160E+01      2.210000E-03
      1.971630E+01      7.940000E-03
      1.979160E+01      1.030000E-02
      1.986740E+01      1.070000E-02
      1.994380E+01      9.760000E-03
      2.002080E+01      4.960000E-03
      2.009840E+01      0.000000E+00
      2.017660E+01      0.000000E+00
      2.025540E+01      3.700000E-05
      2.033480E+01      0.000000E+00
      2.041490E+01      0.000000E+00
      2.049560E+01      0.000000E+00
      2.057690E+01      0.000000E+00
      2.065890E+01      1.430000E-03
      2.074160E+01      3.440000E-03
      2.082480E+01      4.680000E-03
      2.090880E+01      1.070000E-02
      2.099350E+01      1.080000E-02
      2.107880E+01      5.850000E-03
      2.116480E+01      5.710000E-03
      2.125160E+01      3.950000E-03
      2.133900E+01      1.080000E-03
      2.142720E+01      5.750000E-04
      2.151610E+01      2.350000E-04
      2.160580E+01      0.000000E+00
      2.169620E+01      0.000000E+00
      2.178730E+01      0.000000E+00
      2.187930E+01      0.000000E+00
      2.197200E+01      0.000000E+00
      2.206550E+01      0.000000E+00
      2.215980E+01      0.000000E+00
      2.225490E+01      0.000000E+00
      2.235080E+01      0.000000E+00
      2.244750E+01      2.930000E-03
      2.254520E+01      5.140000E-03
      2.264360E+01      3.850000E-03
      2.274290E+01      3.100000E-04
      2.284310E+01      7.190000E-04
      2.294420E+01      6.130000E-04
      2.304610E+01      0.000000E+00
      2.314910E+01      0.000000E+00
      2.325280E+01      0.000000E+00
      2.335760E+01      0.000000E+00
      2.346330E+01      0.000000E+00
      2.357000E+01      0.000000E+00
      2.367750E+01      0.000000E+00
      2.378620E+01      0.000000E+00
      2.389580E+01      0.000000E+00
      2.400640E+01      0.000000E+00
      2.411810E+01      4.880000E-04
      2.423080E+01      0.000000E+00
      2.434450E+01      0.000000E+00
      2.445940E+01      0.000000E+00
      2.457530E+01      3.670000E-03
      2.469230E+01      0.000000E+00
      2.481040E+01      0.000000E+00
      2.492980E+01      0.000000E+00
      2.505020E+01      0.000000E+00
      2.517180E+01      0.000000E+00
      2.529460E+01      1.290000E-03
      2.541850E+01      3.510000E-03
      2.554380E+01      4.860000E-03
      2.567020E+01      3.070000E-03
      2.579790E+01      4.080000E-03
      2.592690E+01      1.860000E-03
      2.605720E+01      0.000000E+00
      2.618880E+01      2.480000E-03
      2.632170E+01      0.000000E+00
      2.645600E+01      0.000000E+00
      2.659170E+01      0.000000E+00
      2.672880E+01      2.980000E-03
      2.686730E+01      8.260000E-03
      2.700720E+01      3.010000E-02
      2.714860E+01      5.580000E-02
      2.729150E+01      9.160000E-02
      2.743590E+01      1.270000E-01
      2.758180E+01      1.520000E-01
      2.772930E+01      1.590000E-01
      2.787840E+01      1.460000E-01
      2.802910E+01      1.200000E-01
      2.818140E+01      8.790000E-02
      2.833540E+01      5.970000E-02
      2.849120E+01      3.790000E-02
      2.864850E+01      2.270000E-02
      2.880770E+01      1.370000E-02
      2.896860E+01      1.010000E-02
      2.913130E+01      1.090000E-02
      2.929600E+01      1.380000E-02
      2.946240E+01      2.270000E-02
      2.963080E+01      3.370000E-02
      2.980100E+01      4.150000E-02
      2.997330E+01      4.010000E-02
      3.014750E+01      3.590000E-02
      3.032390E+01      2.800000E-02
      3.050220E+01      1.800000E-02
      3.068280E+01      9.930000E-03
      3.086530E+01      5.860000E-03
      3.105020E+01      3.670000E-03
      3.123720E+01      2.510000E-03
      3.142660E+01      2.010000E-03
      3.161820E+01      1.790000E-03
      3.181220E+01      1.620000E-03
      3.200850E+01      1.380000E-03
      3.220740E+01      1.150000E-03
      3.240860E+01      1.060000E-03
      3.261250E+01      1.070000E-03
      3.281880E+01      1.060000E-03
      3.302790E+01      8.800000E-04
      3.323960E+01      7.000000E-04
      3.345410E+01      5.650000E-04
      3.367130E+01      4.970000E-04
      3.389140E+01      3.870000E-04
      3.411430E+01      2.340000E-04
      3.434030E+01      1.040000E-04
      3.456920E+01      2.100000E-05
      3.480130E+01      0.000000E+00
      3.503630E+01      0.000000E+00
      3.527130E+01      0.000000E+00
      3.550630E+01      0.000000E+00
      3.574130E+01      0.000000E+00
      3.597630E+01      0.000000E+00
      3.621130E+01      0.000000E+00
