#    wave[microns]        norm_trans
 3.27369E-01   0.00000E+00
 3.27895E-01   0.00000E+00
 3.28421E-01   0.00000E+00
 3.28948E-01   0.00000E+00
 3.29474E-01   0.00000E+00
 3.30000E-01   7.43827E-04
 3.30530E-01   7.29325E-04
 3.31050E-01   8.67675E-04
 3.31580E-01   6.79670E-04
 3.32110E-01   7.50800E-04
 3.32640E-01   5.99762E-04
 3.33160E-01   7.39235E-04
 3.33690E-01   6.14550E-04
 3.34220E-01   5.38785E-04
 3.34750E-01   6.15628E-04
 3.35270E-01   6.01282E-04
 3.35800E-01   6.45500E-04
 3.36330E-01   5.62410E-04
 3.36850E-01   5.54522E-04
 3.37380E-01   6.05235E-04
 3.37910E-01   3.90998E-04
 3.38440E-01   5.22515E-04
 3.38960E-01   4.59022E-04
 3.39490E-01   4.94985E-04
 3.40020E-01   4.88795E-04
 3.40540E-01   3.80237E-04
 3.41070E-01   3.92015E-04
 3.41600E-01   4.48627E-04
 3.42130E-01   4.45802E-04
 3.42650E-01   4.19215E-04
 3.43180E-01   4.27202E-04
 3.43710E-01   4.54175E-04
 3.44230E-01   4.32610E-04
 3.44760E-01   3.40040E-04
 3.45290E-01   4.11380E-04
 3.45820E-01   3.84380E-04
 3.46340E-01   3.30427E-04
 3.46870E-01   3.68845E-04
 3.47400E-01   4.21890E-04
 3.47920E-01   3.75240E-04
 3.48450E-01   3.96380E-04
 3.48980E-01   3.49173E-04
 3.49510E-01   3.40455E-04
 3.50030E-01   3.36187E-04
 3.50560E-01   3.18995E-04
 3.51090E-01   3.20577E-04
 3.51620E-01   2.91067E-04
 3.52140E-01   3.02242E-04
 3.52670E-01   3.36592E-04
 3.53200E-01   3.36337E-04
 3.53720E-01   2.77188E-04
 3.54250E-01   3.13718E-04
 3.54780E-01   2.89493E-04
 3.55310E-01   3.02447E-04
 3.55830E-01   3.64605E-04
 3.56360E-01   2.78947E-04
 3.56890E-01   3.23385E-04
 3.57420E-01   3.30170E-04
 3.57940E-01   3.34380E-04
