#    wave[microns]        norm_trans
 4.96448E-01   0.00000E+00
 4.97159E-01   0.00000E+00
 4.97869E-01   0.00000E+00
 4.98579E-01   0.00000E+00
 4.99290E-01   0.00000E+00
 5.00000E-01   1.69240E-04
 5.00711E-01   1.32757E-04
 5.01422E-01   1.55340E-04
 5.02133E-01   1.36273E-04
 5.02845E-01   1.46721E-04
 5.03556E-01   1.13301E-04
 5.04267E-01   1.30170E-04
 5.04978E-01   1.40486E-04
 5.05689E-01   1.08819E-04
 5.06400E-01   1.26874E-04
 5.07112E-01   1.40082E-04
 5.07823E-01   1.39886E-04
 5.08534E-01   1.36317E-04
 5.09245E-01   1.51322E-04
 5.09956E-01   9.62230E-05
 5.10667E-01   1.33012E-04
 5.11378E-01   1.39594E-04
 5.12090E-01   1.68932E-04
 5.12801E-01   1.79087E-04
 5.13512E-01   1.54932E-04
 5.14223E-01   1.57341E-04
 5.14934E-01   1.40943E-04
 5.15645E-01   1.32739E-04
 5.16356E-01   1.39706E-04
 5.17068E-01   1.40959E-04
 5.17779E-01   1.36522E-04
 5.18490E-01   1.59503E-04
 5.19201E-01   1.24115E-04
 5.19912E-01   1.88171E-04
 5.20623E-01   1.42631E-04
 5.21335E-01   1.37424E-04
 5.22046E-01   1.61119E-04
 5.22757E-01   1.58402E-04
 5.23468E-01   1.33122E-04
 5.24179E-01   1.15821E-04
 5.24890E-01   1.97397E-04
 5.25601E-01   1.28502E-04
 5.26313E-01   1.35063E-04
 5.27024E-01   1.57703E-04
 5.27735E-01   1.92807E-04
 5.28446E-01   1.29648E-04
 5.29157E-01   1.59059E-04
 5.29868E-01   1.75959E-04
 5.30580E-01   1.51901E-04
 5.31291E-01   1.22864E-04
 5.32002E-01   1.39620E-04
 5.32713E-01   1.29194E-04
 5.33424E-01   9.39516E-05
 5.34135E-01   1.20395E-04
 5.34846E-01   1.44471E-04
 5.35558E-01   1.77680E-04
 5.36269E-01   1.57588E-04
 5.36980E-01   1.30792E-04
 5.37691E-01   1.28762E-04
 5.38402E-01   1.25198E-04
 5.39113E-01   1.27082E-04
 5.39824E-01   1.61414E-04
 5.40536E-01   1.39624E-04
 5.41247E-01   1.71621E-04
 5.41958E-01   1.39346E-04
 5.42669E-01   1.56133E-04
 5.43380E-01   1.72610E-04
 5.44091E-01   1.56736E-04
 5.44803E-01   1.57984E-04
 5.45514E-01   1.36792E-04
 5.46225E-01   1.62990E-04
 5.46936E-01   1.29337E-04
 5.47647E-01   1.59667E-04
 5.48358E-01   1.69229E-04
 5.49069E-01   1.03848E-04
 5.49781E-01   9.51861E-05
 5.50492E-01   1.44478E-04
 5.51203E-01   1.39327E-04
 5.51914E-01   2.17491E-04
 5.52625E-01   1.71094E-04
 5.53336E-01   1.62709E-04
 5.54048E-01   1.44821E-04
 5.54759E-01   1.62616E-04
 5.55470E-01   1.82297E-04
 5.56181E-01   2.78227E-04
 5.56892E-01   3.04075E-04
 5.57603E-01   4.78221E-04
 5.58314E-01   6.69771E-04
 5.59026E-01   9.65405E-04
 5.59737E-01   1.56833E-03
 5.60448E-01   2.04717E-03
 5.61159E-01   3.05318E-03
 5.61870E-01   4.25175E-03
 5.62581E-01   5.76666E-03
 5.63292E-01   7.68853E-03
 5.64004E-01   9.95814E-03
 5.64715E-01   1.27733E-02
 5.65426E-01   1.50516E-02
 5.66137E-01   1.87623E-02
 5.66848E-01   2.31283E-02
 5.67559E-01   2.72784E-02
 5.68271E-01   3.25281E-02
 5.68982E-01   3.80934E-02
 5.69693E-01   4.40841E-02
 5.70404E-01   5.04232E-02
 5.71115E-01   5.70032E-02
 5.71826E-01   6.37488E-02
 5.72537E-01   7.06571E-02
 5.73249E-01   7.76505E-02
 5.73960E-01   8.46851E-02
 5.74671E-01   9.17509E-02
 5.75382E-01   9.87495E-02
 5.76093E-01   1.05679E-01
 5.76804E-01   1.12466E-01
 5.77516E-01   1.19217E-01
 5.78227E-01   1.25790E-01
 5.78938E-01   1.32209E-01
 5.79649E-01   1.38453E-01
 5.80360E-01   1.44606E-01
 5.81071E-01   1.50481E-01
 5.81782E-01   1.56156E-01
 5.82494E-01   1.61676E-01
 5.83205E-01   1.66938E-01
 5.83916E-01   1.71987E-01
 5.84627E-01   1.76951E-01
 5.85338E-01   1.81635E-01
 5.86049E-01   1.86061E-01
 5.86760E-01   1.90332E-01
 5.87472E-01   1.94347E-01
 5.88183E-01   1.98222E-01
 5.88894E-01   2.01906E-01
 5.89605E-01   2.05336E-01
 5.90316E-01   2.08718E-01
 5.91027E-01   2.11785E-01
 5.91739E-01   2.14744E-01
