#    wave[microns]        norm_trans
      3.380000E-01      0.000000E+00
      3.390000E-01      0.000000E+00
      3.400000E-01      0.000000E+00
      3.410000E-01      0.000000E+00
      3.420000E-01      0.000000E+00
      3.465000E-01      1.000000E-04
      3.475000E-01      2.300000E-04
      3.480000E-01      3.400000E-04
      3.485000E-01      5.000000E-04
      3.490000E-01      6.900000E-04
      3.495000E-01      9.800000E-04
      3.500000E-01      1.340000E-03
      3.505000E-01      1.800000E-03
      3.510000E-01      2.380000E-03
      3.515000E-01      3.110000E-03
      3.520000E-01      4.010000E-03
      3.525000E-01      5.110000E-03
      3.530000E-01      6.400000E-03
      3.535000E-01      7.920000E-03
      3.540000E-01      9.700000E-03
      3.545000E-01      1.173000E-02
      3.550000E-01      1.408000E-02
      3.555000E-01      1.672000E-02
      3.560000E-01      1.967000E-02
      3.565000E-01      2.298000E-02
      3.570000E-01      2.661000E-02
      3.575000E-01      3.061000E-02
      3.580000E-01      3.493000E-02
      3.585000E-01      3.963000E-02
      3.590000E-01      4.470000E-02
      3.595000E-01      5.007000E-02
      3.600000E-01      5.581000E-02
      3.605000E-01      6.194000E-02
      3.610000E-01      6.833000E-02
      3.615000E-01      7.505000E-02
      3.620000E-01      8.214000E-02
      3.625000E-01      8.942000E-02
      3.630000E-01      9.708000E-02
      3.635000E-01      1.048500E-01
      3.640000E-01      1.128500E-01
      3.645000E-01      1.211500E-01
      3.650000E-01      1.296900E-01
      3.655000E-01      1.382700E-01
      3.660000E-01      1.469900E-01
      3.665000E-01      1.557300E-01
      3.670000E-01      1.646900E-01
      3.675000E-01      1.736200E-01
      3.680000E-01      1.826800E-01
      3.685000E-01      1.918200E-01
      3.690000E-01      2.009100E-01
      3.695000E-01      2.100000E-01
      3.700000E-01      2.191900E-01
      3.705000E-01      2.284100E-01
      3.710000E-01      2.376400E-01
      3.715000E-01      2.468400E-01
      3.720000E-01      2.560000E-01
      3.725000E-01      2.651900E-01
      3.730000E-01      2.743100E-01
      3.735000E-01      2.833800E-01
      3.740000E-01      2.925200E-01
      3.745000E-01      3.017300E-01
      3.750000E-01      3.109300E-01
      3.755000E-01      3.201400E-01
      3.760000E-01      3.290900E-01
      3.765000E-01      3.380400E-01
      3.770000E-01      3.471400E-01
      3.775000E-01      3.559700E-01
      3.780000E-01      3.649000E-01
      3.785000E-01      3.738100E-01
      3.790000E-01      3.825400E-01
      3.795000E-01      3.911800E-01
      3.800000E-01      3.998200E-01
      3.805000E-01      4.082300E-01
      3.810000E-01      4.166900E-01
      3.815000E-01      4.250200E-01
      3.820000E-01      4.330800E-01
      3.825000E-01      4.411200E-01
      3.830000E-01      4.488400E-01
      3.835000E-01      4.566900E-01
      3.840000E-01      4.641400E-01
      3.845000E-01      4.716700E-01
      3.850000E-01      4.786900E-01
      3.855000E-01      4.857200E-01
      3.860000E-01      4.925200E-01
      3.865000E-01      4.994000E-01
      3.870000E-01      5.057800E-01
      3.875000E-01      5.122400E-01
      3.880000E-01      5.183400E-01
      3.885000E-01      5.243400E-01
      3.890000E-01      5.300900E-01
      3.895000E-01      5.355700E-01
      3.900000E-01      5.410800E-01
      3.905000E-01      5.464900E-01
      3.910000E-01      5.514800E-01
      3.915000E-01      5.564000E-01
      3.920000E-01      5.611900E-01
      3.925000E-01      5.659200E-01
      3.930000E-01      5.701900E-01
      3.935000E-01      5.745000E-01
      3.940000E-01      5.788400E-01
      3.945000E-01      5.827000E-01
      3.950000E-01      5.865400E-01
      3.955000E-01      5.903700E-01
      3.960000E-01      5.938200E-01
      3.965000E-01      5.974000E-01
      3.970000E-01      6.007600E-01
      3.975000E-01      6.037100E-01
      3.980000E-01      6.068700E-01
      3.985000E-01      6.098000E-01
      3.990000E-01      6.126100E-01
      3.995000E-01      6.151600E-01
      4.000000E-01      6.178900E-01
      4.005000E-01      6.204800E-01
      4.010000E-01      6.226700E-01
      4.015000E-01      6.251000E-01
      4.020000E-01      6.272500E-01
      4.025000E-01      6.293600E-01
      4.030000E-01      6.314700E-01
      4.035000E-01      6.333300E-01
      4.040000E-01      6.351700E-01
      4.045000E-01      6.371200E-01
      4.050000E-01      6.389400E-01
      4.055000E-01      6.404800E-01
      4.060000E-01      6.424000E-01
      4.065000E-01      6.440200E-01
      4.070000E-01      6.454300E-01
      4.075000E-01      6.471400E-01
      4.080000E-01      6.486000E-01
      4.085000E-01      6.500100E-01
      4.090000E-01      6.512900E-01
      4.095000E-01      6.525100E-01
      4.100000E-01      6.536200E-01
      4.105000E-01      6.545100E-01
      4.110000E-01      6.553200E-01
      4.115000E-01      6.562200E-01
      4.120000E-01      6.571000E-01
      4.125000E-01      6.577600E-01
      4.130000E-01      6.586100E-01
      4.135000E-01      6.591900E-01
      4.140000E-01      6.596700E-01
      4.145000E-01      6.601400E-01
      4.150000E-01      6.608000E-01
      4.155000E-01      6.612000E-01
      4.160000E-01      6.619700E-01
      4.165000E-01      6.624600E-01
      4.170000E-01      6.630100E-01
      4.175000E-01      6.635800E-01
      4.180000E-01      6.641400E-01
      4.185000E-01      6.645800E-01
      4.190000E-01      6.650500E-01
      4.195000E-01      6.655400E-01
      4.200000E-01      6.657500E-01
      4.210000E-01      6.660900E-01
      4.215000E-01      6.659900E-01
      4.220000E-01      6.657300E-01
      4.225000E-01      6.653400E-01
      4.230000E-01      6.647600E-01
      4.235000E-01      6.640600E-01
      4.240000E-01      6.631700E-01
      4.245000E-01      6.624000E-01
      4.250000E-01      6.615300E-01
      4.255000E-01      6.605900E-01
      4.260000E-01      6.596000E-01
      4.265000E-01      6.586400E-01
      4.270000E-01      6.577300E-01
      4.275000E-01      6.567600E-01
      4.280000E-01      6.560400E-01
      4.285000E-01      6.552300E-01
      4.290000E-01      6.543400E-01
      4.295000E-01      6.533300E-01
      4.300000E-01      6.523500E-01
      4.305000E-01      6.511800E-01
      4.310000E-01      6.498500E-01
      4.315000E-01      6.486000E-01
      4.320000E-01      6.470900E-01
      4.325000E-01      6.457000E-01
      4.330000E-01      6.442600E-01
      4.335000E-01      6.425700E-01
      4.340000E-01      6.410400E-01
      4.345000E-01      6.392800E-01
      4.350000E-01      6.377000E-01
      4.355000E-01      6.362200E-01
      4.360000E-01      6.345300E-01
      4.365000E-01      6.328800E-01
      4.370000E-01      6.311900E-01
      4.375000E-01      6.296200E-01
      4.380000E-01      6.278600E-01
      4.385000E-01      6.263000E-01
      4.390000E-01      6.245600E-01
      4.395000E-01      6.228600E-01
      4.400000E-01      6.210400E-01
      4.405000E-01      6.193200E-01
      4.410000E-01      6.175700E-01
      4.415000E-01      6.154900E-01
      4.420000E-01      6.136300E-01
      4.425000E-01      6.116000E-01
      4.430000E-01      6.093200E-01
      4.435000E-01      6.070400E-01
      4.440000E-01      6.047200E-01
      4.445000E-01      6.021800E-01
      4.450000E-01      5.994100E-01
      4.455000E-01      5.967500E-01
      4.460000E-01      5.935300E-01
      4.465000E-01      5.904000E-01
      4.470000E-01      5.872400E-01
      4.475000E-01      5.838300E-01
      4.480000E-01      5.805100E-01
      4.485000E-01      5.769100E-01
      4.490000E-01      5.734200E-01
      4.495000E-01      5.697300E-01
      4.500000E-01      5.660700E-01
      4.505000E-01      5.626600E-01
      4.510000E-01      5.591000E-01
      4.515000E-01      5.558300E-01
      4.520000E-01      5.523500E-01
      4.525000E-01      5.490600E-01
      4.530000E-01      5.457000E-01
      4.535000E-01      5.422500E-01
      4.540000E-01      5.390000E-01
      4.545000E-01      5.355000E-01
      4.550000E-01      5.318600E-01
      4.555000E-01      5.283000E-01
      4.560000E-01      5.245300E-01
      4.565000E-01      5.205800E-01
      4.570000E-01      5.164600E-01
      4.575000E-01      5.122000E-01
      4.580000E-01      5.079300E-01
      4.585000E-01      5.032600E-01
      4.590000E-01      4.986600E-01
      4.595000E-01      4.938200E-01
      4.600000E-01      4.888500E-01
      4.605000E-01      4.837700E-01
      4.610000E-01      4.785800E-01
      4.615000E-01      4.731200E-01
      4.620000E-01      4.676700E-01
      4.625000E-01      4.618100E-01
      4.630000E-01      4.559500E-01
      4.635000E-01      4.499800E-01
      4.640000E-01      4.436100E-01
      4.645000E-01      4.370400E-01
      4.650000E-01      4.302500E-01
      4.655000E-01      4.233100E-01
      4.660000E-01      4.160800E-01
      4.665000E-01      4.086100E-01
      4.670000E-01      4.009200E-01
      4.675000E-01      3.931500E-01
      4.680000E-01      3.852100E-01
      4.685000E-01      3.769700E-01
      4.690000E-01      3.687500E-01
      4.695000E-01      3.605200E-01
      4.700000E-01      3.519600E-01
      4.705000E-01      3.435200E-01
      4.710000E-01      3.351600E-01
      4.715000E-01      3.266100E-01
      4.720000E-01      3.183000E-01
      4.725000E-01      3.099500E-01
      4.730000E-01      3.017600E-01
      4.735000E-01      2.934800E-01
      4.740000E-01      2.855900E-01
      4.745000E-01      2.775300E-01
      4.750000E-01      2.697200E-01
      4.755000E-01      2.619800E-01
      4.760000E-01      2.541400E-01
      4.765000E-01      2.464800E-01
      4.770000E-01      2.388400E-01
      4.775000E-01      2.313100E-01
      4.780000E-01      2.237900E-01
      4.785000E-01      2.163800E-01
      4.790000E-01      2.090400E-01
      4.795000E-01      2.017900E-01
      4.800000E-01      1.945800E-01
      4.805000E-01      1.874500E-01
      4.810000E-01      1.805300E-01
      4.815000E-01      1.736800E-01
      4.820000E-01      1.669300E-01
      4.825000E-01      1.603800E-01
      4.830000E-01      1.539000E-01
      4.835000E-01      1.476600E-01
      4.840000E-01      1.414800E-01
      4.845000E-01      1.356100E-01
      4.850000E-01      1.299600E-01
      4.855000E-01      1.243200E-01
      4.860000E-01      1.189200E-01
      4.865000E-01      1.137200E-01
      4.870000E-01      1.086500E-01
      4.875000E-01      1.038800E-01
      4.880000E-01      9.923000E-02
      4.885000E-01      9.478000E-02
      4.890000E-01      9.051000E-02
      4.895000E-01      8.635000E-02
      4.900000E-01      8.237000E-02
      4.905000E-01      7.865000E-02
      4.910000E-01      7.511000E-02
      4.915000E-01      7.168000E-02
      4.920000E-01      6.840000E-02
      4.925000E-01      6.530000E-02
      4.930000E-01      6.236000E-02
      4.935000E-01      5.958000E-02
      4.940000E-01      5.693000E-02
      4.945000E-01      5.445000E-02
      4.950000E-01      5.212000E-02
      4.955000E-01      4.989000E-02
      4.960000E-01      4.779000E-02
      4.965000E-01      4.579000E-02
      4.970000E-01      4.392000E-02
      4.975000E-01      4.213000E-02
      4.980000E-01      4.040000E-02
      4.985000E-01      3.872000E-02
      4.990000E-01      3.707000E-02
      4.995000E-01      3.548000E-02
      5.000000E-01      3.392000E-02
      5.005000E-01      3.235000E-02
      5.010000E-01      3.082000E-02
      5.015000E-01      2.926000E-02
      5.020000E-01      2.772000E-02
      5.025000E-01      2.618000E-02
      5.030000E-01      2.468000E-02
      5.035000E-01      2.320000E-02
      5.040000E-01      2.175000E-02
      5.045000E-01      2.036000E-02
      5.050000E-01      1.901000E-02
      5.055000E-01      1.769000E-02
      5.060000E-01      1.648000E-02
      5.065000E-01      1.533000E-02
      5.070000E-01      1.424000E-02
      5.075000E-01      1.324000E-02
      5.080000E-01      1.231000E-02
      5.085000E-01      1.144000E-02
      5.090000E-01      1.063000E-02
      5.095000E-01      9.890000E-03
      5.100000E-01      9.220000E-03
      5.105000E-01      8.580000E-03
      5.110000E-01      7.970000E-03
      5.115000E-01      7.440000E-03
      5.120000E-01      6.920000E-03
      5.125000E-01      6.430000E-03
      5.130000E-01      6.000000E-03
      5.135000E-01      5.590000E-03
      5.140000E-01      5.190000E-03
      5.145000E-01      4.810000E-03
      5.150000E-01      4.450000E-03
      5.155000E-01      4.120000E-03
      5.160000E-01      3.800000E-03
      5.165000E-01      3.500000E-03
      5.170000E-01      3.230000E-03
      5.175000E-01      2.970000E-03
      5.180000E-01      2.720000E-03
      5.185000E-01      2.490000E-03
      5.190000E-01      2.270000E-03
      5.195000E-01      2.080000E-03
      5.200000E-01      1.890000E-03
      5.205000E-01      1.720000E-03
      5.210000E-01      1.560000E-03
      5.215000E-01      1.420000E-03
      5.220000E-01      1.290000E-03
      5.225000E-01      1.160000E-03
      5.230000E-01      1.060000E-03
      5.235000E-01      9.500000E-04
      5.245000E-01      7.800000E-04
      5.255000E-01      6.300000E-04
      5.265000E-01      5.200000E-04
      5.280000E-01      3.900000E-04
      5.300000E-01      2.700000E-04
      5.500000E-01      1.600000E-04
      5.540000E-01      2.600000E-04
      5.645000E-01      3.600000E-04
      5.685000E-01      2.500000E-04
      5.715000E-01      1.500000E-04
      6.850000E-01      4.000000E-05
      7.135000E-01      1.400000E-04
      1.025000E+00      4.000000E-05
      1.109500E+00      1.400000E-04
      1.156500E+00      2.400000E-04
      1.200000E+00      3.500000E-04
      1.201000E+00      0.000000E+00
      1.202000E+00      0.000000E+00
      1.203000E+00      0.000000E+00
      1.204000E+00      0.000000E+00
      1.205000E+00      0.000000E+00
