Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         6 = grain model
 4.000E-08 4.000E-01 3.750E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.250E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E-01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E-01 = <U> 
     mmp83 = radfield
 4.156E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.399E-26  4.712E-19 COBE-DIRBE
2.220E+00  1.784E-26  1.051E-18 COBE-DIRBE
3.530E+00  1.169E-25  1.095E-17 COBE-DIRBE
4.880E+00  5.426E-26  7.023E-18 COBE-DIRBE
1.229E+01  4.745E-25  1.547E-16 COBE-DIRBE
2.079E+01  3.850E-25  2.123E-16 COBE-DIRBE
5.599E+01  1.678E-24  2.492E-15 COBE-DIRBE
9.770E+01  1.751E-24  4.537E-15 COBE-DIRBE
1.479E+02  1.439E-24  5.644E-15 COBE-DIRBE
2.479E+02  6.155E-25  4.047E-15 COBE-DIRBE
1.200E+01  5.036E-25  1.603E-16 IRAS
2.500E+01  4.041E-25  2.680E-16 IRAS
6.000E+01  1.695E-24  2.698E-15 IRAS
1.000E+02  1.742E-24  4.622E-15 IRAS
3.550E+00  1.360E-25  1.280E-17 SST-IRAC
4.493E+00  3.799E-26  4.528E-18 SST-IRAC
5.731E+00  3.216E-25  4.890E-17 SST-IRAC
7.872E+00  7.438E-25  1.553E-16 SST-IRAC
2.368E+01  3.445E-25  2.164E-16 SST-MIPS
7.142E+01  1.639E-24  3.105E-15 SST-MIPS
1.559E+02  1.309E-24  5.414E-15 SST-MIPS
1.600E+01  3.830E-25  1.626E-16 SST-IRSPU
2.200E+01  3.569E-25  2.083E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  4.316E-31  1.145E-19
9.908E+03  4.474E-31  1.176E-19
9.817E+03  4.636E-31  1.207E-19
9.727E+03  4.805E-31  1.240E-19
9.638E+03  4.980E-31  1.273E-19
9.550E+03  5.161E-31  1.307E-19
9.462E+03  5.349E-31  1.343E-19
9.376E+03  5.544E-31  1.379E-19
9.290E+03  5.746E-31  1.416E-19
9.204E+03  5.955E-31  1.454E-19
9.120E+03  6.171E-31  1.493E-19
9.036E+03  6.396E-31  1.533E-19
8.954E+03  6.628E-31  1.574E-19
8.872E+03  6.868E-31  1.616E-19
8.790E+03  7.117E-31  1.659E-19
8.710E+03  7.374E-31  1.704E-19
8.630E+03  7.642E-31  1.749E-19
8.551E+03  7.919E-31  1.796E-19
8.472E+03  8.206E-31  1.844E-19
8.395E+03  8.504E-31  1.894E-19
8.318E+03  8.813E-31  1.944E-19
8.241E+03  9.134E-31  1.997E-19
8.166E+03  9.466E-31  2.050E-19
8.091E+03  9.810E-31  2.105E-19
8.017E+03  1.017E-30  2.162E-19
7.943E+03  1.054E-30  2.220E-19
7.870E+03  1.092E-30  2.280E-19
7.798E+03  1.132E-30  2.342E-19
7.727E+03  1.173E-30  2.405E-19
7.656E+03  1.216E-30  2.470E-19
7.586E+03  1.261E-30  2.537E-19
7.516E+03  1.307E-30  2.605E-19
7.447E+03  1.355E-30  2.676E-19
7.379E+03  1.404E-30  2.748E-19
7.311E+03  1.456E-30  2.823E-19
7.244E+03  1.509E-30  2.899E-19
7.178E+03  1.564E-30  2.978E-19
7.112E+03  1.622E-30  3.059E-19
7.047E+03  1.681E-30  3.142E-19
6.982E+03  1.743E-30  3.228E-19
6.918E+03  1.807E-30  3.315E-19
6.855E+03  1.873E-30  3.405E-19
6.792E+03  1.942E-30  3.498E-19
6.730E+03  2.013E-30  3.593E-19
6.668E+03  2.087E-30  3.691E-19
6.607E+03  2.164E-30  3.792E-19
6.546E+03  2.243E-30  3.895E-19
6.486E+03  2.326E-30  4.002E-19
6.427E+03  2.411E-30  4.111E-19
6.368E+03  2.500E-30  4.223E-19
6.310E+03  2.592E-30  4.339E-19
6.252E+03  2.688E-30  4.458E-19
6.194E+03  2.787E-30  4.580E-19
6.138E+03  2.890E-30  4.706E-19
6.081E+03  2.997E-30  4.835E-19
6.026E+03  3.108E-30  4.968E-19
5.970E+03  3.223E-30  5.104E-19
5.916E+03  3.342E-30  5.245E-19
5.861E+03  3.466E-30  5.389E-19
5.808E+03  3.595E-30  5.538E-19
5.754E+03  3.728E-30  5.690E-19
5.702E+03  3.866E-30  5.847E-19
5.649E+03  4.010E-30  6.009E-19
5.598E+03  4.159E-30  6.175E-19
5.546E+03  4.313E-30  6.346E-19
5.495E+03  4.474E-30  6.521E-19
5.445E+03  4.640E-30  6.702E-19
5.395E+03  4.813E-30  6.887E-19
5.346E+03  4.992E-30  7.078E-19
5.297E+03  5.178E-30  7.275E-19
5.248E+03  5.371E-30  7.477E-19
5.200E+03  5.571E-30  7.684E-19
5.152E+03  5.779E-30  7.898E-19
5.105E+03  5.995E-30  8.118E-19
5.058E+03  6.219E-30  8.344E-19
5.012E+03  6.451E-30  8.576E-19
4.966E+03  6.692E-30  8.815E-19
4.920E+03  6.942E-30  9.060E-19
4.875E+03  7.201E-30  9.313E-19
4.831E+03  7.471E-30  9.573E-19
4.786E+03  7.750E-30  9.840E-19
4.742E+03  8.041E-30  1.011E-18
4.699E+03  8.342E-30  1.040E-18
4.656E+03  8.655E-30  1.069E-18
4.613E+03  8.980E-30  1.099E-18
4.571E+03  9.317E-30  1.130E-18
4.529E+03  9.667E-30  1.161E-18
4.487E+03  1.003E-29  1.194E-18
4.446E+03  1.041E-29  1.227E-18
