Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E-01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.382E+00 = <U> 
     mmp83 = radfield
 6.168E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.327E-27  7.838E-20 COBE-DIRBE
2.220E+00  2.772E-27  1.632E-19 COBE-DIRBE
3.530E+00  1.720E-26  1.611E-18 COBE-DIRBE
4.880E+00  8.965E-27  1.161E-18 COBE-DIRBE
1.229E+01  3.476E-25  1.133E-16 COBE-DIRBE
2.079E+01  1.077E-24  5.941E-16 COBE-DIRBE
5.599E+01  2.812E-24  4.177E-15 COBE-DIRBE
9.770E+01  2.188E-24  5.670E-15 COBE-DIRBE
1.479E+02  1.671E-24  6.557E-15 COBE-DIRBE
2.479E+02  6.863E-25  4.512E-15 COBE-DIRBE
1.200E+01  3.017E-25  9.602E-17 IRAS
2.500E+01  1.489E-24  9.872E-16 IRAS
6.000E+01  2.749E-24  4.376E-15 IRAS
1.000E+02  2.162E-24  5.734E-15 IRAS
3.550E+00  2.000E-26  1.883E-18 SST-IRAC
4.493E+00  5.936E-27  7.075E-19 SST-IRAC
5.731E+00  6.762E-26  1.028E-17 SST-IRAC
7.872E+00  2.733E-25  5.707E-17 SST-IRAC
2.368E+01  1.388E-24  8.718E-16 SST-MIPS
7.142E+01  2.281E-24  4.321E-15 SST-MIPS
1.559E+02  1.508E-24  6.236E-15 SST-MIPS
1.600E+01  5.274E-25  2.238E-16 SST-IRSPU
2.200E+01  1.314E-24  7.665E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  4.422E-31  1.173E-19
9.908E+03  4.584E-31  1.205E-19
9.817E+03  4.751E-31  1.237E-19
9.727E+03  4.925E-31  1.271E-19
9.638E+03  5.104E-31  1.305E-19
9.550E+03  5.291E-31  1.340E-19
9.462E+03  5.484E-31  1.376E-19
9.376E+03  5.684E-31  1.414E-19
9.290E+03  5.892E-31  1.452E-19
9.204E+03  6.107E-31  1.491E-19
9.120E+03  6.330E-31  1.531E-19
9.036E+03  6.562E-31  1.573E-19
8.954E+03  6.801E-31  1.615E-19
8.872E+03  7.048E-31  1.659E-19
8.790E+03  7.304E-31  1.703E-19
8.710E+03  7.570E-31  1.749E-19
8.630E+03  7.845E-31  1.796E-19
8.551E+03  8.131E-31  1.844E-19
8.472E+03  8.427E-31  1.894E-19
8.395E+03  8.734E-31  1.945E-19
8.318E+03  9.053E-31  1.997E-19
8.241E+03  9.383E-31  2.051E-19
8.166E+03  9.726E-31  2.107E-19
8.091E+03  1.008E-30  2.164E-19
8.017E+03  1.045E-30  2.222E-19
7.943E+03  1.083E-30  2.282E-19
7.870E+03  1.123E-30  2.344E-19
7.798E+03  1.164E-30  2.408E-19
7.727E+03  1.207E-30  2.473E-19
7.656E+03  1.251E-30  2.540E-19
7.586E+03  1.297E-30  2.609E-19
7.516E+03  1.344E-30  2.680E-19
7.447E+03  1.394E-30  2.753E-19
7.379E+03  1.445E-30  2.828E-19
7.311E+03  1.498E-30  2.905E-19
7.244E+03  1.553E-30  2.984E-19
7.178E+03  1.610E-30  3.066E-19
7.112E+03  1.669E-30  3.149E-19
7.047E+03  1.731E-30  3.235E-19
6.982E+03  1.795E-30  3.324E-19
6.918E+03  1.861E-30  3.414E-19
