Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E-01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.357E+00 = <U> 
     mmp83 = radfield
 2.220E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.165E-27  1.403E-19 COBE-DIRBE
2.220E+00  5.568E-27  3.279E-19 COBE-DIRBE
3.530E+00  2.502E-26  2.342E-18 COBE-DIRBE
4.880E+00  1.781E-26  2.305E-18 COBE-DIRBE
1.229E+01  2.921E-25  9.521E-17 COBE-DIRBE
2.079E+01  6.484E-25  3.576E-16 COBE-DIRBE
5.599E+01  8.407E-25  1.249E-15 COBE-DIRBE
9.770E+01  6.767E-25  1.754E-15 COBE-DIRBE
1.479E+02  5.120E-25  2.009E-15 COBE-DIRBE
2.479E+02  2.166E-25  1.424E-15 COBE-DIRBE
1.200E+01  2.696E-25  8.581E-17 IRAS
2.500E+01  7.262E-25  4.816E-16 IRAS
6.000E+01  8.260E-25  1.315E-15 IRAS
1.000E+02  6.685E-25  1.773E-15 IRAS
3.550E+00  2.861E-26  2.694E-18 SST-IRAC
4.493E+00  1.288E-26  1.535E-18 SST-IRAC
5.731E+00  8.063E-26  1.226E-17 SST-IRAC
7.872E+00  2.454E-25  5.125E-17 SST-IRAC
2.368E+01  6.976E-25  4.382E-16 SST-MIPS
7.142E+01  7.018E-25  1.329E-15 SST-MIPS
1.559E+02  4.618E-25  1.910E-15 SST-MIPS
1.600E+01  3.781E-25  1.605E-16 SST-IRSPU
2.200E+01  7.073E-25  4.128E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
