Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.000E-01 2.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.000E-01 = <U> 
     mmp83 = radfield
 8.901E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.849E-27  6.228E-20 COBE-DIRBE
2.220E+00  2.336E-27  1.376E-19 COBE-DIRBE
3.530E+00  1.563E-26  1.463E-18 COBE-DIRBE
4.880E+00  6.957E-27  9.005E-19 COBE-DIRBE
1.229E+01  6.276E-26  2.046E-17 COBE-DIRBE
2.079E+01  4.087E-26  2.254E-17 COBE-DIRBE
5.599E+01  8.051E-26  1.196E-16 COBE-DIRBE
9.770E+01  3.422E-25  8.868E-16 COBE-DIRBE
1.479E+02  6.052E-25  2.374E-15 COBE-DIRBE
2.479E+02  4.073E-25  2.678E-15 COBE-DIRBE
1.200E+01  6.856E-26  2.182E-17 IRAS
2.500E+01  3.712E-26  2.462E-17 IRAS
6.000E+01  9.521E-26  1.515E-16 IRAS
1.000E+02  3.620E-25  9.602E-16 IRAS
3.550E+00  1.818E-26  1.712E-18 SST-IRAC
4.493E+00  5.032E-27  5.998E-19 SST-IRAC
5.731E+00  4.088E-26  6.214E-18 SST-IRAC
7.872E+00  9.977E-26  2.083E-17 SST-IRAC
2.368E+01  3.296E-26  2.071E-17 SST-MIPS
7.142E+01  1.342E-25  2.543E-16 SST-MIPS
1.559E+02  6.068E-25  2.509E-15 SST-MIPS
1.600E+01  4.903E-26  2.081E-17 SST-IRSPU
2.200E+01  3.564E-26  2.080E-17 SST-IRSPU
7.500E+01  1.103E-25  2.194E-16 Herschel-PACS
1.100E+02  2.678E-25  7.813E-16 Herschel-PACS
1.700E+02  4.736E-25  2.136E-15 Herschel-PACS
2.500E+02  3.680E-25  2.440E-15 Herschel-SPIRE
3.600E+02  1.561E-25  1.490E-15 Herschel-SPIRE
5.200E+02  4.932E-26  6.803E-16 Herschel-SPIRE
2.400E+00  2.625E-27  1.671E-19 Akari IRC NIR N2
3.200E+00  1.200E-26  1.018E-18 Akari IRC NIR N3
4.100E+00  5.468E-27  5.947E-19 Akari IRC NIR N4
7.000E+00  1.134E-25  2.106E-17 Akari IRC MIR-S S7
9.000E+00  7.975E-26  1.904E-17 Akari IRC MIR-S S9W
1.100E+01  6.231E-26  1.818E-17 Akari IRC MIR-S S11
1.500E+01  5.091E-26  2.026E-17 Akari IRC MIR-L L15
1.800E+01  4.197E-26  2.004E-17 Akari IRC MIR-L L18W
2.400E+01  3.449E-26  2.196E-17 Akari IRC MIR-L L24
6.500E+01  1.156E-25  1.993E-16 Akari FIS N60
