Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E-01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.506E+00 = <U> 
     mmp83 = radfield
 2.019E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  5.834E-26  1.965E-18 COBE-DIRBE
2.220E+00  7.768E-26  4.575E-18 COBE-DIRBE
3.530E+00  5.295E-25  4.958E-17 COBE-DIRBE
4.880E+00  3.399E-25  4.401E-17 COBE-DIRBE
1.229E+01  3.344E-24  1.090E-15 COBE-DIRBE
2.079E+01  5.036E-24  2.777E-15 COBE-DIRBE
5.599E+01  7.489E-24  1.112E-14 COBE-DIRBE
9.770E+01  5.342E-24  1.384E-14 COBE-DIRBE
1.479E+02  3.606E-24  1.415E-14 COBE-DIRBE
2.479E+02  1.230E-24  8.085E-15 COBE-DIRBE
1.200E+01  3.417E-24  1.088E-15 IRAS
2.500E+01  6.004E-24  3.982E-15 IRAS
6.000E+01  7.293E-24  1.161E-14 IRAS
1.000E+02  5.245E-24  1.391E-14 IRAS
3.550E+00  6.131E-25  5.774E-17 SST-IRAC
4.493E+00  2.397E-25  2.857E-17 SST-IRAC
5.731E+00  1.655E-24  2.516E-16 SST-IRAC
7.872E+00  4.221E-24  8.814E-16 SST-IRAC
2.368E+01  5.638E-24  3.541E-15 SST-MIPS
7.142E+01  5.892E-24  1.116E-14 SST-MIPS
1.559E+02  3.164E-24  1.309E-14 SST-MIPS
1.600E+01  3.591E-24  1.524E-15 SST-IRSPU
2.200E+01  5.573E-24  3.252E-15 SST-IRSPU
7.500E+01  5.078E-24  1.010E-14 Herschel-PACS
1.100E+02  3.786E-24  1.105E-14 Herschel-PACS
1.700E+02  2.415E-24  1.089E-14 Herschel-PACS
2.500E+02  1.061E-24  7.036E-15 Herschel-SPIRE
3.600E+02  3.331E-25  3.181E-15 Herschel-SPIRE
5.200E+02  8.837E-26  1.219E-15 Herschel-SPIRE
2.400E+00  8.896E-26  5.663E-18 Akari IRC NIR N2
3.200E+00  4.042E-25  3.431E-17 Akari IRC NIR N3
4.100E+00  2.493E-25  2.711E-17 Akari IRC NIR N4
7.000E+00  4.591E-24  8.525E-16 Akari IRC MIR-S S7
9.000E+00  3.646E-24  8.704E-16 Akari IRC MIR-S S9W
1.100E+01  3.175E-24  9.265E-16 Akari IRC MIR-S S11
1.500E+01  3.791E-24  1.508E-15 Akari IRC MIR-L L15
1.800E+01  4.575E-24  2.184E-15 Akari IRC MIR-L L18W
2.400E+01  5.578E-24  3.551E-15 Akari IRC MIR-L L24
6.500E+01  6.700E-24  1.155E-14 Akari FIS N60
8.000E+01  5.802E-24  1.231E-14 Akari FIS WIDE-S
1.400E+02  3.611E-24  1.341E-14 Akari FIS WIDE-L
1.600E+02  3.064E-24  1.300E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  5.256E-31  1.394E-19
9.908E+03  5.448E-31  1.432E-19
9.817E+03  5.646E-31  1.470E-19
9.727E+03  5.853E-31  1.510E-19
9.638E+03  6.066E-31  1.551E-19
9.550E+03  6.288E-31  1.593E-19
9.462E+03  6.517E-31  1.636E-19
9.376E+03  6.755E-31  1.680E-19
9.290E+03  7.002E-31  1.725E-19
9.204E+03  7.258E-31  1.772E-19
9.120E+03  7.523E-31  1.820E-19
9.036E+03  7.798E-31  1.869E-19
8.954E+03  8.082E-31  1.919E-19
8.872E+03  8.375E-31  1.971E-19
8.790E+03  8.679E-31  2.024E-19
8.710E+03  8.995E-31  2.078E-19
8.630E+03  9.322E-31  2.134E-19
8.551E+03  9.662E-31  2.191E-19
8.472E+03  1.001E-30  2.250E-19
8.395E+03  1.038E-30  2.311E-19
8.318E+03  1.076E-30  2.373E-19
8.241E+03  1.115E-30  2.437E-19
8.166E+03  1.156E-30  2.503E-19
8.091E+03  1.198E-30  2.571E-19
8.017E+03  1.242E-30  2.640E-19
7.943E+03  1.287E-30  2.712E-19
7.870E+03  1.334E-30  2.785E-19
7.798E+03  1.383E-30  2.861E-19
7.727E+03  1.434E-30  2.939E-19
7.656E+03  1.486E-30  3.018E-19
7.586E+03  1.541E-30  3.100E-19
7.516E+03  1.597E-30  3.185E-19
7.447E+03  1.656E-30  3.271E-19
7.379E+03  1.717E-30  3.361E-19
7.311E+03  1.780E-30  3.452E-19
7.244E+03  1.846E-30  3.546E-19
7.178E+03  1.913E-30  3.643E-19
7.112E+03  1.984E-30  3.743E-19
7.047E+03  2.057E-30  3.845E-19
6.982E+03  2.133E-30  3.950E-19
6.918E+03  2.211E-30  4.058E-19
6.855E+03  2.293E-30  4.169E-19
6.792E+03  2.377E-30  4.283E-19
6.730E+03  2.465E-30  4.400E-19
6.668E+03  2.556E-30  4.521E-19
6.607E+03  2.650E-30  4.645E-19
6.546E+03  2.748E-30  4.772E-19
6.486E+03  2.850E-30  4.903E-19
6.427E+03  2.955E-30  5.038E-19
6.368E+03  3.065E-30  5.177E-19
6.310E+03  3.178E-30  5.319E-19
6.252E+03  3.296E-30  5.466E-19
6.194E+03  3.418E-30  5.617E-19
6.138E+03  3.545E-30  5.772E-19
6.081E+03  3.677E-30  5.931E-19
6.026E+03  3.813E-30  6.095E-19
5.970E+03  3.955E-30  6.264E-19
5.916E+03  4.102E-30  6.437E-19
5.861E+03  4.255E-30  6.616E-19
5.808E+03  4.414E-30  6.799E-19
5.754E+03  4.578E-30  6.988E-19
5.702E+03  4.749E-30  7.182E-19
5.649E+03  4.926E-30  7.382E-19
5.598E+03  5.110E-30  7.587E-19
5.546E+03  5.301E-30  7.798E-19
5.495E+03  5.499E-30  8.015E-19
5.445E+03  5.704E-30  8.239E-19
5.395E+03  5.918E-30  8.469E-19
5.346E+03  6.139E-30  8.705E-19
5.297E+03  6.369E-30  8.948E-19
5.248E+03  6.608E-30  9.198E-19
5.200E+03  6.855E-30  9.456E-19
5.152E+03  7.112E-30  9.720E-19
5.105E+03  7.379E-30  9.993E-19
