Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 4.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.000E-01 = <U> 
     mmp83 = radfield
 3.776E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  6.771E-28  2.281E-20 COBE-DIRBE
2.220E+00  9.023E-28  5.313E-20 COBE-DIRBE
3.530E+00  3.745E-27  3.507E-19 COBE-DIRBE
4.880E+00  1.722E-27  2.229E-19 COBE-DIRBE
1.229E+01  1.996E-26  6.507E-18 COBE-DIRBE
2.079E+01  2.376E-26  1.310E-17 COBE-DIRBE
5.599E+01  4.768E-26  7.081E-17 COBE-DIRBE
9.770E+01  1.601E-25  4.150E-16 COBE-DIRBE
1.479E+02  2.575E-25  1.010E-15 COBE-DIRBE
2.479E+02  1.643E-25  1.081E-15 COBE-DIRBE
1.200E+01  1.979E-26  6.300E-18 IRAS
2.500E+01  2.342E-26  1.553E-17 IRAS
6.000E+01  5.434E-26  8.649E-17 IRAS
1.000E+02  1.682E-25  4.461E-16 IRAS
3.550E+00  4.298E-27  4.047E-19 SST-IRAC
4.493E+00  1.349E-27  1.607E-19 SST-IRAC
5.731E+00  8.146E-27  1.238E-18 SST-IRAC
7.872E+00  2.204E-26  4.602E-18 SST-IRAC
2.368E+01  2.170E-26  1.363E-17 SST-MIPS
7.142E+01  7.102E-26  1.345E-16 SST-MIPS
1.559E+02  2.556E-25  1.057E-15 SST-MIPS
1.600E+01  1.935E-26  8.212E-18 SST-IRSPU
2.200E+01  2.269E-26  1.324E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
