Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 4.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.000E-01 = <U> 
     mmp83 = radfield
 4.185E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.147E-27  3.863E-20 COBE-DIRBE
2.220E+00  1.553E-27  9.145E-20 COBE-DIRBE
3.530E+00  8.200E-27  7.678E-19 COBE-DIRBE
4.880E+00  3.946E-27  5.108E-19 COBE-DIRBE
1.229E+01  3.690E-26  1.203E-17 COBE-DIRBE
2.079E+01  3.616E-26  1.994E-17 COBE-DIRBE
5.599E+01  6.319E-26  9.384E-17 COBE-DIRBE
9.770E+01  1.563E-25  4.050E-16 COBE-DIRBE
1.479E+02  2.486E-25  9.753E-16 COBE-DIRBE
2.479E+02  1.606E-25  1.056E-15 COBE-DIRBE
1.200E+01  3.835E-26  1.221E-17 IRAS
2.500E+01  3.566E-26  2.365E-17 IRAS
6.000E+01  6.787E-26  1.080E-16 IRAS
1.000E+02  1.636E-25  4.338E-16 IRAS
3.550E+00  9.475E-27  8.922E-19 SST-IRAC
4.493E+00  2.891E-27  3.445E-19 SST-IRAC
5.731E+00  2.144E-26  3.259E-18 SST-IRAC
7.872E+00  5.163E-26  1.078E-17 SST-IRAC
2.368E+01  3.259E-26  2.047E-17 SST-MIPS
7.142E+01  7.766E-26  1.471E-16 SST-MIPS
1.559E+02  2.470E-25  1.021E-15 SST-MIPS
1.600E+01  3.182E-26  1.350E-17 SST-IRSPU
2.200E+01  3.396E-26  1.982E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.524E-31  4.044E-20
9.908E+03  1.580E-31  4.152E-20
9.817E+03  1.637E-31  4.263E-20
9.727E+03  1.696E-31  4.377E-20
9.638E+03  1.758E-31  4.494E-20
9.550E+03  1.821E-31  4.614E-20
9.462E+03  1.887E-31  4.737E-20
9.376E+03  1.956E-31  4.864E-20
9.290E+03  2.027E-31  4.994E-20
9.204E+03  2.100E-31  5.127E-20
9.120E+03  2.176E-31  5.264E-20
9.036E+03  2.255E-31  5.405E-20
8.954E+03  2.336E-31  5.549E-20
8.872E+03  2.420E-31  5.696E-20
8.790E+03  2.508E-31  5.847E-20
8.710E+03  2.598E-31  6.002E-20
8.630E+03  2.692E-31  6.162E-20
8.551E+03  2.789E-31  6.326E-20
8.472E+03  2.890E-31  6.494E-20
8.395E+03  2.994E-31  6.667E-20
8.318E+03  3.102E-31  6.844E-20
8.241E+03  3.214E-31  7.027E-20
8.166E+03  3.331E-31  7.214E-20
8.091E+03  3.451E-31  7.407E-20
8.017E+03  3.576E-31  7.605E-20
7.943E+03  3.706E-31  7.808E-20
7.870E+03  3.840E-31  8.017E-20
7.798E+03  3.980E-31  8.232E-20
