Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.131E+00 = <U> 
     mmp83 = radfield
 3.273E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  9.098E-27  3.065E-19 COBE-DIRBE
2.220E+00  1.221E-26  7.189E-19 COBE-DIRBE
3.530E+00  6.428E-26  6.019E-18 COBE-DIRBE
4.880E+00  3.096E-26  4.008E-18 COBE-DIRBE
1.229E+01  3.295E-25  1.074E-16 COBE-DIRBE
2.079E+01  4.016E-25  2.215E-16 COBE-DIRBE
5.599E+01  1.461E-24  2.170E-15 COBE-DIRBE
9.770E+01  1.506E-24  3.904E-15 COBE-DIRBE
1.479E+02  1.071E-24  4.202E-15 COBE-DIRBE
2.479E+02  3.834E-25  2.521E-15 COBE-DIRBE
1.200E+01  3.289E-25  1.047E-16 IRAS
2.500E+01  4.325E-25  2.868E-16 IRAS
6.000E+01  1.485E-24  2.363E-15 IRAS
1.000E+02  1.491E-24  3.954E-15 IRAS
3.550E+00  7.427E-26  6.993E-18 SST-IRAC
4.493E+00  2.267E-26  2.702E-18 SST-IRAC
5.731E+00  1.688E-25  2.566E-17 SST-IRAC
7.872E+00  4.147E-25  8.659E-17 SST-IRAC
2.368E+01  3.900E-25  2.450E-16 SST-MIPS
7.142E+01  1.458E-24  2.763E-15 SST-MIPS
1.559E+02  9.458E-25  3.911E-15 SST-MIPS
1.600E+01  3.240E-25  1.375E-16 SST-IRSPU
2.200E+01  3.970E-25  2.317E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.867E-31  4.952E-20
9.908E+03  1.935E-31  5.085E-20
9.817E+03  2.005E-31  5.222E-20
9.727E+03  2.078E-31  5.362E-20
9.638E+03  2.153E-31  5.505E-20
9.550E+03  2.232E-31  5.653E-20
9.462E+03  2.313E-31  5.805E-20
9.376E+03  2.397E-31  5.960E-20
9.290E+03  2.484E-31  6.120E-20
9.204E+03  2.574E-31  6.284E-20
9.120E+03  2.667E-31  6.453E-20
9.036E+03  2.764E-31  6.626E-20
8.954E+03  2.864E-31  6.803E-20
8.872E+03  2.968E-31  6.984E-20
8.790E+03  3.075E-31  7.170E-20
8.710E+03  3.186E-31  7.361E-20
8.630E+03  3.301E-31  7.557E-20
8.551E+03  3.421E-31  7.759E-20
8.472E+03  3.545E-31  7.966E-20
8.395E+03  3.673E-31  8.179E-20
8.318E+03  3.806E-31  8.397E-20
8.241E+03  3.944E-31  8.622E-20
8.166E+03  4.087E-31  8.853E-20
8.091E+03  4.236E-31  9.090E-20
8.017E+03  4.390E-31  9.334E-20
7.943E+03  4.549E-31  9.585E-20
7.870E+03  4.715E-31  9.842E-20
7.798E+03  4.886E-31  1.011E-19
7.727E+03  5.064E-31  1.038E-19
7.656E+03  5.248E-31  1.066E-19
7.586E+03  5.440E-31  1.095E-19
7.516E+03  5.638E-31  1.124E-19
7.447E+03  5.844E-31  1.154E-19
7.379E+03  6.057E-31  1.186E-19
7.311E+03  6.278E-31  1.218E-19
7.244E+03  6.508E-31  1.251E-19
7.178E+03  6.746E-31  1.284E-19
7.112E+03  6.993E-31  1.319E-19
7.047E+03  7.249E-31  1.355E-19
6.982E+03  7.514E-31  1.392E-19
6.918E+03  7.789E-31  1.429E-19
6.855E+03  8.074E-31  1.468E-19
6.792E+03  8.369E-31  1.508E-19
6.730E+03  8.676E-31  1.549E-19
6.668E+03  8.994E-31  1.591E-19
6.607E+03  9.324E-31  1.634E-19
6.546E+03  9.666E-31  1.678E-19
6.486E+03  1.002E-30  1.724E-19
6.427E+03  1.039E-30  1.771E-19
6.368E+03  1.077E-30  1.819E-19
6.310E+03  1.117E-30  1.869E-19
6.252E+03  1.158E-30  1.920E-19
6.194E+03  1.200E-30  1.972E-19
6.138E+03  1.245E-30  2.026E-19
6.081E+03  1.291E-30  2.082E-19
6.026E+03  1.338E-30  2.139E-19
5.970E+03  1.387E-30  2.197E-19
5.916E+03  1.439E-30  2.258E-19
5.861E+03  1.492E-30  2.320E-19
5.808E+03  1.547E-30  2.383E-19
5.754E+03  1.604E-30  2.449E-19
5.702E+03  1.664E-30  2.516E-19
5.649E+03  1.725E-30  2.585E-19
5.598E+03  1.789E-30  2.656E-19
5.546E+03  1.855E-30  2.730E-19
5.495E+03  1.924E-30  2.805E-19
5.445E+03  1.996E-30  2.882E-19
5.395E+03  2.070E-30  2.962E-19
5.346E+03  2.147E-30  3.044E-19
5.297E+03  2.226E-30  3.128E-19
5.248E+03  2.309E-30  3.214E-19
5.200E+03  2.395E-30  3.303E-19
5.152E+03  2.484E-30  3.395E-19
5.105E+03  2.576E-30  3.489E-19
5.058E+03  2.672E-30  3.586E-19
5.012E+03  2.772E-30  3.685E-19
4.966E+03  2.875E-30  3.787E-19
4.920E+03  2.982E-30  3.893E-19
4.875E+03  3.094E-30  4.001E-19
4.831E+03  3.209E-30  4.112E-19
