Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.051E+00 = <U> 
     mmp83 = radfield
 2.237E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.268E-27  7.641E-20 COBE-DIRBE
2.220E+00  3.812E-27  2.245E-19 COBE-DIRBE
3.530E+00  6.520E-27  6.105E-19 COBE-DIRBE
4.880E+00  4.923E-27  6.372E-19 COBE-DIRBE
1.229E+01  6.899E-26  2.249E-17 COBE-DIRBE
2.079E+01  2.500E-25  1.379E-16 COBE-DIRBE
5.599E+01  1.178E-24  1.749E-15 COBE-DIRBE
9.770E+01  1.066E-24  2.762E-15 COBE-DIRBE
1.479E+02  7.284E-25  2.857E-15 COBE-DIRBE
2.479E+02  2.557E-25  1.681E-15 COBE-DIRBE
1.200E+01  6.424E-26  2.045E-17 IRAS
2.500E+01  3.520E-25  2.334E-16 IRAS
6.000E+01  1.176E-24  1.872E-15 IRAS
1.000E+02  1.051E-24  2.787E-15 IRAS
3.550E+00  6.964E-27  6.558E-19 SST-IRAC
4.493E+00  4.620E-27  5.507E-19 SST-IRAC
5.731E+00  1.080E-26  1.641E-18 SST-IRAC
7.872E+00  4.510E-26  9.418E-18 SST-IRAC
2.368E+01  3.363E-25  2.112E-16 SST-MIPS
7.142E+01  1.091E-24  2.067E-15 SST-MIPS
1.559E+02  6.398E-25  2.646E-15 SST-MIPS
1.600E+01  9.451E-26  4.011E-17 SST-IRSPU
2.200E+01  3.166E-25  1.848E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
