Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.972E+00 = <U> 
     mmp83 = radfield
 2.272E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  9.163E-26  3.087E-18 COBE-DIRBE
2.220E+00  1.178E-25  6.938E-18 COBE-DIRBE
3.530E+00  7.706E-25  7.216E-17 COBE-DIRBE
4.880E+00  3.662E-25  4.741E-17 COBE-DIRBE
1.229E+01  3.659E-24  1.193E-15 COBE-DIRBE
2.079E+01  4.690E-24  2.587E-15 COBE-DIRBE
5.599E+01  8.874E-24  1.318E-14 COBE-DIRBE
9.770E+01  6.425E-24  1.665E-14 COBE-DIRBE
1.479E+02  4.237E-24  1.662E-14 COBE-DIRBE
2.479E+02  1.386E-24  9.115E-15 COBE-DIRBE
1.200E+01  3.808E-24  1.212E-15 IRAS
2.500E+01  5.580E-24  3.700E-15 IRAS
6.000E+01  8.652E-24  1.377E-14 IRAS
1.000E+02  6.303E-24  1.672E-14 IRAS
3.550E+00  8.960E-25  8.437E-17 SST-IRAC
4.493E+00  2.551E-25  3.041E-17 SST-IRAC
5.731E+00  2.220E-24  3.375E-16 SST-IRAC
7.872E+00  5.443E-24  1.136E-15 SST-IRAC
2.368E+01  5.141E-24  3.229E-15 SST-MIPS
7.142E+01  7.122E-24  1.349E-14 SST-MIPS
1.559E+02  3.695E-24  1.528E-14 SST-MIPS
1.600E+01  3.361E-24  1.426E-15 SST-IRSPU
2.200E+01  5.062E-24  2.954E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  5.466E-31  1.450E-19
9.908E+03  5.665E-31  1.489E-19
9.817E+03  5.872E-31  1.529E-19
9.727E+03  6.086E-31  1.570E-19
9.638E+03  6.308E-31  1.613E-19
9.550E+03  6.538E-31  1.656E-19
9.462E+03  6.777E-31  1.701E-19
9.376E+03  7.024E-31  1.747E-19
9.290E+03  7.280E-31  1.794E-19
9.204E+03  7.546E-31  1.842E-19
9.120E+03  7.821E-31  1.892E-19
9.036E+03  8.106E-31  1.943E-19
8.954E+03  8.401E-31  1.995E-19
8.872E+03  8.706E-31  2.049E-19
8.790E+03  9.022E-31  2.104E-19
8.710E+03  9.349E-31  2.160E-19
8.630E+03  9.689E-31  2.218E-19
8.551E+03  1.004E-30  2.278E-19
8.472E+03  1.041E-30  2.339E-19
8.395E+03  1.079E-30  2.402E-19
8.318E+03  1.118E-30  2.466E-19
8.241E+03  1.159E-30  2.533E-19
8.166E+03  1.201E-30  2.601E-19
8.091E+03  1.245E-30  2.671E-19
8.017E+03  1.290E-30  2.743E-19
7.943E+03  1.337E-30  2.818E-19
7.870E+03  1.386E-30  2.894E-19
7.798E+03  1.437E-30  2.972E-19
7.727E+03  1.489E-30  3.053E-19
7.656E+03  1.544E-30  3.136E-19
7.586E+03  1.601E-30  3.221E-19
7.516E+03  1.659E-30  3.308E-19
7.447E+03  1.720E-30  3.398E-19
7.379E+03  1.783E-30  3.490E-19
7.311E+03  1.849E-30  3.586E-19
7.244E+03  1.917E-30  3.683E-19
7.178E+03  1.987E-30  3.784E-19
7.112E+03  2.060E-30  3.887E-19
7.047E+03  2.136E-30  3.993E-19
6.982E+03  2.215E-30  4.102E-19
6.918E+03  2.296E-30  4.214E-19
6.855E+03  2.381E-30  4.329E-19
6.792E+03  2.468E-30  4.447E-19
6.730E+03  2.559E-30  4.569E-19
6.668E+03  2.654E-30  4.694E-19
6.607E+03  2.752E-30  4.822E-19
6.546E+03  2.853E-30  4.955E-19
6.486E+03  2.959E-30  5.091E-19
6.427E+03  3.068E-30  5.230E-19
6.368E+03  3.181E-30  5.374E-19
6.310E+03  3.299E-30  5.522E-19
6.252E+03  3.421E-30  5.674E-19
6.194E+03  3.548E-30  5.830E-19
6.138E+03  3.680E-30  5.991E-19
6.081E+03  3.816E-30  6.156E-19
6.026E+03  3.958E-30  6.326E-19
5.970E+03  4.105E-30  6.501E-19
5.916E+03  4.258E-30  6.681E-19
5.861E+03  4.416E-30  6.866E-19
5.808E+03  4.580E-30  7.056E-19
5.754E+03  4.751E-30  7.252E-19
5.702E+03  4.928E-30  7.453E-19
5.649E+03  5.112E-30  7.660E-19
5.598E+03  5.302E-30  7.873E-19
5.546E+03  5.500E-30  8.092E-19
5.495E+03  5.706E-30  8.317E-19
5.445E+03  5.919E-30  8.549E-19
5.395E+03  6.140E-30  8.787E-19
5.346E+03  6.370E-30  9.033E-19
5.297E+03  6.608E-30  9.285E-19
5.248E+03  6.856E-30  9.544E-19
5.200E+03  7.113E-30  9.811E-19
5.152E+03  7.379E-30  1.009E-18
5.105E+03  7.656E-30  1.037E-18
5.058E+03  7.944E-30  1.066E-18
5.012E+03  8.242E-30  1.096E-18
4.966E+03  8.551E-30  1.126E-18
4.920E+03  8.872E-30  1.158E-18
4.875E+03  9.206E-30  1.191E-18
4.831E+03  9.552E-30  1.224E-18
4.786E+03  9.912E-30  1.258E-18
4.742E+03  1.028E-29  1.294E-18
4.699E+03  1.067E-29  1.330E-18
4.656E+03  1.107E-29  1.368E-18
4.613E+03  1.149E-29  1.406E-18
4.571E+03  1.193E-29  1.446E-18
4.529E+03  1.238E-29  1.487E-18
4.487E+03  1.284E-29  1.529E-18
4.446E+03  1.333E-29  1.572E-18
