Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 5.000E-01 5.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 5.000E-01 = <U> 
     mmp83 = radfield
 3.192E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  6.752E-28  2.275E-20 COBE-DIRBE
2.220E+00  1.191E-27  7.013E-20 COBE-DIRBE
3.530E+00  1.325E-27  1.241E-19 COBE-DIRBE
4.880E+00  1.262E-27  1.634E-19 COBE-DIRBE
1.229E+01  1.193E-26  3.891E-18 COBE-DIRBE
2.079E+01  1.643E-26  9.060E-18 COBE-DIRBE
5.599E+01  3.027E-26  4.496E-17 COBE-DIRBE
9.770E+01  1.313E-25  3.402E-16 COBE-DIRBE
1.479E+02  2.365E-25  9.277E-16 COBE-DIRBE
2.479E+02  1.570E-25  1.032E-15 COBE-DIRBE
1.200E+01  1.219E-26  3.880E-18 IRAS
2.500E+01  1.691E-26  1.122E-17 IRAS
6.000E+01  3.546E-26  5.643E-17 IRAS
1.000E+02  1.393E-25  3.694E-16 IRAS
3.550E+00  1.327E-27  1.250E-19 SST-IRAC
4.493E+00  1.280E-27  1.525E-19 SST-IRAC
5.731E+00  1.303E-27  1.981E-19 SST-IRAC
7.872E+00  7.342E-27  1.533E-18 SST-IRAC
2.368E+01  1.629E-26  1.023E-17 SST-MIPS
7.142E+01  4.945E-26  9.369E-17 SST-MIPS
1.559E+02  2.370E-25  9.803E-16 SST-MIPS
1.600E+01  1.009E-26  4.282E-18 SST-IRSPU
2.200E+01  1.721E-26  1.005E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.437E-31  3.813E-20
9.908E+03  1.489E-31  3.914E-20
9.817E+03  1.543E-31  4.019E-20
9.727E+03  1.599E-31  4.126E-20
9.638E+03  1.657E-31  4.236E-20
9.550E+03  1.717E-31  4.348E-20
9.462E+03  1.779E-31  4.464E-20
9.376E+03  1.843E-31  4.583E-20
9.290E+03  1.909E-31  4.705E-20
9.204E+03  1.978E-31  4.831E-20
9.120E+03  2.050E-31  4.959E-20
9.036E+03  2.124E-31  5.091E-20
8.954E+03  2.200E-31  5.226E-20
8.872E+03  2.279E-31  5.364E-20
8.790E+03  2.361E-31  5.506E-20
8.710E+03  2.446E-31  5.651E-20
8.630E+03  2.534E-31  5.801E-20
8.551E+03  2.625E-31  5.954E-20
8.472E+03  2.720E-31  6.112E-20
8.395E+03  2.818E-31  6.274E-20
8.318E+03  2.919E-31  6.441E-20
