Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E-01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.123E+01 = <U> 
     mmp83 = radfield
 7.151E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.569E-26  5.284E-19 COBE-DIRBE
2.220E+00  2.698E-26  1.589E-18 COBE-DIRBE
3.530E+00  2.996E-26  2.805E-18 COBE-DIRBE
4.880E+00  3.000E-26  3.884E-18 COBE-DIRBE
1.229E+01  7.978E-25  2.601E-16 COBE-DIRBE
2.079E+01  2.443E-24  1.347E-15 COBE-DIRBE
5.599E+01  3.068E-24  4.556E-15 COBE-DIRBE
9.770E+01  2.399E-24  6.217E-15 COBE-DIRBE
1.479E+02  1.527E-24  5.992E-15 COBE-DIRBE
2.479E+02  4.897E-25  3.220E-15 COBE-DIRBE
1.200E+01  6.777E-25  2.157E-16 IRAS
2.500E+01  2.701E-24  1.791E-15 IRAS
6.000E+01  3.020E-24  4.807E-15 IRAS
1.000E+02  2.353E-24  6.242E-15 IRAS
3.550E+00  3.000E-26  2.825E-18 SST-IRAC
4.493E+00  2.971E-26  3.540E-18 SST-IRAC
5.731E+00  3.439E-26  5.227E-18 SST-IRAC
7.872E+00  2.526E-25  5.275E-17 SST-IRAC
2.368E+01  2.644E-24  1.661E-15 SST-MIPS
7.142E+01  2.613E-24  4.949E-15 SST-MIPS
1.559E+02  1.321E-24  5.464E-15 SST-MIPS
1.600E+01  1.229E-24  5.218E-16 SST-IRSPU
2.200E+01  2.707E-24  1.580E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.917E-31  5.084E-20
9.908E+03  1.986E-31  5.221E-20
9.817E+03  2.058E-31  5.360E-20
