Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E-01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.123E+01 = <U> 
     mmp83 = radfield
 5.012E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.958E-26  6.596E-19 COBE-DIRBE
2.220E+00  2.483E-26  1.462E-18 COBE-DIRBE
3.530E+00  2.167E-25  2.029E-17 COBE-DIRBE
4.880E+00  4.498E-25  5.823E-17 COBE-DIRBE
1.229E+01  5.986E-24  1.952E-15 COBE-DIRBE
2.079E+01  1.350E-23  7.442E-15 COBE-DIRBE
5.599E+01  2.224E-23  3.303E-14 COBE-DIRBE
9.770E+01  1.393E-23  3.609E-14 COBE-DIRBE
1.479E+02  7.934E-24  3.112E-14 COBE-DIRBE
2.479E+02  2.211E-24  1.454E-14 COBE-DIRBE
1.200E+01  5.568E-24  1.772E-15 IRAS
2.500E+01  1.704E-23  1.130E-14 IRAS
6.000E+01  2.149E-23  3.421E-14 IRAS
1.000E+02  1.354E-23  3.593E-14 IRAS
3.550E+00  2.438E-25  2.296E-17 SST-IRAC
4.493E+00  3.004E-25  3.580E-17 SST-IRAC
5.731E+00  1.533E-24  2.331E-16 SST-IRAC
7.872E+00  4.894E-24  1.022E-15 SST-IRAC
2.368E+01  1.609E-23  1.011E-14 SST-MIPS
7.142E+01  1.680E-23  3.182E-14 SST-MIPS
1.559E+02  6.718E-24  2.778E-14 SST-MIPS
1.600E+01  8.252E-24  3.502E-15 SST-IRSPU
2.200E+01  1.563E-23  9.119E-15 SST-IRSPU
7.500E+01  1.451E-23  2.886E-14 Herschel-PACS
1.100E+02  9.733E-24  2.840E-14 Herschel-PACS
1.700E+02  5.110E-24  2.304E-14 Herschel-PACS
2.500E+02  1.871E-24  1.241E-14 Herschel-SPIRE
3.600E+02  5.197E-25  4.962E-15 Herschel-SPIRE
5.200E+02  1.268E-25  1.749E-15 Herschel-SPIRE
2.400E+00  3.221E-26  2.050E-18 Akari IRC NIR N2
3.200E+00  1.566E-25  1.329E-17 Akari IRC NIR N3
4.100E+00  2.879E-25  3.131E-17 Akari IRC NIR N4
7.000E+00  4.770E-24  8.857E-16 Akari IRC MIR-S S7
9.000E+00  4.901E-24  1.170E-15 Akari IRC MIR-S S9W
1.100E+01  5.253E-24  1.533E-15 Akari IRC MIR-S S11
1.500E+01  8.719E-24  3.469E-15 Akari IRC MIR-L L15
1.800E+01  1.191E-23  5.685E-15 Akari IRC MIR-L L18W
2.400E+01  1.573E-23  1.001E-14 Akari IRC MIR-L L24
6.500E+01  1.940E-23  3.345E-14 Akari FIS N60
8.000E+01  1.576E-23  3.345E-14 Akari FIS WIDE-S
1.400E+02  7.920E-24  2.941E-14 Akari FIS WIDE-L
1.600E+02  6.388E-24  2.711E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
