Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+00 1.000E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+00 = <U> 
     mmp83 = radfield
 4.486E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.247E-26  4.199E-19 COBE-DIRBE
2.220E+00  1.590E-26  9.364E-19 COBE-DIRBE
3.530E+00  1.032E-25  9.663E-18 COBE-DIRBE
4.880E+00  4.631E-26  5.995E-18 COBE-DIRBE
1.229E+01  4.088E-25  1.333E-16 COBE-DIRBE
2.079E+01  2.602E-25  1.435E-16 COBE-DIRBE
5.599E+01  8.388E-25  1.246E-15 COBE-DIRBE
9.770E+01  2.541E-24  6.585E-15 COBE-DIRBE
1.479E+02  2.774E-24  1.088E-14 COBE-DIRBE
2.479E+02  1.169E-24  7.686E-15 COBE-DIRBE
1.200E+01  4.484E-25  1.427E-16 IRAS
2.500E+01  2.352E-25  1.559E-16 IRAS
6.000E+01  9.989E-25  1.590E-15 IRAS
1.000E+02  2.611E-24  6.927E-15 IRAS
3.550E+00  1.200E-25  1.130E-17 SST-IRAC
4.493E+00  3.370E-26  4.016E-18 SST-IRAC
5.731E+00  2.684E-25  4.081E-17 SST-IRAC
7.872E+00  6.535E-25  1.365E-16 SST-IRAC
2.368E+01  2.087E-25  1.311E-16 SST-MIPS
7.142E+01  1.394E-24  2.641E-15 SST-MIPS
1.559E+02  2.584E-24  1.069E-14 SST-MIPS
1.600E+01  3.136E-25  1.331E-16 SST-IRSPU
2.200E+01  2.264E-25  1.321E-16 SST-IRSPU
7.500E+01  1.173E-24  2.334E-15 Herschel-PACS
1.100E+02  1.928E-24  5.625E-15 Herschel-PACS
1.700E+02  1.973E-24  8.896E-15 Herschel-PACS
2.500E+02  1.022E-24  6.774E-15 Herschel-SPIRE
3.600E+02  3.346E-25  3.195E-15 Herschel-SPIRE
5.200E+02  8.964E-26  1.236E-15 Herschel-SPIRE
2.400E+00  1.782E-26  1.134E-18 Akari IRC NIR N2
3.200E+00  7.938E-26  6.738E-18 Akari IRC NIR N3
4.100E+00  3.656E-26  3.976E-18 Akari IRC NIR N4
7.000E+00  7.409E-25  1.376E-16 Akari IRC MIR-S S7
9.000E+00  5.247E-25  1.253E-16 Akari IRC MIR-S S9W
1.100E+01  4.099E-25  1.196E-16 Akari IRC MIR-S S11
1.500E+01  3.258E-25  1.296E-16 Akari IRC MIR-L L15
1.800E+01  2.677E-25  1.278E-16 Akari IRC MIR-L L18W
2.400E+01  2.189E-25  1.393E-16 Akari IRC MIR-L L24
6.500E+01  1.263E-24  2.177E-15 Akari FIS N60
8.000E+01  2.153E-24  4.570E-15 Akari FIS WIDE-S
1.400E+02  2.796E-24  1.038E-14 Akari FIS WIDE-L
1.600E+02  2.567E-24  1.089E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  5.272E-31  1.399E-19
9.908E+03  5.465E-31  1.436E-19
9.817E+03  5.665E-31  1.475E-19
9.727E+03  5.871E-31  1.515E-19
9.638E+03  6.086E-31  1.556E-19
9.550E+03  6.308E-31  1.598E-19
9.462E+03  6.539E-31  1.641E-19
9.376E+03  6.778E-31  1.686E-19
9.290E+03  7.025E-31  1.731E-19
9.204E+03  7.282E-31  1.778E-19
9.120E+03  7.548E-31  1.826E-19
9.036E+03  7.824E-31  1.875E-19
8.954E+03  8.109E-31  1.926E-19
8.872E+03  8.403E-31  1.977E-19
8.790E+03  8.709E-31  2.031E-19
8.710E+03  9.025E-31  2.085E-19
8.630E+03  9.354E-31  2.141E-19
8.551E+03  9.694E-31  2.199E-19
8.472E+03  1.005E-30  2.258E-19
8.395E+03  1.041E-30  2.319E-19
8.318E+03  1.079E-30  2.382E-19
8.241E+03  1.119E-30  2.446E-19
8.166E+03  1.160E-30  2.512E-19
8.091E+03  1.202E-30  2.580E-19
8.017E+03  1.246E-30  2.650E-19
7.943E+03  1.292E-30  2.721E-19
7.870E+03  1.339E-30  2.795E-19
7.798E+03  1.388E-30  2.871E-19
7.727E+03  1.439E-30  2.949E-19
7.656E+03  1.492E-30  3.029E-19
7.586E+03  1.546E-30  3.112E-19
7.516E+03  1.603E-30  3.196E-19
7.447E+03  1.662E-30  3.283E-19
7.379E+03  1.723E-30  3.373E-19
7.311E+03  1.787E-30  3.465E-19
7.244E+03  1.852E-30  3.559E-19
7.178E+03  1.920E-30  3.657E-19
7.112E+03  1.991E-30  3.757E-19
7.047E+03  2.065E-30  3.859E-19
6.982E+03  2.141E-30  3.965E-19
6.918E+03  2.220E-30  4.073E-19
6.855E+03  2.301E-30  4.185E-19
6.792E+03  2.386E-30  4.299E-19
6.730E+03  2.474E-30  4.417E-19
6.668E+03  2.566E-30  4.538E-19
6.607E+03  2.660E-30  4.663E-19
6.546E+03  2.759E-30  4.791E-19
6.486E+03  2.861E-30  4.922E-19
6.427E+03  2.967E-30  5.058E-19
6.368E+03  3.077E-30  5.197E-19
6.310E+03  3.191E-30  5.340E-19
6.252E+03  3.309E-30  5.487E-19
6.194E+03  3.432E-30  5.639E-19
6.138E+03  3.559E-30  5.795E-19
6.081E+03  3.691E-30  5.955E-19
6.026E+03  3.829E-30  6.120E-19
5.970E+03  3.971E-30  6.289E-19
5.916E+03  4.119E-30  6.463E-19
5.861E+03  4.272E-30  6.642E-19
5.808E+03  4.431E-30  6.827E-19
5.754E+03  4.597E-30  7.016E-19
5.702E+03  4.768E-30  7.211E-19
5.649E+03  4.946E-30  7.412E-19
