Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.200E+00 1.200E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.200E+00 = <U> 
     mmp83 = radfield
 1.132E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.058E-27  6.933E-20 COBE-DIRBE
2.220E+00  2.721E-27  1.602E-19 COBE-DIRBE
3.530E+00  1.124E-26  1.052E-18 COBE-DIRBE
4.880E+00  5.167E-27  6.688E-19 COBE-DIRBE
1.229E+01  6.010E-26  1.959E-17 COBE-DIRBE
2.079E+01  7.251E-26  3.999E-17 COBE-DIRBE
5.599E+01  2.132E-25  3.166E-16 COBE-DIRBE
9.770E+01  6.514E-25  1.688E-15 COBE-DIRBE
1.479E+02  7.573E-25  2.971E-15 COBE-DIRBE
2.479E+02  3.452E-25  2.269E-15 COBE-DIRBE
1.200E+01  5.950E-26  1.894E-17 IRAS
2.500E+01  7.193E-26  4.770E-17 IRAS
6.000E+01  2.495E-25  3.971E-16 IRAS
1.000E+02  6.723E-25  1.783E-15 IRAS
3.550E+00  1.290E-26  1.214E-18 SST-IRAC
4.493E+00  4.046E-27  4.822E-19 SST-IRAC
5.731E+00  2.445E-26  3.716E-18 SST-IRAC
7.872E+00  6.617E-26  1.382E-17 SST-IRAC
2.368E+01  6.664E-26  4.186E-17 SST-MIPS
7.142E+01  3.388E-25  6.418E-16 SST-MIPS
1.559E+02  7.132E-25  2.949E-15 SST-MIPS
1.600E+01  5.861E-26  2.488E-17 SST-IRSPU
2.200E+01  6.954E-26  4.058E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.888E-31  5.007E-20
9.908E+03  1.956E-31  5.142E-20
9.817E+03  2.028E-31  5.280E-20
9.727E+03  2.101E-31  5.422E-20
9.638E+03  2.178E-31  5.567E-20
9.550E+03  2.257E-31  5.717E-20
9.462E+03  2.339E-31  5.871E-20
9.376E+03  2.424E-31  6.028E-20
9.290E+03  2.512E-31  6.190E-20
9.204E+03  2.603E-31  6.356E-20
9.120E+03  2.698E-31  6.527E-20
9.036E+03  2.796E-31  6.702E-20
8.954E+03  2.897E-31  6.882E-20
8.872E+03  3.002E-31  7.065E-20
8.790E+03  3.111E-31  7.253E-20
8.710E+03  3.223E-31  7.447E-20
8.630E+03  3.340E-31  7.646E-20
8.551E+03  3.461E-31  7.850E-20
8.472E+03  3.586E-31  8.060E-20
8.395E+03  3.716E-31  8.276E-20
8.318E+03  3.851E-31  8.497E-20
8.241E+03  3.991E-31  8.725E-20
8.166E+03  4.136E-31  8.959E-20
8.091E+03  4.286E-31  9.200E-20
8.017E+03  4.442E-31  9.447E-20
7.943E+03  4.604E-31  9.701E-20
7.870E+03  4.772E-31  9.962E-20
7.798E+03  4.945E-31  1.023E-19
7.727E+03  5.126E-31  1.051E-19
7.656E+03  5.313E-31  1.079E-19
7.586E+03  5.506E-31  1.108E-19
7.516E+03  5.707E-31  1.138E-19
7.447E+03  5.916E-31  1.169E-19
7.379E+03  6.132E-31  1.200E-19
7.311E+03  6.356E-31  1.233E-19
7.244E+03  6.589E-31  1.266E-19
7.178E+03  6.830E-31  1.300E-19
7.112E+03  7.080E-31  1.336E-19
7.047E+03  7.339E-31  1.372E-19
6.982E+03  7.608E-31  1.409E-19
6.918E+03  7.886E-31  1.447E-19
6.855E+03  8.175E-31  1.486E-19
