Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.200E+00 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.636E+01 = <U> 
     mmp83 = radfield
 7.301E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.855E-26  9.617E-19 COBE-DIRBE
2.220E+00  3.627E-26  2.136E-18 COBE-DIRBE
3.530E+00  3.191E-25  2.988E-17 COBE-DIRBE
4.880E+00  6.722E-25  8.701E-17 COBE-DIRBE
1.229E+01  8.930E-24  2.911E-15 COBE-DIRBE
2.079E+01  2.017E-23  1.112E-14 COBE-DIRBE
5.599E+01  3.286E-23  4.880E-14 COBE-DIRBE
9.770E+01  1.945E-23  5.040E-14 COBE-DIRBE
1.479E+02  1.040E-23  4.079E-14 COBE-DIRBE
2.479E+02  2.703E-24  1.777E-14 COBE-DIRBE
1.200E+01  8.304E-24  2.643E-15 IRAS
2.500E+01  2.549E-23  1.690E-14 IRAS
6.000E+01  3.165E-23  5.037E-14 IRAS
1.000E+02  1.884E-23  4.997E-14 IRAS
3.550E+00  3.588E-25  3.379E-17 SST-IRAC
4.493E+00  4.487E-25  5.347E-17 SST-IRAC
5.731E+00  2.284E-24  3.472E-16 SST-IRAC
7.872E+00  7.291E-24  1.523E-15 SST-IRAC
2.368E+01  2.406E-23  1.512E-14 SST-MIPS
7.142E+01  2.437E-23  4.618E-14 SST-MIPS
1.559E+02  8.687E-24  3.592E-14 SST-MIPS
1.600E+01  1.232E-23  5.228E-15 SST-IRSPU
2.200E+01  2.336E-23  1.364E-14 SST-IRSPU
7.500E+01  2.107E-23  4.191E-14 Herschel-PACS
1.100E+02  1.351E-23  3.942E-14 Herschel-PACS
1.700E+02  6.605E-24  2.978E-14 Herschel-PACS
2.500E+02  2.272E-24  1.506E-14 Herschel-SPIRE
3.600E+02  6.067E-25  5.793E-15 Herschel-SPIRE
5.200E+02  1.444E-25  1.991E-15 Herschel-SPIRE
2.400E+00  4.724E-26  3.008E-18 Akari IRC NIR N2
3.200E+00  2.303E-25  1.955E-17 Akari IRC NIR N3
4.100E+00  4.298E-25  4.674E-17 Akari IRC NIR N4
7.000E+00  7.101E-24  1.319E-15 Akari IRC MIR-S S7
9.000E+00  7.307E-24  1.744E-15 Akari IRC MIR-S S9W
1.100E+01  7.836E-24  2.286E-15 Akari IRC MIR-S S11
1.500E+01  1.301E-23  5.178E-15 Akari IRC MIR-L L15
1.800E+01  1.779E-23  8.494E-15 Akari IRC MIR-L L18W
2.400E+01  2.351E-23  1.497E-14 Akari IRC MIR-L L24
6.500E+01  2.835E-23  4.888E-14 Akari FIS N60
8.000E+01  2.241E-23  4.755E-14 Akari FIS WIDE-S
1.400E+02  1.037E-23  3.850E-14 Akari FIS WIDE-L
1.600E+02  8.205E-24  3.482E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  6.748E-31  1.790E-19
9.908E+03  6.996E-31  1.839E-19
9.817E+03  7.253E-31  1.889E-19
9.727E+03  7.519E-31  1.940E-19
9.638E+03  7.795E-31  1.993E-19
9.550E+03  8.081E-31  2.047E-19
9.462E+03  8.378E-31  2.103E-19
9.376E+03  8.685E-31  2.160E-19
9.290E+03  9.004E-31  2.219E-19
9.204E+03  9.335E-31  2.279E-19
