Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+03 1.000E+03 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+03 = <U> 
     mmp83 = radfield
 4.464E-21 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.690E-24  5.694E-17 COBE-DIRBE
2.220E+00  2.003E-24  1.179E-16 COBE-DIRBE
3.530E+00  1.230E-23  1.152E-15 COBE-DIRBE
4.880E+00  5.492E-24  7.109E-16 COBE-DIRBE
1.229E+01  2.349E-22  7.656E-14 COBE-DIRBE
2.079E+01  6.802E-22  3.751E-13 COBE-DIRBE
5.599E+01  2.897E-21  4.303E-12 COBE-DIRBE
9.770E+01  6.803E-22  1.763E-12 COBE-DIRBE
1.479E+02  1.668E-22  6.542E-13 COBE-DIRBE
2.479E+02  2.114E-23  1.390E-13 COBE-DIRBE
1.200E+01  2.087E-22  6.645E-14 IRAS
2.500E+01  1.180E-21  7.828E-13 IRAS
6.000E+01  2.621E-21  4.171E-12 IRAS
1.000E+02  6.192E-22  1.642E-12 IRAS
3.550E+00  1.431E-23  1.347E-15 SST-IRAC
4.493E+00  3.943E-24  4.699E-16 SST-IRAC
5.731E+00  3.669E-23  5.578E-15 SST-IRAC
7.872E+00  1.580E-22  3.299E-14 SST-IRAC
2.368E+01  1.007E-21  6.326E-13 SST-MIPS
7.142E+01  1.509E-21  2.859E-12 SST-MIPS
1.559E+02  1.175E-22  4.860E-13 SST-MIPS
1.600E+01  3.545E-22  1.505E-13 SST-IRSPU
2.200E+01  9.124E-22  5.324E-13 SST-IRSPU
7.500E+01  1.310E-21  2.606E-12 Herschel-PACS
1.100E+02  4.247E-22  1.239E-12 Herschel-PACS
1.700E+02  9.050E-23  4.081E-13 Herschel-PACS
2.500E+02  1.648E-23  1.093E-13 Herschel-SPIRE
3.600E+02  3.063E-24  2.925E-14 Herschel-SPIRE
5.200E+02  5.821E-25  8.029E-15 Herschel-SPIRE
2.400E+00  2.205E-24  1.404E-16 Akari IRC NIR N2
3.200E+00  9.483E-24  8.049E-16 Akari IRC NIR N3
4.100E+00  4.300E-24  4.677E-16 Akari IRC NIR N4
7.000E+00  1.602E-22  2.975E-14 Akari IRC MIR-S S7
9.000E+00  1.542E-22  3.682E-14 Akari IRC MIR-S S9W
1.100E+01  1.862E-22  5.432E-14 Akari IRC MIR-S S11
1.500E+01  3.516E-22  1.399E-13 Akari IRC MIR-L L15
1.800E+01  5.612E-22  2.679E-13 Akari IRC MIR-L L18W
2.400E+01  8.850E-22  5.634E-13 Akari IRC MIR-L L24
6.500E+01  1.990E-21  3.432E-12 Akari FIS N60
8.000E+01  1.060E-21  2.249E-12 Akari FIS WIDE-S
1.400E+02  1.624E-22  6.031E-13 Akari FIS WIDE-L
1.600E+02  1.030E-22  4.372E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.714E-30  4.546E-19
9.908E+03  1.777E-30  4.670E-19
9.817E+03  1.843E-30  4.798E-19
9.727E+03  1.910E-30  4.930E-19
9.638E+03  1.981E-30  5.064E-19
9.550E+03  2.054E-30  5.203E-19
9.462E+03  2.130E-30  5.346E-19
9.376E+03  2.208E-30  5.492E-19
9.290E+03  2.290E-30  5.642E-19
9.204E+03  2.374E-30  5.797E-19
9.120E+03  2.462E-30  5.956E-19
9.036E+03  2.553E-30  6.119E-19
8.954E+03  2.647E-30  6.286E-19
8.872E+03  2.744E-30  6.457E-19
8.790E+03  2.845E-30  6.633E-19
8.710E+03  2.949E-30  6.814E-19
8.630E+03  3.058E-30  7.000E-19
8.551E+03  3.170E-30  7.191E-19
8.472E+03  3.287E-30  7.388E-19
8.395E+03  3.408E-30  7.590E-19
8.318E+03  3.534E-30  7.798E-19
8.241E+03  3.665E-30  8.011E-19
8.166E+03  3.800E-30  8.231E-19
8.091E+03  3.941E-30  8.457E-19
8.017E+03  4.086E-30  8.690E-19
7.943E+03  4.238E-30  8.929E-19
7.870E+03  4.395E-30  9.175E-19
7.798E+03  4.557E-30  9.427E-19
7.727E+03  4.726E-30  9.687E-19
7.656E+03  4.902E-30  9.955E-19
7.586E+03  5.084E-30  1.023E-18
7.516E+03  5.273E-30  1.051E-18
