Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+03 1.000E+03 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+03 = <U> 
     mmp83 = radfield
 4.440E-21 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  6.625E-24  2.232E-16 COBE-DIRBE
2.220E+00  8.344E-24  4.914E-16 COBE-DIRBE
3.530E+00  5.556E-23  5.202E-15 COBE-DIRBE
4.880E+00  2.497E-23  3.232E-15 COBE-DIRBE
1.229E+01  3.518E-22  1.147E-13 COBE-DIRBE
2.079E+01  6.665E-22  3.676E-13 COBE-DIRBE
5.599E+01  2.759E-21  4.098E-12 COBE-DIRBE
9.770E+01  6.639E-22  1.720E-12 COBE-DIRBE
1.479E+02  1.640E-22  6.433E-13 COBE-DIRBE
2.479E+02  2.086E-23  1.371E-13 COBE-DIRBE
1.200E+01  3.515E-22  1.119E-13 IRAS
2.500E+01  1.114E-21  7.386E-13 IRAS
6.000E+01  2.499E-21  3.977E-12 IRAS
1.000E+02  6.048E-22  1.604E-12 IRAS
3.550E+00  6.464E-23  6.087E-15 SST-IRAC
4.493E+00  1.802E-23  2.147E-15 SST-IRAC
5.731E+00  1.499E-22  2.278E-14 SST-IRAC
7.872E+00  4.118E-22  8.598E-14 SST-IRAC
2.368E+01  9.487E-22  5.959E-13 SST-MIPS
7.142E+01  1.458E-21  2.763E-12 SST-MIPS
1.559E+02  1.157E-22  4.785E-13 SST-MIPS
1.600E+01  4.015E-22  1.704E-13 SST-IRSPU
2.200E+01  8.669E-22  5.059E-13 SST-IRSPU
7.500E+01  1.266E-21  2.519E-12 Herschel-PACS
1.100E+02  4.153E-22  1.212E-12 Herschel-PACS
1.700E+02  8.908E-23  4.017E-13 Herschel-PACS
2.500E+02  1.626E-23  1.078E-13 Herschel-SPIRE
3.600E+02  3.022E-24  2.885E-14 Herschel-SPIRE
5.200E+02  5.742E-25  7.921E-15 Herschel-SPIRE
2.400E+00  9.370E-24  5.965E-16 Akari IRC NIR N2
3.200E+00  4.266E-23  3.621E-15 Akari IRC NIR N3
4.100E+00  1.958E-23  2.130E-15 Akari IRC NIR N4
7.000E+00  4.551E-22  8.450E-14 Akari IRC MIR-S S7
9.000E+00  3.480E-22  8.309E-14 Akari IRC MIR-S S9W
1.100E+01  3.168E-22  9.244E-14 Akari IRC MIR-S S11
1.500E+01  4.009E-22  1.595E-13 Akari IRC MIR-L L15
1.800E+01  5.647E-22  2.696E-13 Akari IRC MIR-L L18W
2.400E+01  8.396E-22  5.345E-13 Akari IRC MIR-L L24
6.500E+01  1.917E-21  3.304E-12 Akari FIS N60
8.000E+01  1.028E-21  2.181E-12 Akari FIS WIDE-S
1.400E+02  1.597E-22  5.932E-13 Akari FIS WIDE-L
1.600E+02  1.015E-22  4.306E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.703E-30  4.518E-19
9.908E+03  1.766E-30  4.641E-19
9.817E+03  1.831E-30  4.768E-19
9.727E+03  1.898E-30  4.898E-19
9.638E+03  1.968E-30  5.032E-19
9.550E+03  2.041E-30  5.170E-19
9.462E+03  2.116E-30  5.311E-19
