Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.000E+00 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.704E+01 = <U> 
     mmp83 = radfield
 1.780E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.966E-26  1.673E-18 COBE-DIRBE
2.220E+00  6.662E-26  3.923E-18 COBE-DIRBE
3.530E+00  3.512E-25  3.289E-17 COBE-DIRBE
4.880E+00  1.702E-25  2.203E-17 COBE-DIRBE
1.229E+01  2.126E-24  6.930E-16 COBE-DIRBE
2.079E+01  3.209E-24  1.770E-15 COBE-DIRBE
5.599E+01  8.946E-24  1.329E-14 COBE-DIRBE
9.770E+01  6.467E-24  1.676E-14 COBE-DIRBE
1.479E+02  3.476E-24  1.364E-14 COBE-DIRBE
2.479E+02  9.104E-25  5.986E-15 COBE-DIRBE
1.200E+01  2.089E-24  6.648E-16 IRAS
2.500E+01  3.789E-24  2.513E-15 IRAS
6.000E+01  8.781E-24  1.397E-14 IRAS
1.000E+02  6.286E-24  1.667E-14 IRAS
3.550E+00  4.058E-25  3.821E-17 SST-IRAC
4.493E+00  1.243E-25  1.481E-17 SST-IRAC
5.731E+00  9.462E-25  1.438E-16 SST-IRAC
7.872E+00  2.516E-24  5.254E-16 SST-IRAC
2.368E+01  3.496E-24  2.196E-15 SST-MIPS
7.142E+01  7.624E-24  1.444E-14 SST-MIPS
1.559E+02  2.898E-24  1.198E-14 SST-MIPS
1.600E+01  2.221E-24  9.425E-16 SST-IRSPU
2.200E+01  3.439E-24  2.007E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.517E-31  6.677E-20
9.908E+03  2.609E-31  6.856E-20
9.817E+03  2.704E-31  7.041E-20
9.727E+03  2.802E-31  7.230E-20
