Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.500E+00 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.502E+01 = <U> 
     mmp83 = radfield
 8.296E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  8.433E-27  2.841E-19 COBE-DIRBE
2.220E+00  1.413E-26  8.322E-19 COBE-DIRBE
3.530E+00  2.414E-26  2.260E-18 COBE-DIRBE
4.880E+00  1.819E-26  2.355E-18 COBE-DIRBE
1.229E+01  2.297E-25  7.488E-17 COBE-DIRBE
2.079E+01  5.066E-25  2.794E-16 COBE-DIRBE
5.599E+01  5.110E-24  7.589E-15 COBE-DIRBE
9.770E+01  4.772E-24  1.237E-14 COBE-DIRBE
1.479E+02  2.593E-24  1.017E-14 COBE-DIRBE
2.479E+02  6.595E-25  4.336E-15 COBE-DIRBE
1.200E+01  2.226E-25  7.085E-17 IRAS
2.500E+01  7.024E-25  4.658E-16 IRAS
6.000E+01  5.195E-24  8.269E-15 IRAS
1.000E+02  4.660E-24  1.236E-14 IRAS
3.550E+00  2.578E-26  2.427E-18 SST-IRAC
4.493E+00  1.710E-26  2.038E-18 SST-IRAC
5.731E+00  3.899E-26  5.928E-18 SST-IRAC
7.872E+00  1.575E-25  3.289E-17 SST-IRAC
2.368E+01  6.361E-25  3.996E-16 SST-MIPS
7.142E+01  5.157E-24  9.769E-15 SST-MIPS
1.559E+02  2.154E-24  8.907E-15 SST-MIPS
1.600E+01  2.531E-25  1.074E-16 SST-IRSPU
2.200E+01  6.135E-25  3.580E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.659E-31  4.402E-20
9.908E+03  1.720E-31  4.520E-20
9.817E+03  1.782E-31  4.641E-20
9.727E+03  1.847E-31  4.765E-20
9.638E+03  1.914E-31  4.893E-20
9.550E+03  1.983E-31  5.024E-20
9.462E+03  2.055E-31  5.158E-20
9.376E+03  2.130E-31  5.297E-20
9.290E+03  2.207E-31  5.438E-20
9.204E+03  2.287E-31  5.584E-20
9.120E+03  2.370E-31  5.734E-20
9.036E+03  2.456E-31  5.887E-20
8.954E+03  2.545E-31  6.044E-20
8.872E+03  2.637E-31  6.205E-20
8.790E+03  2.732E-31  6.370E-20
8.710E+03  2.830E-31  6.539E-20
8.630E+03  2.933E-31  6.713E-20
8.551E+03  3.039E-31  6.892E-20
8.472E+03  3.149E-31  7.076E-20
8.395E+03  3.263E-31  7.265E-20
8.318E+03  3.381E-31  7.459E-20
8.241E+03  3.503E-31  7.658E-20
8.166E+03  3.630E-31  7.863E-20
8.091E+03  3.762E-31  8.074E-20
8.017E+03  3.899E-31  8.290E-20
7.943E+03  4.040E-31  8.513E-20
7.870E+03  4.187E-31  8.741E-20
7.798E+03  4.339E-31  8.976E-20
7.727E+03  4.497E-31  9.218E-20
7.656E+03  4.661E-31  9.466E-20
7.586E+03  4.831E-31  9.721E-20
7.516E+03  5.007E-31  9.983E-20
7.447E+03  5.190E-31  1.025E-19
7.379E+03  5.379E-31  1.053E-19
7.311E+03  5.576E-31  1.081E-19
7.244E+03  5.779E-31  1.111E-19
7.178E+03  5.991E-31  1.141E-19
7.112E+03  6.210E-31  1.172E-19
7.047E+03  6.437E-31  1.203E-19
6.982E+03  6.673E-31  1.236E-19
6.918E+03  6.917E-31  1.269E-19
6.855E+03  7.170E-31  1.304E-19
6.792E+03  7.432E-31  1.339E-19
6.730E+03  7.705E-31  1.375E-19
6.668E+03  7.987E-31  1.413E-19
6.607E+03  8.280E-31  1.451E-19
6.546E+03  8.584E-31  1.491E-19
6.486E+03  8.900E-31  1.531E-19
6.427E+03  9.227E-31  1.573E-19
6.368E+03  9.566E-31  1.616E-19
6.310E+03  9.919E-31  1.660E-19
6.252E+03  1.028E-30  1.705E-19
6.194E+03  1.066E-30  1.752E-19
6.138E+03  1.106E-30  1.800E-19
6.081E+03  1.146E-30  1.849E-19
6.026E+03  1.189E-30  1.900E-19
5.970E+03  1.233E-30  1.952E-19
5.916E+03  1.278E-30  2.006E-19
5.861E+03  1.326E-30  2.061E-19
5.808E+03  1.375E-30  2.118E-19
5.754E+03  1.426E-30  2.176E-19
5.702E+03  1.478E-30  2.236E-19
5.649E+03  1.533E-30  2.298E-19
5.598E+03  1.590E-30  2.361E-19
5.546E+03  1.649E-30  2.426E-19
5.495E+03  1.710E-30  2.493E-19
5.445E+03  1.774E-30  2.562E-19
5.395E+03  1.840E-30  2.633E-19
5.346E+03  1.909E-30  2.706E-19
5.297E+03  1.980E-30  2.781E-19
5.248E+03  2.053E-30  2.858E-19
5.200E+03  2.130E-30  2.938E-19
5.152E+03  2.209E-30  3.020E-19
5.105E+03  2.292E-30  3.103E-19
5.058E+03  2.377E-30  3.190E-19
5.012E+03  2.466E-30  3.279E-19
4.966E+03  2.558E-30  3.370E-19
4.920E+03  2.654E-30  3.464E-19
4.875E+03  2.753E-30  3.560E-19
4.831E+03  2.856E-30  3.660E-19
4.786E+03  2.963E-30  3.762E-19
4.742E+03  3.074E-30  3.867E-19
4.699E+03  3.190E-30  3.976E-19
4.656E+03  3.309E-30  4.087E-19
4.613E+03  3.433E-30  4.201E-19
4.571E+03  3.562E-30  4.319E-19
4.529E+03  3.696E-30  4.441E-19
4.487E+03  3.835E-30  4.566E-19
4.446E+03  3.980E-30  4.694E-19
4.406E+03  4.130E-30  4.826E-19
4.365E+03  4.286E-30  4.962E-19
4.325E+03  4.447E-30  5.102E-19
4.285E+03  4.615E-30  5.246E-19
4.246E+03  4.789E-30  5.394E-19
4.207E+03  4.970E-30  5.547E-19
4.169E+03  5.158E-30  5.704E-19
4.130E+03  5.354E-30  5.866E-19
4.093E+03  5.556E-30  6.032E-19
4.055E+03  5.767E-30  6.203E-19
4.018E+03  5.985E-30  6.379E-19
3.981E+03  6.212E-30  6.560E-19
3.945E+03  6.447E-30  6.746E-19
3.908E+03  6.692E-30  6.938E-19
3.873E+03  6.946E-30  7.135E-19
3.837E+03  7.209E-30  7.338E-19
3.802E+03  7.483E-30  7.547E-19
3.767E+03  7.768E-30  7.762E-19
3.733E+03  8.063E-30  7.983E-19
3.698E+03  8.370E-30  8.211E-19
3.664E+03  8.689E-30  8.446E-19
3.631E+03  9.021E-30  8.688E-19
3.597E+03  9.365E-30  8.937E-19
3.565E+03  9.723E-30  9.193E-19
3.532E+03  1.009E-29  9.457E-19
3.499E+03  1.048E-29  9.729E-19
3.467E+03  1.088E-29  1.001E-18
3.436E+03  1.130E-29  1.030E-18
3.404E+03  1.173E-29  1.059E-18
3.373E+03  1.218E-29  1.090E-18
3.342E+03  1.265E-29  1.121E-18
3.311E+03  1.314E-29  1.154E-18
3.281E+03  1.364E-29  1.187E-18
3.251E+03  1.417E-29  1.222E-18
3.221E+03  1.471E-29  1.257E-18
3.192E+03  1.528E-29  1.293E-18
3.162E+03  1.587E-29  1.331E-18
3.133E+03  1.648E-29  1.370E-18
3.105E+03  1.712E-29  1.409E-18
3.076E+03  1.778E-29  1.450E-18
3.048E+03  1.846E-29  1.493E-18
3.020E+03  1.918E-29  1.536E-18
2.992E+03  1.992E-29  1.581E-18
2.965E+03  2.069E-29  1.627E-18
2.938E+03  2.149E-29  1.674E-18
2.911E+03  2.232E-29  1.723E-18
2.884E+03  2.318E-29  1.773E-18
2.858E+03  2.408E-29  1.825E-18
2.831E+03  2.501E-29  1.878E-18
2.805E+03  2.598E-29  1.933E-18
2.780E+03  2.698E-29  1.990E-18
2.754E+03  2.803E-29  2.048E-18
2.729E+03  2.912E-29  2.108E-18
2.704E+03  3.025E-29  2.170E-18
2.679E+03  3.143E-29  2.233E-18
2.655E+03  3.265E-29  2.299E-18
2.630E+03  3.392E-29  2.367E-18
2.606E+03  3.524E-29  2.436E-18
2.582E+03  3.662E-29  2.508E-18
2.559E+03  3.805E-29  2.582E-18
2.535E+03  3.953E-29  2.658E-18
2.512E+03  4.108E-29  2.737E-18
2.489E+03  4.268E-29  2.818E-18
2.466E+03  4.435E-29  2.901E-18
2.443E+03  4.609E-29  2.987E-18
2.421E+03  4.789E-29  3.076E-18
2.399E+03  4.977E-29  3.167E-18
2.377E+03  5.172E-29  3.261E-18
2.355E+03  5.375E-29  3.358E-18
2.333E+03  5.586E-29  3.458E-18
2.312E+03  5.806E-29  3.561E-18
2.291E+03  6.034E-29  3.667E-18
2.270E+03  6.271E-29  3.776E-18
2.249E+03  6.518E-29  3.888E-18
2.228E+03  6.774E-29  4.004E-18
2.208E+03  7.041E-29  4.124E-18
2.188E+03  7.318E-29  4.247E-18
2.168E+03  7.607E-29  4.374E-18
2.148E+03  7.907E-29  4.505E-18
2.128E+03  8.219E-29  4.640E-18
2.109E+03  8.543E-29  4.779E-18
2.089E+03  8.881E-29  4.922E-18
2.070E+03  9.232E-29  5.069E-18
2.051E+03  9.596E-29  5.221E-18
2.032E+03  9.976E-29  5.378E-18
2.014E+03  1.037E-28  5.539E-18
1.995E+03  1.078E-28  5.706E-18
1.977E+03  1.121E-28  5.877E-18
1.959E+03  1.165E-28  6.053E-18
1.941E+03  1.211E-28  6.235E-18
1.923E+03  1.259E-28  6.423E-18
1.905E+03  1.309E-28  6.616E-18
1.888E+03  1.361E-28  6.815E-18
1.871E+03  1.415E-28  7.021E-18
1.854E+03  1.471E-28  7.232E-18
1.837E+03  1.529E-28  7.450E-18
1.820E+03  1.590E-28  7.675E-18
1.803E+03  1.653E-28  7.906E-18
1.786E+03  1.719E-28  8.145E-18
1.770E+03  1.787E-28  8.391E-18
1.754E+03  1.858E-28  8.645E-18
1.738E+03  1.932E-28  8.906E-18
1.722E+03  2.009E-28  9.175E-18
1.706E+03  2.089E-28  9.453E-18
1.690E+03  2.172E-28  9.739E-18
1.675E+03  2.258E-28  1.003E-17
1.660E+03  2.348E-28  1.034E-17
1.644E+03  2.442E-28  1.065E-17
1.629E+03  2.539E-28  1.097E-17
1.614E+03  2.640E-28  1.130E-17
1.600E+03  2.745E-28  1.165E-17
1.585E+03  2.854E-28  1.200E-17
1.570E+03  2.968E-28  1.236E-17
1.556E+03  3.086E-28  1.274E-17
1.542E+03  3.209E-28  1.312E-17
1.528E+03  3.337E-28  1.352E-17
1.514E+03  3.470E-28  1.393E-17
1.500E+03  3.608E-28  1.435E-17
1.486E+03  3.752E-28  1.479E-17
1.472E+03  3.902E-28  1.524E-17
1.459E+03  4.058E-28  1.570E-17
1.445E+03  4.220E-28  1.618E-17
1.432E+03  4.388E-28  1.667E-17
1.419E+03  4.563E-28  1.718E-17
1.406E+03  4.745E-28  1.770E-17
1.393E+03  4.935E-28  1.824E-17
1.380E+03  5.132E-28  1.879E-17
1.368E+03  5.336E-28  1.936E-17
1.355E+03  5.549E-28  1.995E-17
1.343E+03  5.771E-28  2.055E-17
1.330E+03  6.001E-28  2.118E-17
1.318E+03  6.241E-28  2.182E-17
1.306E+03  6.490E-28  2.249E-17
1.294E+03  6.749E-28  2.317E-17
1.282E+03  7.018E-28  2.387E-17
1.271E+03  7.298E-28  2.460E-17
1.259E+03  7.589E-28  2.534E-17
1.247E+03  7.892E-28  2.611E-17
1.236E+03  8.206E-28  2.690E-17
1.225E+03  8.533E-28  2.772E-17
1.213E+03  8.873E-28  2.856E-17
1.202E+03  9.227E-28  2.943E-17
1.191E+03  9.594E-28  3.032E-17
1.180E+03  9.976E-28  3.123E-17
1.169E+03  1.037E-27  3.218E-17
1.159E+03  1.079E-27  3.315E-17
1.148E+03  1.122E-27  3.416E-17
1.138E+03  1.166E-27  3.519E-17
1.127E+03  1.213E-27  3.625E-17
1.117E+03  1.261E-27  3.735E-17
1.107E+03  1.311E-27  3.848E-17
1.096E+03  1.363E-27  3.964E-17
1.086E+03  1.417E-27  4.084E-17
1.076E+03  1.473E-27  4.207E-17
1.067E+03  1.532E-27  4.333E-17
1.057E+03  1.592E-27  4.464E-17
1.047E+03  1.656E-27  4.598E-17
1.038E+03  1.721E-27  4.737E-17
1.028E+03  1.789E-27  4.879E-17
1.019E+03  1.860E-27  5.025E-17
1.009E+03  1.934E-27  5.176E-17
1.000E+03  2.010E-27  5.331E-17
9.908E+02  2.089E-27  5.492E-17
9.817E+02  2.172E-27  5.657E-17
9.727E+02  2.258E-27  5.826E-17
9.638E+02  2.347E-27  6.001E-17
9.550E+02  2.440E-27  6.181E-17
9.462E+02  2.536E-27  6.366E-17
9.376E+02  2.636E-27  6.557E-17
9.290E+02  2.740E-27  6.753E-17
9.204E+02  2.848E-27  6.954E-17
9.120E+02  2.960E-27  7.162E-17
9.036E+02  3.077E-27  7.375E-17
8.954E+02  3.198E-27  7.595E-17
8.872E+02  3.323E-27  7.821E-17
8.790E+02  3.454E-27  8.053E-17
8.710E+02  3.589E-27  8.292E-17
8.630E+02  3.729E-27  8.537E-17
8.551E+02  3.875E-27  8.790E-17
8.472E+02  4.027E-27  9.049E-17
8.395E+02  4.184E-27  9.316E-17
8.318E+02  4.347E-27  9.591E-17
8.241E+02  4.516E-27  9.873E-17
8.166E+02  4.692E-27  1.016E-16
8.091E+02  4.874E-27  1.046E-16
8.017E+02  5.064E-27  1.077E-16
7.943E+02  5.260E-27  1.108E-16
