Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.500E+00 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.225E+01 = <U> 
     mmp83 = radfield
 2.053E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.518E-26  1.522E-18 COBE-DIRBE
2.220E+00  7.752E-26  4.565E-18 COBE-DIRBE
3.530E+00  8.607E-26  8.059E-18 COBE-DIRBE
4.880E+00  8.657E-26  1.121E-17 COBE-DIRBE
1.229E+01  2.425E-24  7.906E-16 COBE-DIRBE
2.079E+01  7.541E-24  4.159E-15 COBE-DIRBE
5.599E+01  9.329E-24  1.386E-14 COBE-DIRBE
9.770E+01  6.440E-24  1.669E-14 COBE-DIRBE
1.479E+02  3.418E-24  1.341E-14 COBE-DIRBE
2.479E+02  8.816E-25  5.796E-15 COBE-DIRBE
1.200E+01  2.048E-24  6.520E-16 IRAS
2.500E+01  8.343E-24  5.532E-15 IRAS
6.000E+01  9.123E-24  1.452E-14 IRAS
1.000E+02  6.253E-24  1.659E-14 IRAS
3.550E+00  8.621E-26  8.118E-18 SST-IRAC
4.493E+00  8.554E-26  1.020E-17 SST-IRAC
5.731E+00  1.000E-25  1.521E-17 SST-IRAC
7.872E+00  7.476E-25  1.561E-16 SST-IRAC
2.368E+01  8.169E-24  5.131E-15 SST-MIPS
7.142E+01  7.694E-24  1.458E-14 SST-MIPS
1.559E+02  2.839E-24  1.174E-14 SST-MIPS
1.600E+01  3.784E-24  1.606E-15 SST-IRSPU
2.200E+01  8.362E-24  4.880E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.344E-31  6.217E-20
9.908E+03  2.429E-31  6.384E-20
9.817E+03  2.517E-31  6.555E-20
9.727E+03  2.609E-31  6.731E-20
9.638E+03  2.703E-31  6.912E-20
9.550E+03  2.802E-31  7.097E-20
9.462E+03  2.903E-31  7.287E-20
9.376E+03  3.009E-31  7.483E-20
9.290E+03  3.118E-31  7.684E-20
9.204E+03  3.231E-31  7.890E-20
9.120E+03  3.349E-31  8.101E-20
9.036E+03  3.470E-31  8.319E-20
8.954E+03  3.596E-31  8.541E-20
8.872E+03  3.726E-31  8.768E-20
8.790E+03  3.860E-31  9.001E-20
8.710E+03  4.000E-31  9.241E-20
8.630E+03  4.144E-31  9.487E-20
8.551E+03  4.294E-31  9.740E-20
8.472E+03  4.450E-31  1.000E-19
8.395E+03  4.611E-31  1.027E-19
8.318E+03  4.778E-31  1.054E-19
8.241E+03  4.951E-31  1.082E-19
8.166E+03  5.131E-31  1.111E-19
8.091E+03  5.317E-31  1.141E-19
8.017E+03  5.511E-31  1.172E-19
7.943E+03  5.711E-31  1.203E-19
7.870E+03  5.919E-31  1.236E-19
7.798E+03  6.134E-31  1.269E-19
7.727E+03  6.358E-31  1.303E-19
7.656E+03  6.590E-31  1.338E-19
7.586E+03  6.830E-31  1.374E-19
7.516E+03  7.079E-31  1.411E-19
7.447E+03  7.338E-31  1.450E-19
7.379E+03  7.606E-31  1.489E-19
7.311E+03  7.884E-31  1.529E-19
7.244E+03  8.172E-31  1.570E-19
7.178E+03  8.472E-31  1.613E-19
7.112E+03  8.782E-31  1.657E-19
7.047E+03  9.104E-31  1.702E-19
6.982E+03  9.437E-31  1.748E-19
6.918E+03  9.783E-31  1.795E-19
6.855E+03  1.014E-30  1.844E-19
6.792E+03  1.051E-30  1.894E-19
6.730E+03  1.090E-30  1.946E-19
6.668E+03  1.130E-30  1.998E-19
6.607E+03  1.171E-30  2.053E-19
6.546E+03  1.214E-30  2.109E-19
6.486E+03  1.259E-30  2.166E-19
6.427E+03  1.305E-30  2.225E-19
6.368E+03  1.354E-30  2.286E-19
6.310E+03  1.403E-30  2.349E-19
6.252E+03  1.455E-30  2.413E-19
6.194E+03  1.509E-30  2.479E-19
6.138E+03  1.565E-30  2.547E-19
6.081E+03  1.622E-30  2.617E-19
6.026E+03  1.682E-30  2.689E-19
5.970E+03  1.745E-30  2.763E-19
5.916E+03  1.809E-30  2.839E-19
5.861E+03  1.876E-30  2.917E-19
5.808E+03  1.946E-30  2.998E-19
5.754E+03  2.018E-30  3.080E-19
5.702E+03  2.093E-30  3.165E-19
5.649E+03  2.171E-30  3.253E-19
5.598E+03  2.251E-30  3.343E-19
5.546E+03  2.335E-30  3.435E-19
5.495E+03  2.422E-30  3.530E-19
5.445E+03  2.512E-30  3.628E-19
5.395E+03  2.606E-30  3.729E-19
5.346E+03  2.703E-30  3.832E-19
5.297E+03  2.803E-30  3.939E-19
5.248E+03  2.908E-30  4.048E-19
5.200E+03  3.017E-30  4.161E-19
5.152E+03  3.129E-30  4.277E-19
5.105E+03  3.246E-30  4.396E-19
5.058E+03  3.368E-30  4.518E-19
5.012E+03  3.494E-30  4.645E-19
4.966E+03  3.624E-30  4.774E-19
4.920E+03  3.760E-30  4.907E-19
4.875E+03  3.901E-30  5.044E-19
4.831E+03  4.047E-30  5.185E-19
4.786E+03  4.199E-30  5.331E-19
4.742E+03  4.356E-30  5.480E-19
4.699E+03  4.520E-30  5.634E-19
4.656E+03  4.690E-30  5.792E-19
4.613E+03  4.866E-30  5.954E-19
4.571E+03  5.049E-30  6.122E-19
4.529E+03  5.239E-30  6.294E-19
4.487E+03  5.437E-30  6.471E-19
4.446E+03  5.642E-30  6.654E-19
4.406E+03  5.855E-30  6.842E-19
4.365E+03  6.076E-30  7.035E-19
4.325E+03  6.305E-30  7.234E-19
4.285E+03  6.543E-30  7.438E-19
4.246E+03  6.791E-30  7.649E-19
4.207E+03  7.048E-30  7.866E-19
4.169E+03  7.315E-30  8.089E-19
4.130E+03  7.592E-30  8.318E-19
4.093E+03  7.880E-30  8.555E-19
4.055E+03  8.179E-30  8.798E-19
4.018E+03  8.490E-30  9.048E-19
3.981E+03  8.812E-30  9.305E-19
3.945E+03  9.146E-30  9.570E-19
3.908E+03  9.493E-30  9.842E-19
3.873E+03  9.854E-30  1.012E-18
3.837E+03  1.023E-29  1.041E-18
3.802E+03  1.062E-29  1.071E-18
3.767E+03  1.102E-29  1.101E-18
3.733E+03  1.144E-29  1.133E-18
3.698E+03  1.188E-29  1.165E-18
3.664E+03  1.233E-29  1.199E-18
3.631E+03  1.280E-29  1.233E-18
3.597E+03  1.329E-29  1.268E-18
3.565E+03  1.380E-29  1.305E-18
3.532E+03  1.433E-29  1.342E-18
3.499E+03  1.488E-29  1.381E-18
3.467E+03  1.545E-29  1.421E-18
3.436E+03  1.604E-29  1.462E-18
3.404E+03  1.666E-29  1.504E-18
3.373E+03  1.730E-29  1.548E-18
3.342E+03  1.796E-29  1.592E-18
3.311E+03  1.865E-29  1.639E-18
3.281E+03  1.937E-29  1.686E-18
3.251E+03  2.012E-29  1.735E-18
3.221E+03  2.089E-29  1.785E-18
3.192E+03  2.170E-29  1.837E-18
3.162E+03  2.254E-29  1.891E-18
3.133E+03  2.341E-29  1.946E-18
3.105E+03  2.431E-29  2.002E-18
3.076E+03  2.525E-29  2.061E-18
3.048E+03  2.623E-29  2.121E-18
3.020E+03  2.725E-29  2.183E-18
2.992E+03  2.830E-29  2.246E-18
2.965E+03  2.940E-29  2.312E-18
2.938E+03  3.053E-29  2.379E-18
2.911E+03  3.171E-29  2.449E-18
2.884E+03  3.294E-29  2.520E-18
2.858E+03  3.422E-29  2.594E-18
2.831E+03  3.554E-29  2.669E-18
2.805E+03  3.692E-29  2.748E-18
2.780E+03  3.836E-29  2.828E-18
2.754E+03  3.985E-29  2.911E-18
2.729E+03  4.140E-29  2.997E-18
2.704E+03  4.301E-29  3.085E-18
2.679E+03  4.468E-29  3.175E-18
2.655E+03  4.642E-29  3.269E-18
2.630E+03  4.823E-29  3.365E-18
2.606E+03  5.011E-29  3.464E-18
2.582E+03  5.207E-29  3.566E-18
2.559E+03  5.410E-29  3.672E-18
2.535E+03  5.621E-29  3.780E-18
2.512E+03  5.841E-29  3.892E-18
2.489E+03  6.070E-29  4.007E-18
2.466E+03  6.307E-29  4.126E-18
2.443E+03  6.554E-29  4.248E-18
2.421E+03  6.811E-29  4.374E-18
2.399E+03  7.078E-29  4.504E-18
2.377E+03  7.356E-29  4.638E-18
2.355E+03  7.645E-29  4.776E-18
2.333E+03  7.945E-29  4.918E-18
2.312E+03  8.257E-29  5.064E-18
2.291E+03  8.582E-29  5.215E-18
2.270E+03  8.920E-29  5.371E-18
2.249E+03  9.271E-29  5.531E-18
2.228E+03  9.636E-29  5.696E-18
2.208E+03  1.002E-28  5.866E-18
2.188E+03  1.041E-28  6.041E-18
2.168E+03  1.082E-28  6.222E-18
2.148E+03  1.125E-28  6.408E-18
2.128E+03  1.169E-28  6.599E-18
2.109E+03  1.215E-28  6.797E-18
2.089E+03  1.263E-28  7.001E-18
2.070E+03  1.313E-28  7.210E-18
2.051E+03  1.365E-28  7.427E-18
2.032E+03  1.419E-28  7.649E-18
2.014E+03  1.475E-28  7.879E-18
1.995E+03  1.533E-28  8.115E-18
1.977E+03  1.594E-28  8.359E-18
1.959E+03  1.657E-28  8.610E-18
1.941E+03  1.723E-28  8.868E-18
1.923E+03  1.791E-28  9.135E-18
1.905E+03  1.862E-28  9.409E-18
1.888E+03  1.935E-28  9.692E-18
1.871E+03  2.012E-28  9.984E-18
1.854E+03  2.092E-28  1.028E-17
1.837E+03  2.175E-28  1.059E-17
1.820E+03  2.261E-28  1.091E-17
1.803E+03  2.351E-28  1.124E-17
1.786E+03  2.444E-28  1.158E-17
1.770E+03  2.541E-28  1.193E-17
1.754E+03  2.642E-28  1.229E-17
1.738E+03  2.747E-28  1.266E-17
1.722E+03  2.856E-28  1.304E-17
1.706E+03  2.969E-28  1.344E-17
1.690E+03  3.087E-28  1.384E-17
1.675E+03  3.210E-28  1.426E-17
1.660E+03  3.337E-28  1.469E-17
1.644E+03  3.470E-28  1.513E-17
1.629E+03  3.608E-28  1.559E-17
1.614E+03  3.751E-28  1.606E-17
1.600E+03  3.900E-28  1.655E-17
1.585E+03  4.055E-28  1.705E-17
1.570E+03  4.216E-28  1.756E-17
1.556E+03  4.384E-28  1.809E-17
1.542E+03  4.558E-28  1.864E-17
1.528E+03  4.739E-28  1.920E-17
1.514E+03  4.928E-28  1.978E-17
1.500E+03  5.123E-28  2.038E-17
1.486E+03  5.327E-28  2.100E-17
1.472E+03  5.539E-28  2.163E-17
1.459E+03  5.760E-28  2.229E-17
1.445E+03  5.989E-28  2.296E-17
1.432E+03  6.227E-28  2.366E-17
1.419E+03  6.475E-28  2.437E-17
1.406E+03  6.732E-28  2.511E-17
1.393E+03  7.000E-28  2.587E-17
1.380E+03  7.279E-28  2.665E-17
1.368E+03  7.568E-28  2.746E-17
1.355E+03  7.869E-28  2.829E-17
1.343E+03  8.183E-28  2.914E-17
1.330E+03  8.508E-28  3.003E-17
1.318E+03  8.846E-28  3.093E-17
1.306E+03  9.198E-28  3.187E-17
1.294E+03  9.564E-28  3.283E-17
1.282E+03  9.944E-28  3.382E-17
1.271E+03  1.034E-27  3.484E-17
1.259E+03  1.075E-27  3.590E-17
1.247E+03  1.118E-27  3.698E-17
1.236E+03  1.162E-27  3.810E-17
1.225E+03  1.208E-27  3.924E-17
1.213E+03  1.256E-27  4.043E-17
1.202E+03  1.306E-27  4.165E-17
1.191E+03  1.358E-27  4.290E-17
1.180E+03  1.411E-27  4.419E-17
1.169E+03  1.467E-27  4.552E-17
1.159E+03  1.526E-27  4.689E-17
1.148E+03  1.586E-27  4.830E-17
1.138E+03  1.649E-27  4.975E-17
1.127E+03  1.714E-27  5.125E-17
1.117E+03  1.782E-27  5.279E-17
1.107E+03  1.852E-27  5.437E-17
1.096E+03  1.925E-27  5.600E-17
1.086E+03  2.002E-27  5.768E-17
1.076E+03  2.081E-27  5.941E-17
1.067E+03  2.163E-27  6.119E-17
1.057E+03  2.248E-27  6.302E-17
1.047E+03  2.337E-27  6.490E-17
1.038E+03  2.429E-27  6.684E-17
1.028E+03  2.524E-27  6.883E-17
1.019E+03  2.624E-27  7.089E-17
1.009E+03  2.727E-27  7.300E-17
1.000E+03  2.834E-27  7.517E-17
9.908E+02  2.945E-27  7.741E-17
9.817E+02  3.061E-27  7.972E-17
9.727E+02  3.182E-27  8.209E-17
9.638E+02  3.307E-27  8.454E-17
9.550E+02  3.436E-27  8.705E-17
9.462E+02  3.571E-27  8.964E-17
9.376E+02  3.711E-27  9.230E-17
9.290E+02  3.857E-27  9.504E-17
9.204E+02  4.008E-27  9.785E-17
9.120E+02  4.165E-27  1.007E-16
9.036E+02  4.327E-27  1.037E-16
8.954E+02  4.496E-27  1.068E-16
8.872E+02  4.672E-27  1.099E-16
8.790E+02  4.854E-27  1.132E-16
8.710E+02  5.043E-27  1.165E-16
8.630E+02  5.239E-27  1.199E-16
8.551E+02  5.442E-27  1.234E-16
8.472E+02  5.654E-27  1.271E-16
8.395E+02  5.873E-27  1.308E-16
8.318E+02  6.100E-27  1.346E-16
8.241E+02  6.336E-27  1.385E-16
8.166E+02  6.581E-27  1.426E-16
8.091E+02  6.835E-27  1.467E-16
8.017E+02  7.099E-27  1.510E-16
7.943E+02  7.372E-27  1.553E-16
7.870E+02  7.656E-27  1.598E-16
7.798E+02  7.950E-27  1.645E-16
7.727E+02  8.256E-27  1.692E-16
7.656E+02  8.573E-27  1.741E-16
7.586E+02  8.901E-27  1.791E-16
7.516E+02  9.242E-27  1.843E-16
7.447E+02  9.597E-27  1.896E-16
7.379E+02  9.965E-27  1.951E-16
7.311E+02  1.035E-26  2.007E-16
7.244E+02  1.074E-26  2.065E-16
7.178E+02  1.116E-26  2.124E-16
7.112E+02  1.158E-26  2.185E-16
7.047E+02  1.203E-26  2.248E-16
6.982E+02  1.249E-26  2.313E-16
6.918E+02  1.297E-26  2.380E-16
6.855E+02  1.346E-26  2.448E-16
6.792E+02  1.398E-26  2.518E-16
6.730E+02  1.451E-26  2.590E-16
6.668E+02  1.506E-26  2.664E-16
6.607E+02  1.564E-26  2.740E-16
6.546E+02  1.623E-26  2.819E-16
6.486E+02  1.686E-26  2.900E-16
6.427E+02  1.750E-26  2.984E-16
6.368E+02  1.817E-26  3.069E-16
6.310E+02  1.887E-26  3.158E-16
6.252E+02  1.959E-26  3.249E-16
6.194E+02  2.034E-26  3.342E-16
6.138E+02  2.112E-26  3.438E-16
6.081E+02  2.192E-26  3.537E-16
6.026E+02  2.276E-26  3.638E-16
5.970E+02  2.363E-26  3.743E-16
5.916E+02  2.454E-26  3.851E-16
5.861E+02  2.548E-26  3.961E-16
5.808E+02  2.645E-26  4.075E-16
5.754E+02  2.746E-26  4.192E-16
5.702E+02  2.851E-26  4.312E-16
5.649E+02  2.960E-26  4.436E-16
5.598E+02  3.073E-26  4.563E-16
5.546E+02  3.191E-26  4.694E-16
5.495E+02  3.313E-26  4.829E-16
5.445E+02  3.439E-26  4.967E-16
5.395E+02  3.571E-26  5.110E-16
5.346E+02  3.707E-26  5.256E-16
5.297E+02  3.848E-26  5.407E-16
5.248E+02  3.995E-26  5.562E-16
