Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E+00 3.000E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.000E+00 = <U> 
     mmp83 = radfield
 1.914E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.113E-27  1.386E-19 COBE-DIRBE
2.220E+00  7.135E-27  4.201E-19 COBE-DIRBE
3.530E+00  7.917E-27  7.413E-19 COBE-DIRBE
4.880E+00  7.545E-27  9.767E-19 COBE-DIRBE
1.229E+01  7.156E-26  2.333E-17 COBE-DIRBE
2.079E+01  9.883E-26  5.450E-17 COBE-DIRBE
5.599E+01  3.889E-25  5.775E-16 COBE-DIRBE
9.770E+01  1.328E-24  3.443E-15 COBE-DIRBE
1.479E+02  1.327E-24  5.204E-15 COBE-DIRBE
2.479E+02  5.031E-25  3.308E-15 COBE-DIRBE
1.200E+01  7.307E-26  2.326E-17 IRAS
2.500E+01  1.020E-25  6.765E-17 IRAS
6.000E+01  4.790E-25  7.623E-16 IRAS
1.000E+02  1.363E-24  3.615E-15 IRAS
3.550E+00  7.930E-27  7.468E-19 SST-IRAC
4.493E+00  7.650E-27  9.118E-19 SST-IRAC
5.731E+00  7.798E-27  1.185E-18 SST-IRAC
7.872E+00  4.400E-26  9.187E-18 SST-IRAC
2.368E+01  9.820E-26  6.168E-17 SST-MIPS
7.142E+01  7.045E-25  1.335E-15 SST-MIPS
1.559E+02  1.211E-24  5.008E-15 SST-MIPS
1.600E+01  6.057E-26  2.571E-17 SST-IRSPU
2.200E+01  1.037E-25  6.052E-17 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.991E-31  5.281E-20
9.908E+03  2.063E-31  5.423E-20
9.817E+03  2.138E-31  5.568E-20
9.727E+03  2.216E-31  5.717E-20
9.638E+03  2.296E-31  5.870E-20
9.550E+03  2.379E-31  6.027E-20
9.462E+03  2.466E-31  6.189E-20
9.376E+03  2.555E-31  6.354E-20
9.290E+03  2.648E-31  6.524E-20
9.204E+03  2.744E-31  6.699E-20
9.120E+03  2.843E-31  6.878E-20
9.036E+03  2.946E-31  7.062E-20
8.954E+03  3.053E-31  7.250E-20
8.872E+03  3.163E-31  7.443E-20
8.790E+03  3.277E-31  7.640E-20
8.710E+03  3.395E-31  7.843E-20
8.630E+03  3.518E-31  8.052E-20
8.551E+03  3.645E-31  8.266E-20
8.472E+03  3.776E-31  8.487E-20
8.395E+03  3.913E-31  8.713E-20
8.318E+03  4.055E-31  8.946E-20
8.241E+03  4.201E-31  9.185E-20
8.166E+03  4.354E-31  9.430E-20
8.091E+03  4.511E-31  9.682E-20
8.017E+03  4.675E-31  9.942E-20
7.943E+03  4.845E-31  1.021E-19
7.870E+03  5.021E-31  1.048E-19
7.798E+03  5.203E-31  1.076E-19
7.727E+03  5.392E-31  1.105E-19
7.656E+03  5.589E-31  1.135E-19
7.586E+03  5.792E-31  1.165E-19
7.516E+03  6.003E-31  1.197E-19
7.447E+03  6.222E-31  1.229E-19
7.379E+03  6.449E-31  1.262E-19
7.311E+03  6.684E-31  1.296E-19
7.244E+03  6.928E-31  1.331E-19
7.178E+03  7.182E-31  1.367E-19
7.112E+03  7.444E-31  1.404E-19
7.047E+03  7.716E-31  1.442E-19
6.982E+03  7.999E-31  1.481E-19
6.918E+03  8.291E-31  1.521E-19
6.855E+03  8.594E-31  1.563E-19
6.792E+03  8.908E-31  1.605E-19
6.730E+03  9.234E-31  1.648E-19
6.668E+03  9.573E-31  1.693E-19
6.607E+03  9.923E-31  1.739E-19
6.546E+03  1.029E-30  1.786E-19
6.486E+03  1.067E-30  1.835E-19
6.427E+03  1.106E-30  1.885E-19
6.368E+03  1.146E-30  1.936E-19
6.310E+03  1.188E-30  1.989E-19
6.252E+03  1.232E-30  2.043E-19
6.194E+03  1.278E-30  2.099E-19
6.138E+03  1.325E-30  2.157E-19
6.081E+03  1.373E-30  2.216E-19
6.026E+03  1.424E-30  2.276E-19
5.970E+03  1.477E-30  2.339E-19
5.916E+03  1.531E-30  2.403E-19
5.861E+03  1.588E-30  2.469E-19
5.808E+03  1.647E-30  2.537E-19
5.754E+03  1.707E-30  2.606E-19
5.702E+03  1.771E-30  2.678E-19
5.649E+03  1.836E-30  2.752E-19
5.598E+03  1.904E-30  2.828E-19
5.546E+03  1.975E-30  2.906E-19
5.495E+03  2.048E-30  2.986E-19
5.445E+03  2.124E-30  3.068E-19
5.395E+03  2.203E-30  3.153E-19
5.346E+03  2.285E-30  3.240E-19
5.297E+03  2.370E-30  3.330E-19
5.248E+03  2.458E-30  3.422E-19
5.200E+03  2.550E-30  3.517E-19
5.152E+03  2.645E-30  3.615E-19
5.105E+03  2.743E-30  3.715E-19
5.058E+03  2.846E-30  3.818E-19
5.012E+03  2.952E-30  3.924E-19
4.966E+03  3.062E-30  4.033E-19
4.920E+03  3.176E-30  4.146E-19
4.875E+03  3.295E-30  4.261E-19
4.831E+03  3.418E-30  4.380E-19
4.786E+03  3.546E-30  4.502E-19
4.742E+03  3.678E-30  4.627E-19
4.699E+03  3.816E-30  4.757E-19
4.656E+03  3.959E-30  4.890E-19
4.613E+03  4.108E-30  5.026E-19
4.571E+03  4.262E-30  5.167E-19
4.529E+03  4.422E-30  5.312E-19
4.487E+03  4.588E-30  5.461E-19
4.446E+03  4.760E-30  5.614E-19
4.406E+03  4.939E-30  5.772E-19
