Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E+00 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.131E+01 = <U> 
     mmp83 = radfield
 1.407E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  3.887E-25  1.310E-17 COBE-DIRBE
2.220E+00  4.971E-25  2.927E-17 COBE-DIRBE
3.530E+00  3.232E-24  3.027E-16 COBE-DIRBE
4.880E+00  1.513E-24  1.958E-16 COBE-DIRBE
1.229E+01  1.541E-23  5.024E-15 COBE-DIRBE
2.079E+01  2.040E-23  1.125E-14 COBE-DIRBE
5.599E+01  7.747E-23  1.151E-13 COBE-DIRBE
9.770E+01  4.394E-23  1.139E-13 COBE-DIRBE
1.479E+02  2.013E-23  7.897E-14 COBE-DIRBE
2.479E+02  4.369E-24  2.873E-14 COBE-DIRBE
1.200E+01  1.587E-23  5.050E-15 IRAS
2.500E+01  2.719E-23  1.803E-14 IRAS
6.000E+01  7.445E-23  1.185E-13 IRAS
1.000E+02  4.218E-23  1.119E-13 IRAS
3.550E+00  3.758E-24  3.539E-16 SST-IRAC
4.493E+00  1.059E-24  1.262E-16 SST-IRAC
5.731E+00  9.055E-24  1.376E-15 SST-IRAC
7.872E+00  2.207E-23  4.609E-15 SST-IRAC
2.368E+01  2.399E-23  1.507E-14 SST-MIPS
7.142E+01  5.930E-23  1.123E-13 SST-MIPS
1.559E+02  1.622E-23  6.708E-14 SST-MIPS
1.600E+01  1.437E-23  6.099E-15 SST-IRSPU
2.200E+01  2.301E-23  1.343E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  8.067E-31  2.140E-19
9.908E+03  8.363E-31  2.198E-19
9.817E+03  8.670E-31  2.258E-19
9.727E+03  8.987E-31  2.319E-19
9.638E+03  9.317E-31  2.382E-19
9.550E+03  9.658E-31  2.447E-19
9.462E+03  1.001E-30  2.513E-19
9.376E+03  1.038E-30  2.581E-19
9.290E+03  1.076E-30  2.651E-19
9.204E+03  1.115E-30  2.723E-19
9.120E+03  1.156E-30  2.797E-19
9.036E+03  1.199E-30  2.873E-19
8.954E+03  1.243E-30  2.951E-19
8.872E+03  1.288E-30  3.031E-19
8.790E+03  1.335E-30  3.113E-19
8.710E+03  1.384E-30  3.197E-19
8.630E+03  1.434E-30  3.283E-19
8.551E+03  1.487E-30  3.372E-19
8.472E+03  1.541E-30  3.463E-19
8.395E+03  1.597E-30  3.557E-19
8.318E+03  1.656E-30  3.654E-19
8.241E+03  1.717E-30  3.753E-19
8.166E+03  1.780E-30  3.855E-19
8.091E+03  1.845E-30  3.960E-19
8.017E+03  1.913E-30  4.068E-19
7.943E+03  1.983E-30  4.178E-19
7.870E+03  2.056E-30  4.292E-19
7.798E+03  2.132E-30  4.410E-19
7.727E+03  2.210E-30  4.530E-19
7.656E+03  2.292E-30  4.654E-19
7.586E+03  2.376E-30  4.781E-19
7.516E+03  2.464E-30  4.912E-19
7.447E+03  2.555E-30  5.047E-19
7.379E+03  2.649E-30  5.185E-19
7.311E+03  2.747E-30  5.327E-19
7.244E+03  2.849E-30  5.474E-19
7.178E+03  2.954E-30  5.624E-19
7.112E+03  3.063E-30  5.779E-19
7.047E+03  3.177E-30  5.938E-19
6.982E+03  3.294E-30  6.102E-19
6.918E+03  3.416E-30  6.270E-19
6.855E+03  3.543E-30  6.442E-19
6.792E+03  3.674E-30  6.620E-19
6.730E+03  3.811E-30  6.802E-19
6.668E+03  3.952E-30  6.990E-19
6.607E+03  4.099E-30  7.183E-19
6.546E+03  4.251E-30  7.382E-19
6.486E+03  4.409E-30  7.587E-19
6.427E+03  4.573E-30  7.797E-19
6.368E+03  4.744E-30  8.013E-19
6.310E+03  4.921E-30  8.235E-19
6.252E+03  5.104E-30  8.464E-19
6.194E+03  5.295E-30  8.700E-19
6.138E+03  5.492E-30  8.942E-19
6.081E+03  5.698E-30  9.191E-19
6.026E+03  5.911E-30  9.447E-19
5.970E+03  6.132E-30  9.711E-19
5.916E+03  6.361E-30  9.982E-19
5.861E+03  6.600E-30  1.026E-18
5.808E+03  6.847E-30  1.055E-18
5.754E+03  7.104E-30  1.084E-18
5.702E+03  7.371E-30  1.115E-18
5.649E+03  7.647E-30  1.146E-18
5.598E+03  7.935E-30  1.178E-18
5.546E+03  8.233E-30  1.211E-18
5.495E+03  8.543E-30  1.245E-18
5.445E+03  8.865E-30  1.280E-18
5.395E+03  9.199E-30  1.316E-18
5.346E+03  9.546E-30  1.354E-18
5.297E+03  9.906E-30  1.392E-18
5.248E+03  1.028E-29  1.431E-18
5.200E+03  1.067E-29  1.471E-18
5.152E+03  1.107E-29  1.513E-18
5.105E+03  1.149E-29  1.556E-18
5.058E+03  1.192E-29  1.600E-18
5.012E+03  1.238E-29  1.645E-18
4.966E+03  1.284E-29  1.692E-18
4.920E+03  1.333E-29  1.740E-18
4.875E+03  1.384E-29  1.789E-18
4.831E+03  1.436E-29  1.840E-18
4.786E+03  1.491E-29  1.892E-18
4.742E+03  1.547E-29  1.946E-18
4.699E+03  1.606E-29  2.002E-18
4.656E+03  1.667E-29  2.059E-18
4.613E+03  1.730E-29  2.118E-18
4.571E+03  1.796E-29  2.178E-18
4.529E+03  1.865E-29  2.240E-18
4.487E+03  1.936E-29  2.304E-18
4.446E+03  2.010E-29  2.370E-18
4.406E+03  2.087E-29  2.438E-18
4.365E+03  2.166E-29  2.508E-18
4.325E+03  2.249E-29  2.580E-18
4.285E+03  2.335E-29  2.655E-18
4.246E+03  2.425E-29  2.731E-18
4.207E+03  2.518E-29  2.810E-18
4.169E+03  2.614E-29  2.891E-18
4.130E+03  2.714E-29  2.974E-18
4.093E+03  2.819E-29  3.060E-18
4.055E+03  2.927E-29  3.148E-18
4.018E+03  3.039E-29  3.239E-18
3.981E+03  3.156E-29  3.333E-18
3.945E+03  3.277E-29  3.429E-18
3.908E+03  3.403E-29  3.528E-18
3.873E+03  3.534E-29  3.630E-18
3.837E+03  3.670E-29  3.736E-18
3.802E+03  3.812E-29  3.844E-18
3.767E+03  3.959E-29  3.956E-18
3.733E+03  4.112E-29  4.071E-18
3.698E+03  4.270E-29  4.189E-18
3.664E+03  4.436E-29  4.311E-18
3.631E+03  4.607E-29  4.437E-18
3.597E+03  4.786E-29  4.567E-18
3.565E+03  4.971E-29  4.700E-18
3.532E+03  5.164E-29  4.838E-18
3.499E+03  5.364E-29  4.979E-18
3.467E+03  5.572E-29  5.125E-18
3.436E+03  5.789E-29  5.276E-18
3.404E+03  6.014E-29  5.431E-18
3.373E+03  6.248E-29  5.590E-18
3.342E+03  6.492E-29  5.755E-18
3.311E+03  6.745E-29  5.924E-18
3.281E+03  7.008E-29  6.099E-18
3.251E+03  7.281E-29  6.279E-18
3.221E+03  7.566E-29  6.464E-18
3.192E+03  7.861E-29  6.655E-18
3.162E+03  8.169E-29  6.852E-18
3.133E+03  8.489E-29  7.055E-18
