Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 5.000E+00 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.662E+01 = <U> 
     mmp83 = radfield
 2.510E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.613E-26  1.554E-18 COBE-DIRBE
2.220E+00  6.048E-26  3.562E-18 COBE-DIRBE
3.530E+00  2.497E-25  2.338E-17 COBE-DIRBE
4.880E+00  1.150E-25  1.489E-17 COBE-DIRBE
1.229E+01  1.560E-24  5.086E-16 COBE-DIRBE
2.079E+01  2.418E-24  1.334E-15 COBE-DIRBE
5.599E+01  1.557E-23  2.313E-14 COBE-DIRBE
9.770E+01  1.238E-23  3.207E-14 COBE-DIRBE
1.479E+02  6.026E-24  2.364E-14 COBE-DIRBE
2.479E+02  1.373E-24  9.027E-15 COBE-DIRBE
1.200E+01  1.488E-24  4.736E-16 IRAS
2.500E+01  2.939E-24  1.949E-15 IRAS
6.000E+01  1.557E-23  2.478E-14 IRAS
1.000E+02  1.199E-23  3.181E-14 IRAS
3.550E+00  2.866E-25  2.699E-17 SST-IRAC
4.493E+00  8.997E-26  1.072E-17 SST-IRAC
5.731E+00  5.491E-25  8.347E-17 SST-IRAC
7.872E+00  1.543E-24  3.222E-16 SST-IRAC
2.368E+01  2.606E-24  1.637E-15 SST-MIPS
7.142E+01  1.464E-23  2.774E-14 SST-MIPS
1.559E+02  4.892E-24  2.023E-14 SST-MIPS
1.600E+01  1.716E-24  7.281E-16 SST-IRSPU
2.200E+01  2.585E-24  1.509E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  2.963E-31  7.860E-20
9.908E+03  3.072E-31  8.073E-20
9.817E+03  3.184E-31  8.291E-20
9.727E+03  3.300E-31  8.514E-20
9.638E+03  3.420E-31  8.744E-20
9.550E+03  3.545E-31  8.980E-20
9.462E+03  3.674E-31  9.223E-20
9.376E+03  3.809E-31  9.472E-20
9.290E+03  3.948E-31  9.727E-20
9.204E+03  4.092E-31  9.990E-20
9.120E+03  4.241E-31  1.026E-19
9.036E+03  4.396E-31  1.054E-19
8.954E+03  4.556E-31  1.082E-19
8.872E+03  4.721E-31  1.111E-19
8.790E+03  4.892E-31  1.141E-19
8.710E+03  5.070E-31  1.171E-19
8.630E+03  5.254E-31  1.203E-19
8.551E+03  5.445E-31  1.235E-19
8.472E+03  5.644E-31  1.268E-19
8.395E+03  5.849E-31  1.302E-19
8.318E+03  6.062E-31  1.338E-19
8.241E+03  6.283E-31  1.374E-19
8.166E+03  6.513E-31  1.411E-19
8.091E+03  6.750E-31  1.449E-19
8.017E+03  6.997E-31  1.488E-19
7.943E+03  7.253E-31  1.528E-19
7.870E+03  7.518E-31  1.570E-19
7.798E+03  7.793E-31  1.612E-19
7.727E+03  8.078E-31  1.656E-19
7.656E+03  8.374E-31  1.701E-19
7.586E+03  8.681E-31  1.747E-19
7.516E+03  9.000E-31  1.794E-19
7.447E+03  9.330E-31  1.843E-19
7.379E+03  9.673E-31  1.893E-19
7.311E+03  1.003E-30  1.945E-19
7.244E+03  1.040E-30  1.998E-19
7.178E+03  1.078E-30  2.052E-19
7.112E+03  1.118E-30  2.108E-19
7.047E+03  1.159E-30  2.166E-19
6.982E+03  1.201E-30  2.225E-19
6.918E+03  1.246E-30  2.286E-19
6.855E+03  1.291E-30  2.348E-19
6.792E+03  1.339E-30  2.412E-19
6.730E+03  1.388E-30  2.478E-19
6.668E+03  1.440E-30  2.546E-19
6.607E+03  1.493E-30  2.616E-19
6.546E+03  1.548E-30  2.688E-19
6.486E+03  1.605E-30  2.761E-19
6.427E+03  1.664E-30  2.837E-19
6.368E+03  1.726E-30  2.915E-19
6.310E+03  1.790E-30  2.995E-19
6.252E+03  1.856E-30  3.078E-19
6.194E+03  1.925E-30  3.163E-19
6.138E+03  1.996E-30  3.250E-19
6.081E+03  2.070E-30  3.340E-19
6.026E+03  2.147E-30  3.432E-19
5.970E+03  2.227E-30  3.527E-19
5.916E+03  2.310E-30  3.624E-19
5.861E+03  2.396E-30  3.725E-19
5.808E+03  2.485E-30  3.828E-19
5.754E+03  2.577E-30  3.934E-19
5.702E+03  2.673E-30  4.043E-19
5.649E+03  2.773E-30  4.156E-19
5.598E+03  2.876E-30  4.271E-19
5.546E+03  2.984E-30  4.390E-19
5.495E+03  3.095E-30  4.512E-19
5.445E+03  3.211E-30  4.638E-19
5.395E+03  3.331E-30  4.767E-19
5.346E+03  3.456E-30  4.900E-19
5.297E+03  3.585E-30  5.037E-19
5.248E+03  3.719E-30  5.177E-19
5.200E+03  3.858E-30  5.322E-19
5.152E+03  4.003E-30  5.471E-19
5.105E+03  4.153E-30  5.624E-19
5.058E+03  4.309E-30  5.781E-19
5.012E+03  4.471E-30  5.944E-19
4.966E+03  4.638E-30  6.110E-19
4.920E+03  4.813E-30  6.281E-19
4.875E+03  4.993E-30  6.458E-19
4.831E+03  5.181E-30  6.639E-19
4.786E+03  5.376E-30  6.825E-19
4.742E+03  5.578E-30  7.017E-19
4.699E+03  5.788E-30  7.215E-19
4.656E+03  6.007E-30  7.418E-19
4.613E+03  6.233E-30  7.627E-19
4.571E+03  6.468E-30  7.843E-19
4.529E+03  6.713E-30  8.064E-19
4.487E+03  6.966E-30  8.292E-19
4.446E+03  7.230E-30  8.527E-19
4.406E+03  7.503E-30  8.768E-19
4.365E+03  7.787E-30  9.016E-19
4.325E+03  8.082E-30  9.272E-19
4.285E+03  8.388E-30  9.535E-19
4.246E+03  8.706E-30  9.806E-19
4.207E+03  9.036E-30  1.008E-18
4.169E+03  9.379E-30  1.037E-18
4.130E+03  9.736E-30  1.067E-18
4.093E+03  1.011E-29  1.097E-18
4.055E+03  1.049E-29  1.128E-18
4.018E+03  1.089E-29  1.161E-18
3.981E+03  1.130E-29  1.194E-18
3.945E+03  1.173E-29  1.228E-18
3.908E+03  1.218E-29  1.263E-18
3.873E+03  1.264E-29  1.299E-18
3.837E+03  1.312E-29  1.336E-18
3.802E+03  1.362E-29  1.374E-18
3.767E+03  1.414E-29  1.413E-18
3.733E+03  1.468E-29  1.454E-18
3.698E+03  1.524E-29  1.495E-18
3.664E+03  1.583E-29  1.538E-18
3.631E+03  1.643E-29  1.583E-18
3.597E+03  1.706E-29  1.628E-18
3.565E+03  1.772E-29  1.675E-18
3.532E+03  1.839E-29  1.723E-18
3.499E+03  1.910E-29  1.773E-18
3.467E+03  1.983E-29  1.824E-18
3.436E+03  2.059E-29  1.877E-18
3.404E+03  2.139E-29  1.931E-18
3.373E+03  2.221E-29  1.987E-18
3.342E+03  2.306E-29  2.044E-18
3.311E+03  2.395E-29  2.104E-18
3.281E+03  2.487E-29  2.165E-18
3.251E+03  2.583E-29  2.228E-18
3.221E+03  2.683E-29  2.292E-18
3.192E+03  2.786E-29  2.359E-18
3.162E+03  2.894E-29  2.428E-18
3.133E+03  3.006E-29  2.498E-18
3.105E+03  3.122E-29  2.571E-18
3.076E+03  3.243E-29  2.646E-18
3.048E+03  3.369E-29  2.723E-18
3.020E+03  3.499E-29  2.803E-18
2.992E+03  3.634E-29  2.885E-18
2.965E+03  3.775E-29  2.969E-18
2.938E+03  3.921E-29  3.055E-18
2.911E+03  4.073E-29  3.144E-18
2.884E+03  4.230E-29  3.236E-18
2.858E+03  4.394E-29  3.331E-18
2.831E+03  4.565E-29  3.428E-18
2.805E+03  4.742E-29  3.529E-18
2.780E+03  4.926E-29  3.632E-18
2.754E+03  5.117E-29  3.739E-18
2.729E+03  5.316E-29  3.848E-18
2.704E+03  5.523E-29  3.961E-18
2.679E+03  5.738E-29  4.078E-18
2.655E+03  5.961E-29  4.198E-18
2.630E+03  6.194E-29  4.321E-18
2.606E+03  6.435E-29  4.449E-18
2.582E+03  6.687E-29  4.580E-18
2.559E+03  6.948E-29  4.715E-18
2.535E+03  7.219E-29  4.855E-18
2.512E+03  7.501E-29  4.998E-18
2.489E+03  7.795E-29  5.146E-18
2.466E+03  8.100E-29  5.298E-18
2.443E+03  8.417E-29  5.455E-18
2.421E+03  8.747E-29  5.617E-18
2.399E+03  9.090E-29  5.784E-18
2.377E+03  9.446E-29  5.956E-18
2.355E+03  9.817E-29  6.133E-18
2.333E+03  1.020E-28  6.315E-18
2.312E+03  1.060E-28  6.503E-18
2.291E+03  1.102E-28  6.697E-18
2.270E+03  1.145E-28  6.896E-18
2.249E+03  1.190E-28  7.102E-18
2.228E+03  1.237E-28  7.314E-18
2.208E+03  1.286E-28  7.532E-18
2.188E+03  1.337E-28  7.757E-18
2.168E+03  1.389E-28  7.989E-18
2.148E+03  1.444E-28  8.228E-18
2.128E+03  1.501E-28  8.474E-18
2.109E+03  1.560E-28  8.728E-18
2.089E+03  1.622E-28  8.989E-18
2.070E+03  1.686E-28  9.259E-18
2.051E+03  1.753E-28  9.537E-18
2.032E+03  1.822E-28  9.823E-18
2.014E+03  1.894E-28  1.012E-17
1.995E+03  1.969E-28  1.042E-17
1.977E+03  2.047E-28  1.073E-17
1.959E+03  2.128E-28  1.106E-17
1.941E+03  2.212E-28  1.139E-17
1.923E+03  2.300E-28  1.173E-17
1.905E+03  2.391E-28  1.208E-17
1.888E+03  2.486E-28  1.245E-17
1.871E+03  2.584E-28  1.282E-17
1.854E+03  2.687E-28  1.321E-17
1.837E+03  2.793E-28  1.361E-17
1.820E+03  2.904E-28  1.402E-17
1.803E+03  3.019E-28  1.444E-17
1.786E+03  3.139E-28  1.488E-17
1.770E+03  3.264E-28  1.533E-17
1.754E+03  3.394E-28  1.579E-17
1.738E+03  3.529E-28  1.627E-17
1.722E+03  3.669E-28  1.676E-17
1.706E+03  3.815E-28  1.727E-17
1.690E+03  3.967E-28  1.779E-17
1.675E+03  4.125E-28  1.833E-17
