Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 7.000E+00 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.498E+01 = <U> 
     mmp83 = radfield
 1.563E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  5.865E-26  1.976E-18 COBE-DIRBE
2.220E+00  6.948E-26  4.091E-18 COBE-DIRBE
3.530E+00  4.262E-25  3.991E-17 COBE-DIRBE
4.880E+00  1.939E-25  2.510E-17 COBE-DIRBE
1.229E+01  5.188E-24  1.691E-15 COBE-DIRBE
2.079E+01  1.185E-23  6.535E-15 COBE-DIRBE
5.599E+01  1.113E-22  1.653E-13 COBE-DIRBE
9.770E+01  6.583E-23  1.706E-13 COBE-DIRBE
1.479E+02  2.821E-23  1.107E-13 COBE-DIRBE
2.479E+02  5.664E-24  3.724E-14 COBE-DIRBE
1.200E+01  4.445E-24  1.415E-15 IRAS
2.500E+01  1.769E-23  1.173E-14 IRAS
6.000E+01  1.076E-22  1.713E-13 IRAS
1.000E+02  6.301E-23  1.672E-13 IRAS
3.550E+00  4.958E-25  4.668E-17 SST-IRAC
4.493E+00  1.352E-25  1.611E-17 SST-IRAC
5.731E+00  1.243E-24  1.890E-16 SST-IRAC
7.872E+00  3.996E-24  8.345E-16 SST-IRAC
2.368E+01  1.475E-23  9.265E-15 SST-MIPS
7.142E+01  9.011E-23  1.707E-13 SST-MIPS
1.559E+02  2.236E-23  9.247E-14 SST-MIPS
1.600E+01  7.427E-24  3.152E-15 SST-IRSPU
2.200E+01  1.405E-23  8.197E-15 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  8.958E-31  2.376E-19
9.908E+03  9.287E-31  2.441E-19
9.817E+03  9.629E-31  2.507E-19
9.727E+03  9.983E-31  2.576E-19
9.638E+03  1.035E-30  2.646E-19
9.550E+03  1.073E-30  2.718E-19
9.462E+03  1.113E-30  2.792E-19
9.376E+03  1.153E-30  2.869E-19
9.290E+03  1.196E-30  2.947E-19
9.204E+03  1.240E-30  3.027E-19
9.120E+03  1.286E-30  3.110E-19
9.036E+03  1.333E-30  3.195E-19
8.954E+03  1.382E-30  3.282E-19
8.872E+03  1.432E-30  3.371E-19
8.790E+03  1.485E-30  3.462E-19
8.710E+03  1.539E-30  3.556E-19
8.630E+03  1.596E-30  3.653E-19
8.551E+03  1.654E-30  3.752E-19
8.472E+03  1.715E-30  3.854E-19
8.395E+03  1.778E-30  3.959E-19
8.318E+03  1.843E-30  4.067E-19
8.241E+03  1.911E-30  4.178E-19
8.166E+03  1.981E-30  4.292E-19
8.091E+03  2.054E-30  4.409E-19
8.017E+03  2.130E-30  4.530E-19
7.943E+03  2.209E-30  4.654E-19
7.870E+03  2.290E-30  4.782E-19
7.798E+03  2.375E-30  4.913E-19
7.727E+03  2.463E-30  5.047E-19
7.656E+03  2.554E-30  5.186E-19
7.586E+03  2.648E-30  5.329E-19
7.516E+03  2.746E-30  5.475E-19
7.447E+03  2.848E-30  5.626E-19
7.379E+03  2.954E-30  5.781E-19
7.311E+03  3.063E-30  5.941E-19
7.244E+03  3.177E-30  6.105E-19
7.178E+03  3.295E-30  6.273E-19
7.112E+03  3.417E-30  6.447E-19
7.047E+03  3.544E-30  6.625E-19
6.982E+03  3.676E-30  6.808E-19
6.918E+03  3.812E-30  6.996E-19
6.855E+03  3.954E-30  7.190E-19
6.792E+03  4.101E-30  7.389E-19
6.730E+03  4.254E-30  7.594E-19
6.668E+03  4.412E-30  7.804E-19
6.607E+03  4.577E-30  8.021E-19
6.546E+03  4.748E-30  8.244E-19
6.486E+03  4.925E-30  8.473E-19
6.427E+03  5.109E-30  8.709E-19
6.368E+03  5.300E-30  8.952E-19
6.310E+03  5.498E-30  9.201E-19
6.252E+03  5.704E-30  9.458E-19
6.194E+03  5.917E-30  9.723E-19
6.138E+03  6.139E-30  9.994E-19
6.081E+03  6.369E-30  1.027E-18
6.026E+03  6.608E-30  1.056E-18
5.970E+03  6.856E-30  1.086E-18
5.916E+03  7.114E-30  1.116E-18
5.861E+03  7.381E-30  1.148E-18
5.808E+03  7.659E-30  1.180E-18
5.754E+03  7.947E-30  1.213E-18
5.702E+03  8.246E-30  1.247E-18
5.649E+03  8.557E-30  1.282E-18
5.598E+03  8.880E-30  1.318E-18
5.546E+03  9.215E-30  1.356E-18
5.495E+03  9.562E-30  1.394E-18
5.445E+03  9.924E-30  1.433E-18
5.395E+03  1.030E-29  1.474E-18
5.346E+03  1.069E-29  1.516E-18
5.297E+03  1.109E-29  1.558E-18
5.248E+03  1.151E-29  1.603E-18
5.200E+03  1.195E-29  1.648E-18
5.152E+03  1.240E-29  1.695E-18
5.105E+03  1.287E-29  1.743E-18
5.058E+03  1.336E-29  1.793E-18
5.012E+03  1.387E-29  1.844E-18
4.966E+03  1.439E-29  1.896E-18
4.920E+03  1.494E-29  1.950E-18
4.875E+03  1.551E-29  2.006E-18
