Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 7.000E+00 7.000E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 7.000E+00 = <U> 
     mmp83 = radfield
 3.870E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  3.935E-27  1.326E-19 COBE-DIRBE
2.220E+00  6.592E-27  3.882E-19 COBE-DIRBE
3.530E+00  1.124E-26  1.053E-18 COBE-DIRBE
4.880E+00  8.467E-27  1.096E-18 COBE-DIRBE
1.229E+01  1.009E-25  3.289E-17 COBE-DIRBE
2.079E+01  1.631E-25  8.996E-17 COBE-DIRBE
5.599E+01  1.465E-24  2.176E-15 COBE-DIRBE
9.770E+01  2.967E-24  7.688E-15 COBE-DIRBE
1.479E+02  2.102E-24  8.246E-15 COBE-DIRBE
2.479E+02  6.067E-25  3.989E-15 COBE-DIRBE
1.200E+01  9.940E-26  3.164E-17 IRAS
2.500E+01  1.761E-25  1.168E-16 IRAS
6.000E+01  1.682E-24  2.677E-15 IRAS
1.000E+02  2.973E-24  7.886E-15 IRAS
3.550E+00  1.201E-26  1.131E-18 SST-IRAC
4.493E+00  7.962E-27  9.489E-19 SST-IRAC
5.731E+00  1.803E-26  2.741E-18 SST-IRAC
7.872E+00  7.164E-26  1.496E-17 SST-IRAC
2.368E+01  1.677E-25  1.053E-16 SST-MIPS
7.142E+01  2.189E-24  4.147E-15 SST-MIPS
1.559E+02  1.812E-24  7.495E-15 SST-MIPS
1.600E+01  1.001E-25  4.250E-17 SST-IRSPU
2.200E+01  1.731E-25  1.010E-16 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  1.641E-31  4.353E-20
9.908E+03  1.701E-31  4.470E-20
9.817E+03  1.762E-31  4.589E-20
9.727E+03  1.826E-31  4.712E-20
9.638E+03  1.893E-31  4.839E-20
9.550E+03  1.961E-31  4.968E-20
9.462E+03  2.032E-31  5.101E-20
9.376E+03  2.106E-31  5.238E-20
9.290E+03  2.183E-31  5.378E-20
9.204E+03  2.262E-31  5.522E-20
9.120E+03  2.344E-31  5.670E-20
9.036E+03  2.429E-31  5.822E-20
8.954E+03  2.517E-31  5.977E-20
8.872E+03  2.607E-31  6.136E-20
8.790E+03  2.701E-31  6.299E-20
8.710E+03  2.799E-31  6.467E-20
8.630E+03  2.900E-31  6.639E-20
8.551E+03  3.005E-31  6.816E-20
8.472E+03  3.114E-31  6.997E-20
8.395E+03  3.226E-31  7.184E-20
8.318E+03  3.343E-31  7.376E-20
8.241E+03  3.464E-31  7.573E-20
8.166E+03  3.590E-31  7.776E-20
8.091E+03  3.720E-31  7.984E-20
8.017E+03  3.855E-31  8.198E-20
7.943E+03  3.995E-31  8.418E-20
7.870E+03  4.140E-31  8.644E-20
7.798E+03  4.291E-31  8.876E-20
7.727E+03  4.447E-31  9.115E-20
7.656E+03  4.609E-31  9.360E-20
7.586E+03  4.777E-31  9.612E-20
7.516E+03  4.951E-31  9.871E-20
7.447E+03  5.132E-31  1.014E-19
7.379E+03  5.319E-31  1.041E-19
7.311E+03  5.513E-31  1.069E-19
7.244E+03  5.715E-31  1.098E-19
7.178E+03  5.924E-31  1.128E-19
7.112E+03  6.140E-31  1.158E-19
7.047E+03  6.365E-31  1.190E-19
6.982E+03  6.598E-31  1.222E-19
6.918E+03  6.839E-31  1.255E-19
6.855E+03  7.089E-31  1.289E-19
6.792E+03  7.349E-31  1.324E-19
6.730E+03  7.618E-31  1.360E-19
6.668E+03  7.898E-31  1.397E-19
6.607E+03  8.187E-31  1.435E-19
6.546E+03  8.488E-31  1.474E-19
6.486E+03  8.800E-31  1.514E-19
6.427E+03  9.123E-31  1.555E-19
6.368E+03  9.459E-31  1.598E-19
6.310E+03  9.807E-31  1.641E-19
6.252E+03  1.017E-30  1.686E-19
6.194E+03  1.054E-30  1.732E-19
6.138E+03  1.093E-30  1.780E-19
6.081E+03  1.133E-30  1.828E-19
6.026E+03  1.175E-30  1.879E-19
5.970E+03  1.219E-30  1.930E-19
5.916E+03  1.264E-30  1.983E-19
5.861E+03  1.311E-30  2.038E-19
5.808E+03  1.359E-30  2.094E-19
5.754E+03  1.409E-30  2.151E-19
5.702E+03  1.462E-30  2.211E-19
5.649E+03  1.516E-30  2.272E-19
5.598E+03  1.572E-30  2.334E-19
5.546E+03  1.630E-30  2.399E-19
5.495E+03  1.691E-30  2.465E-19
5.445E+03  1.754E-30  2.533E-19
5.395E+03  1.819E-30  2.603E-19
5.346E+03  1.887E-30  2.675E-19
5.297E+03  1.957E-30  2.750E-19
5.248E+03  2.030E-30  2.826E-19
5.200E+03  2.106E-30  2.904E-19
5.152E+03  2.184E-30  2.985E-19
5.105E+03  2.266E-30  3.068E-19
5.058E+03  2.350E-30  3.153E-19
5.012E+03  2.438E-30  3.241E-19
4.966E+03  2.529E-30  3.331E-19
4.920E+03  2.624E-30  3.424E-19
4.875E+03  2.722E-30  3.520E-19
4.831E+03  2.823E-30  3.618E-19
4.786E+03  2.929E-30  3.719E-19
4.742E+03  3.039E-30  3.823E-19
4.699E+03  3.153E-30  3.930E-19
4.656E+03  3.271E-30  4.040E-19
4.613E+03  3.394E-30  4.153E-19
4.571E+03  3.521E-30  4.270E-19
4.529E+03  3.654E-30  4.389E-19
4.487E+03  3.791E-30  4.513E-19
4.446E+03  3.934E-30  4.640E-19
4.406E+03  4.082E-30  4.770E-19
4.365E+03  4.236E-30  4.905E-19
4.325E+03  4.396E-30  5.043E-19
4.285E+03  4.562E-30  5.185E-19
4.246E+03  4.734E-30  5.332E-19
4.207E+03  4.913E-30  5.483E-19
4.169E+03  5.098E-30  5.638E-19
4.130E+03  5.291E-30  5.797E-19
4.093E+03  5.492E-30  5.962E-19
