Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E+00 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.389E+01 = <U> 
     mmp83 = radfield
 4.270E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.814E-24  6.110E-17 COBE-DIRBE
2.220E+00  2.441E-24  1.437E-16 COBE-DIRBE
3.530E+00  1.658E-23  1.553E-15 COBE-DIRBE
4.880E+00  9.756E-24  1.263E-15 COBE-DIRBE
1.229E+01  9.234E-23  3.010E-14 COBE-DIRBE
2.079E+01  1.276E-22  7.038E-14 COBE-DIRBE
5.599E+01  1.593E-22  2.366E-13 COBE-DIRBE
9.770E+01  7.211E-23  1.869E-13 COBE-DIRBE
1.479E+02  2.945E-23  1.155E-13 COBE-DIRBE
2.479E+02  5.764E-24  3.790E-14 COBE-DIRBE
1.200E+01  9.602E-23  3.056E-14 IRAS
2.500E+01  1.488E-22  9.870E-14 IRAS
6.000E+01  1.508E-22  2.400E-13 IRAS
1.000E+02  6.858E-23  1.819E-13 IRAS
3.550E+00  1.922E-23  1.810E-15 SST-IRAC
4.493E+00  6.921E-24  8.248E-16 SST-IRAC
5.731E+00  4.996E-23  7.595E-15 SST-IRAC
7.872E+00  1.253E-22  2.616E-14 SST-IRAC
2.368E+01  1.397E-22  8.777E-14 SST-MIPS
7.142E+01  1.079E-22  2.044E-13 SST-MIPS
1.559E+02  2.317E-23  9.582E-14 SST-MIPS
1.600E+01  9.442E-23  4.007E-14 SST-IRSPU
2.200E+01  1.391E-22  8.120E-14 SST-IRSPU
7.500E+01  9.352E-23  1.861E-13 Herschel-PACS
1.100E+02  4.863E-23  1.419E-13 Herschel-PACS
1.700E+02  1.765E-23  7.957E-14 Herschel-PACS
2.500E+02  4.708E-24  3.122E-14 Herschel-SPIRE
3.600E+02  1.075E-24  1.026E-14 Herschel-SPIRE
5.200E+02  2.322E-25  3.203E-15 Herschel-SPIRE
2.400E+00  2.789E-24  1.775E-16 Akari IRC NIR N2
3.200E+00  1.268E-23  1.077E-15 Akari IRC NIR N3
4.100E+00  7.275E-24  7.912E-16 Akari IRC NIR N4
7.000E+00  1.380E-22  2.562E-14 Akari IRC MIR-S S7
9.000E+00  1.059E-22  2.529E-14 Akari IRC MIR-S S9W
1.100E+01  8.887E-23  2.593E-14 Akari IRC MIR-S S11
1.500E+01  9.983E-23  3.972E-14 Akari IRC MIR-L L15
1.800E+01  1.169E-22  5.581E-14 Akari IRC MIR-L L18W
2.400E+01  1.390E-22  8.851E-14 Akari IRC MIR-L L24
6.500E+01  1.299E-22  2.240E-13 Akari FIS N60
8.000E+01  9.047E-23  1.920E-13 Akari FIS WIDE-S
1.400E+02  2.917E-23  1.083E-13 Akari FIS WIDE-L
