# hst.wfc.F850LP
# energy
# wave[angstroms]    norm_trans
  7.5500000E+03    1.3132301E-05
  7.5509995E+03    1.3255277E-05
  7.5519997E+03    1.3378219E-05
  7.5529999E+03    1.3501106E-05
  7.5540000E+03    1.3623930E-05
  7.5549996E+03    1.3746736E-05
  7.5559998E+03    1.3869474E-05
  7.5569999E+03    1.3992142E-05
  7.5580001E+03    1.4114778E-05
  7.5589997E+03    1.4237361E-05
  7.5599998E+03    1.4359877E-05
  7.5610000E+03    1.4481182E-05
  7.5619996E+03    1.4602434E-05
  7.5629997E+03    1.4723613E-05
  7.5639999E+03    1.4844707E-05
  7.5650001E+03    1.4965766E-05
  7.5659996E+03    1.5086739E-05
  7.5669998E+03    1.5207600E-05
  7.5680000E+03    1.5328429E-05
  7.5689995E+03    1.5449188E-05
  7.5699997E+03    1.5569858E-05
  7.5709999E+03    1.5690504E-05
  7.5720000E+03    1.5811114E-05
  7.5729996E+03    1.5931601E-05
  7.5739998E+03    1.6052038E-05
  7.5749999E+03    1.6172466E-05
  7.5760001E+03    1.6292719E-05
  7.5769997E+03    1.6412963E-05
  7.5779998E+03    1.6533166E-05
  7.5790000E+03    1.6653228E-05
  7.5799996E+03    1.6773247E-05
  7.5809997E+03    1.6894655E-05
  7.5819999E+03    1.7015971E-05
  7.5830001E+03    1.7137216E-05
  7.5839996E+03    1.7258479E-05
  7.5849998E+03    1.7379647E-05
  7.5860000E+03    1.7500743E-05
  7.5869995E+03    1.7621880E-05
  7.5879997E+03    1.7742876E-05
  7.5889999E+03    1.7863822E-05
  7.5900000E+03    1.7984788E-05
  7.5909996E+03    1.8104263E-05
  7.5919998E+03    1.8223694E-05
  7.5929999E+03    1.8343033E-05
  7.5940001E+03    1.8462282E-05
  7.5949997E+03    1.8581559E-05
  7.5959998E+03    1.8700670E-05
  7.5970000E+03    1.8819712E-05
  7.5979996E+03    1.8938763E-05
  7.5989997E+03    1.9057668E-05
  7.5999999E+03    1.9176507E-05
  7.6010001E+03    1.9486040E-05
  7.6019996E+03    1.9795429E-05
  7.6029998E+03    2.0104731E-05
  7.6040000E+03    2.0413992E-05
  7.6049995E+03    2.0723059E-05
  7.6059997E+03    2.1032112E-05
  7.6069999E+03    2.1341048E-05
  7.6080000E+03    2.1649921E-05
  7.6089996E+03    2.1958671E-05
  7.6099998E+03    2.2267337E-05
  7.6109999E+03    2.2572081E-05
  7.6119995E+03    2.2876606E-05
  7.6129997E+03    2.3181023E-05
  7.6139998E+03    2.3485183E-05
  7.6150000E+03    2.3789184E-05
  7.6159996E+03    2.4092920E-05
  7.6169997E+03    2.4396497E-05
  7.6179999E+03    2.4699908E-05
  7.6190001E+03    2.5003130E-05
  7.6199996E+03    2.5306050E-05
  7.6209998E+03    2.5610932E-05
  7.6220000E+03    2.5915635E-05
  7.6229995E+03    2.6220188E-05
  7.6239997E+03    2.6524638E-05
  7.6249999E+03    2.6828864E-05
  7.6260000E+03    2.7133052E-05
  7.6269996E+03    2.7436987E-05
  7.6279998E+03    2.7740809E-05
  7.6289999E+03    2.8044482E-05
  7.6299995E+03    2.8347977E-05
  7.6309997E+03    2.8652243E-05
  7.6319999E+03    2.8956345E-05
  7.6330000E+03    2.9260318E-05
  7.6339996E+03    2.9564198E-05
  7.6349998E+03    2.9867833E-05
  7.6359999E+03    3.0171459E-05
  7.6370001E+03    3.0474912E-05
  7.6379997E+03    3.0778243E-05
  7.6389998E+03    3.1081359E-05
  7.6400000E+03    3.1384505E-05
  7.6409996E+03    3.1826268E-05
  7.6419997E+03    3.2267708E-05
  7.6429999E+03    3.2708856E-05
  7.6440001E+03    3.3149547E-05
  7.6449996E+03    3.3590044E-05
  7.6459998E+03    3.4030119E-05
  7.6470000E+03    3.4469958E-05
  7.6479995E+03    3.4909433E-05
  7.6489997E+03    3.5348476E-05
  7.6499999E+03    3.5787380E-05
  7.6510000E+03    3.6229641E-05
  7.6519996E+03    3.6671870E-05
  7.6529998E+03    3.7113707E-05
  7.6539999E+03    3.7555314E-05
  7.6550001E+03    3.7996790E-05
  7.6559997E+03    3.8437876E-05
  7.6569998E+03    3.8878832E-05
  7.6580000E+03    3.9319602E-05
  7.6589996E+03    3.9760038E-05
  7.6599997E+03    4.0200339E-05
  7.6609999E+03    4.0639163E-05
  7.6620001E+03    4.1077656E-05
  7.6629996E+03    4.1515905E-05
  7.6639998E+03    4.1953874E-05
  7.6650000E+03    4.2391654E-05
  7.6659995E+03    4.2829226E-05
  7.6669997E+03    4.3266416E-05
  7.6679999E+03    4.3703360E-05
  7.6690000E+03    4.4140099E-05
  7.6699996E+03    4.4576576E-05
  7.6709998E+03    4.5011082E-05
  7.6719999E+03    4.5445177E-05
  7.6730001E+03    4.5879046E-05
  7.6739997E+03    4.6312554E-05
  7.6749998E+03    4.6745827E-05
  7.6760000E+03    4.7178688E-05
  7.6769996E+03    4.7611440E-05
  7.6779997E+03    4.8043843E-05
  7.6789999E+03    4.8475868E-05
  7.6800001E+03    4.8907685E-05
  7.6809996E+03    4.9851311E-05
  7.6819998E+03    5.0794530E-05
  7.6830000E+03    5.1736974E-05
  7.6839995E+03    5.2678926E-05
  7.6849997E+03    5.3619970E-05
  7.6859999E+03    5.4560678E-05
  7.6870000E+03    5.5500615E-05
  7.6879996E+03    5.6439996E-05
  7.6889998E+03    5.7378751E-05
  7.6899999E+03    5.8316793E-05
  7.6909995E+03    5.9256687E-05
  7.6919997E+03    6.0195947E-05
  7.6929998E+03    6.1134815E-05
  7.6940000E+03    6.2072882E-05
  7.6949996E+03    6.3010571E-05
  7.6959997E+03    6.3947526E-05
  7.6969999E+03    6.4884021E-05
  7.6980001E+03    6.5820052E-05
  7.6989996E+03    6.6755441E-05
  7.6999998E+03    6.7690460E-05
  7.7010000E+03    6.8625690E-05
  7.7019995E+03    6.9560483E-05
  7.7029997E+03    7.0494563E-05
  7.7039999E+03    7.1428396E-05
  7.7050000E+03    7.2361516E-05
  7.7059996E+03    7.3294104E-05
  7.7069998E+03    7.4226075E-05
  7.7079999E+03    7.5157703E-05
  7.7089995E+03    7.6088822E-05
  7.7099997E+03    7.7019293E-05
