# wave[Angstroms]  norm_trans
  1.0620000E+04    0.0000000E+00
  1.0660000E+04    4.0706800E-04
  1.0700001E+04    1.5429300E-03
  1.0750000E+04    2.6701300E-03
  1.0779999E+04    5.5064298E-03
  1.0820000E+04    1.2253200E-02
  1.0840000E+04    2.0292800E-02
  1.0870000E+04    3.0647000E-02
  1.0890000E+04    4.0513501E-02
  1.0930001E+04    5.1532399E-02
  1.0960000E+04    5.6352898E-02
  1.1020000E+04    7.1807303E-02
  1.1050000E+04    2.7360299E-01
  1.1070000E+04    3.4099701E-01
  1.1090000E+04    3.5844600E-01
  1.1120000E+04    3.8013399E-01
  1.1160001E+04    3.3066800E-01
  1.1170000E+04    2.3954800E-01
  1.1200000E+04    2.5006199E-01
  1.1230000E+04    2.8330100E-01
  1.1280000E+04    2.5823301E-01
  1.1289999E+04    2.5147399E-01
  1.1320000E+04    5.3811902E-01
  1.1339999E+04    2.2316800E-01
  1.1380000E+04    5.3689301E-01
  1.1400000E+04    1.1020300E-01
  1.1430000E+04    5.2920699E-01
  1.1470000E+04    2.6194000E-01
  1.1540000E+04    3.2015499E-01
  1.1590000E+04    1.7430000E-01
  1.1640000E+04    6.0703099E-01
  1.1670001E+04    6.1793298E-01
  1.1700000E+04    6.7628902E-01
  1.1730000E+04    7.2794002E-01
  1.1750000E+04    7.4653101E-01
  1.1790000E+04    8.3040398E-01
  1.1820000E+04    7.9030699E-01
  1.1860000E+04    8.0960500E-01
  1.1880000E+04    8.3688802E-01
  1.1920000E+04    8.3598399E-01
  1.1950001E+04    7.4993598E-01
  1.1990000E+04    7.0801300E-01
  1.2020000E+04    6.9875902E-01
  1.2090000E+04    7.0485401E-01
  1.2160000E+04    7.0038199E-01
  1.2210000E+04    7.3276502E-01
  1.2270000E+04    7.0572501E-01
  1.2309999E+04    8.4243101E-01
  1.2360000E+04    9.2187297E-01
  1.2400000E+04    9.5250499E-01
  1.2440000E+04    9.6758503E-01
  1.2470000E+04    9.5950800E-01
  1.2529999E+04    9.2269701E-01
  1.2550000E+04    8.9297801E-01
  1.2580000E+04    8.5294300E-01
  1.2600000E+04    8.0230802E-01
  1.2650000E+04    7.5007802E-01
  1.2700001E+04    6.7807198E-01
  1.2750000E+04    6.5241700E-01
  1.2790000E+04    6.3875401E-01
  1.2860000E+04    6.4241302E-01
  1.2920001E+04    6.4855999E-01
  1.2970001E+04    6.8238002E-01
  1.3020000E+04    7.5290298E-01
  1.3049999E+04    7.7594203E-01
  1.3070001E+04    8.1182802E-01
  1.3099999E+04    7.7700800E-01
  1.3130000E+04    7.2103000E-01
  1.3160000E+04    9.5245898E-01
  1.3190000E+04    8.5513699E-01
  1.3230000E+04    8.4140098E-01
  1.3260001E+04    1.0000000E+00
  1.3299999E+04    8.9473599E-01
  1.3330000E+04    8.5491198E-01
  1.3340000E+04    5.3789401E-01
  1.3360000E+04    2.7986601E-01
  1.3390000E+04    9.0653199E-01
  1.3430000E+04    6.8934500E-01
  1.3460001E+04    5.5332702E-01
  1.3489999E+04    2.4317700E-01
  1.3530000E+04    1.4376000E-02
  1.3550000E+04    1.8929000E-04
  1.3600000E+04    4.0079098E-02
  1.3630000E+04    4.5359498E-03
  1.3700000E+04    3.1996801E-04
  1.3730000E+04    3.7216801E-02
  1.3770000E+04    5.3843600E-04
  1.3830001E+04    0.0000000E+00
  1.3879999E+04    1.4444299E-04
  1.3920000E+04    3.2977399E-03
  1.3950000E+04    3.1443799E-04
  1.3960000E+04    8.4773796E-03
  1.3970000E+04    2.5373099E-02
  1.3980000E+04    1.1844600E-01
  1.4000000E+04    1.3572800E-04
  1.4010000E+04    6.1043800E-05
  1.4020001E+04    5.2132599E-02
  1.4040001E+04    1.0376800E-02
  1.4059999E+04    4.7805000E-02
  1.4069999E+04    4.1972700E-04
  1.4100000E+04    2.3664101E-03
  1.4119998E+04    5.2610799E-03
  1.4160000E+04    8.6476495E-03
  1.4210001E+04    7.2886801E-04
  1.4259999E+04    3.4839899E-04
  1.4420001E+04    3.7814499E-04
  1.4500000E+04    0.0000000E+00
