# wave[Angstroms]  norm_trans
  6.1511504E+04    2.5534959E-04
  6.1584602E+04    3.9259999E-04
  6.1657804E+04    5.5857719E-04
  6.1731198E+04    5.9368782E-04
  6.1804801E+04    5.0750730E-04
  6.1878603E+04    4.5005363E-04
  6.1952497E+04    3.3514632E-04
  6.2026602E+04    1.7555284E-04
  6.2100904E+04    2.7450081E-04
  6.2175299E+04    4.1813491E-04
  6.2249997E+04    5.2665855E-04
  6.2324799E+04    7.5647316E-04
  6.2399800E+04    1.0565089E-03
  6.2474998E+04    1.3405853E-03
  6.2550302E+04    1.6374292E-03
  6.2625902E+04    3.1024974E-03
  6.2701601E+04    5.5219349E-03
  6.2777498E+04    8.7138051E-03
  6.2853599E+04    1.2550432E-02
  6.2929903E+04    1.7370155E-02
  6.3006399E+04    2.3249580E-02
  6.3083001E+04    3.0574922E-02
  6.3159800E+04    3.9837729E-02
  6.3236902E+04    5.1312499E-02
  6.3314097E+04    6.5222666E-02
  6.3391501E+04    8.2340665E-02
  6.3469098E+04    1.0318039E-01
  6.3546898E+04    1.2679702E-01
  6.3624803E+04    1.5197769E-01
  6.3703000E+04    1.7871918E-01
  6.3781301E+04    2.0717788E-01
  6.3859898E+04    2.3829861E-01
  6.3938601E+04    2.7363899E-01
  6.4017600E+04    3.1243297E-01
  6.4096699E+04    3.5231858E-01
  6.4176001E+04    3.9089870E-01
  6.4255600E+04    4.2594224E-01
  6.4335298E+04    4.5904833E-01
  6.4415199E+04    4.9112663E-01
  6.4495299E+04    5.2013749E-01
  6.4575602E+04    5.4480106E-01
  6.4656098E+04    5.6530249E-01
  6.4736902E+04    5.8396852E-01
  6.4817799E+04    6.0303038E-01
  6.4898899E+04    6.2364990E-01
  6.4980204E+04    6.4659619E-01
  6.5061799E+04    6.6740721E-01
  6.5143500E+04    6.8301225E-01
  6.5225404E+04    6.9451576E-01
  6.5307599E+04    7.0440418E-01
  6.5389997E+04    7.1444577E-01
  6.5472501E+04    7.2419059E-01
  6.5555301E+04    7.3199469E-01
  6.5638300E+04    7.3679209E-01
  6.5721502E+04    7.3853803E-01
  6.5804902E+04    7.3828268E-01
  6.5888499E+04    7.3747194E-01
  6.5972301E+04    7.3639309E-01
  6.6056300E+04    7.3516423E-01
  6.6140597E+04    7.3314059E-01
  6.6225103E+04    7.2978592E-01
  6.6309801E+04    7.2640568E-01
  6.6394702E+04    7.2264254E-01
  6.6479802E+04    7.1786427E-01
  6.6565099E+04    7.1356797E-01
  6.6650700E+04    7.1158904E-01
  6.6736498E+04    7.1295518E-01
  6.6822500E+04    7.1778446E-01
  6.6908699E+04    7.2499812E-01
  6.6995103E+04    7.3225963E-01
  6.7081797E+04    7.3802090E-01
  6.7168695E+04    7.4230123E-01
  6.7255803E+04    7.4562401E-01
  6.7343202E+04    7.4899143E-01
  6.7430700E+04    7.5304186E-01
  6.7518500E+04    7.5773072E-01
  6.7606603E+04    7.6313460E-01
  6.7694800E+04    7.6803410E-01
  6.7783298E+04    7.7142388E-01
  6.7872001E+04    7.7418482E-01
  6.7961001E+04    7.7676708E-01
  6.8050198E+04    7.7956313E-01
  6.8139599E+04    7.8343803E-01
  6.8229297E+04    7.8781092E-01
  6.8319100E+04    7.9127729E-01
  6.8409299E+04    7.9379249E-01
  6.8499596E+04    7.9577780E-01
  6.8590295E+04    7.9657257E-01
  6.8681099E+04    7.9603952E-01
  6.8772200E+04    7.9505330E-01
  6.8863505E+04    7.9371268E-01
  6.8955100E+04    7.9211354E-01
  6.9046899E+04    7.9134750E-01
  6.9139001E+04    7.9210716E-01
  6.9231301E+04    7.9387546E-01
  6.9323799E+04    7.9543632E-01
  6.9416600E+04    7.9563099E-01
  6.9509703E+04    7.9405743E-01
  6.9602998E+04    7.9115283E-01
  6.9696497E+04    7.8723639E-01
  6.9790403E+04    7.8231132E-01
  6.9884403E+04    7.7766073E-01
  6.9978699E+04    7.7485514E-01
