# wave[Angstroms]  norm_trans
  1.0008510E+06    4.4700000E-04
  1.0021050E+06    4.7400000E-04
  1.0033630E+06    3.6700000E-04
  1.0046230E+06    4.0700001E-04
  1.0058870E+06    4.7200001E-04
  1.0071540E+06    4.9399998E-04
  1.0084240E+06    5.3899997E-04
  1.0096970E+06    5.8900000E-04
  1.0109740E+06    5.5300002E-04
  1.0122530E+06    5.4799998E-04
  1.0135360E+06    6.8000000E-04
  1.0148220E+06    6.9999998E-04
  1.0161120E+06    5.9600000E-04
  1.0174050E+06    5.5699999E-04
  1.0187010E+06    6.4099999E-04
  1.0200000E+06    7.2399998E-04
  1.0213030E+06    6.7699997E-04
  1.0226090E+06    7.1499997E-04
  1.0239180E+06    7.6600001E-04
  1.0252310E+06    6.6500000E-04
  1.0265470E+06    7.2499999E-04
  1.0278660E+06    7.1499997E-04
  1.0291890E+06    7.1900000E-04
  1.0305160E+06    7.9899997E-04
  1.0318450E+06    7.4900000E-04
  1.0331780E+06    7.5200002E-04
  1.0345150E+06    7.8900001E-04
  1.0358550E+06    8.2199997E-04
  1.0371990E+06    8.4599998E-04
  1.0385460E+06    8.1900001E-04
  1.0398960E+06    7.8599999E-04
  1.0412500E+06    7.9700002E-04
  1.0426080E+06    8.9999998E-04
  1.0439690E+06    9.6600002E-04
  1.0453340E+06    9.5199997E-04
  1.0467020E+06    8.0799998E-04
  1.0480740E+06    7.3799997E-04
  1.0494490E+06    8.1900001E-04
  1.0508280E+06    9.2700002E-04
  1.0522110E+06    9.3200000E-04
  1.0535970E+06    8.3099998E-04
  1.0549870E+06    7.9199998E-04
  1.0563810E+06    7.9600001E-04
  1.0577780E+06    8.1900001E-04
  1.0591790E+06    8.6999999E-04
  1.0605840E+06    9.0400001E-04
  1.0619920E+06    9.2399999E-04
  1.0634040E+06    8.8900002E-04
  1.0648200E+06    9.0099999E-04
  1.0662400E+06    9.4300002E-04
  1.0676640E+06    8.8100001E-04
  1.0690910E+06    7.9600001E-04
  1.0705220E+06    8.6600002E-04
  1.0719570E+06    9.4300002E-04
  1.0733960E+06    9.3200000E-04
  1.0748390E+06    1.0090000E-03
  1.0762860E+06    9.3600003E-04
  1.0777360E+06    8.0300000E-04
  1.0791900E+06    9.9700002E-04
  1.0806490E+06    1.1140000E-03
  1.0821110E+06    1.0610000E-03
  1.0835770E+06    1.0210000E-03
  1.0850480E+06    9.8100002E-04
  1.0865220E+06    9.1700000E-04
  1.0880000E+06    9.3300000E-04
  1.0894820E+06    9.3699998E-04
  1.0909690E+06    8.7599998E-04
  1.0924590E+06    8.6400000E-04
  1.0939540E+06    8.8299997E-04
  1.0954520E+06    1.0110000E-03
  1.0969550E+06    1.1490000E-03
  1.0984620E+06    1.2159999E-03
  1.0999730E+06    1.2420000E-03
  1.1014880E+06    1.2550000E-03
  1.1030070E+06    1.2110000E-03
  1.1045310E+06    1.2159999E-03
  1.1060580E+06    1.2880000E-03
  1.1075900E+06    1.2820000E-03
  1.1091260E+06    1.3839999E-03
  1.1106670E+06    1.4550000E-03
  1.1122120E+06    1.5130000E-03
  1.1137610E+06    1.4420000E-03
  1.1153140E+06    1.4550000E-03
  1.1168720E+06    1.5390000E-03
  1.1184340E+06    1.4770000E-03
  1.1200000E+06    1.5620000E-03
  1.1215710E+06    1.5870000E-03
  1.1231460E+06    1.5180000E-03
  1.1247260E+06    1.4720000E-03
  1.1263100E+06    1.5100000E-03
  1.1278990E+06    1.4890000E-03
  1.1294920E+06    1.5180000E-03
  1.1310890E+06    1.6680000E-03
  1.1326910E+06    1.8090000E-03
  1.1342980E+06    1.7969999E-03
  1.1359090E+06    1.8510000E-03
  1.1375250E+06    1.8180000E-03
  1.1391450E+06    2.0910001E-03
  1.1407710E+06    2.2030000E-03
  1.1424000E+06    2.1790001E-03
  1.1440350E+06    2.2219999E-03
  1.1456740E+06    2.1929999E-03
  1.1473170E+06    2.3680001E-03
  1.1489660E+06    2.6350000E-03
  1.1506190E+06    2.7079999E-03
  1.1522770E+06    2.7660001E-03
  1.1539400E+06    3.2029999E-03
  1.1556070E+06    3.5200000E-03
  1.1572790E+06    3.6539999E-03
  1.1589570E+06    3.9829998E-03
  1.1606390E+06    4.1970001E-03
  1.1623260E+06    4.2519998E-03
  1.1640180E+06    4.2760000E-03
  1.1657140E+06    4.5260000E-03
  1.1674160E+06    4.8010000E-03
  1.1691230E+06    5.0019999E-03
  1.1708350E+06    5.5359998E-03
  1.1725520E+06    5.4230001E-03
  1.1742730E+06    5.6230002E-03
  1.1760000E+06    5.9420001E-03
  1.1777320E+06    6.2420000E-03
  1.1794690E+06    6.3479999E-03
  1.1812110E+06    6.3350000E-03
  1.1829590E+06    6.4409999E-03
  1.1847110E+06    6.6149998E-03
  1.1864690E+06    7.2400002E-03
  1.1882320E+06    7.5510000E-03
  1.1900000E+06    8.0080004E-03
  1.1917740E+06    8.2839997E-03
  1.1935520E+06    8.6399997E-03
  1.1953370E+06    8.9830002E-03
  1.1971260E+06    9.1909999E-03
  1.1989210E+06    9.4069997E-03
  1.2007210E+06    9.6079996E-03
  1.2025270E+06    9.9910004E-03
  1.2043380E+06    1.0152000E-02
  1.2061540E+06    1.0587000E-02
  1.2079760E+06    1.1319000E-02
  1.2098040E+06    1.1818000E-02
  1.2116370E+06    1.2091000E-02
  1.2134750E+06    1.2364000E-02
  1.2153190E+06    1.2936000E-02
  1.2171690E+06    1.3422000E-02
  1.2190250E+06    1.4121000E-02
  1.2208860E+06    1.4813000E-02
  1.2227520E+06    1.5229000E-02
  1.2246250E+06    1.6504001E-02
  1.2265030E+06    1.7405000E-02
  1.2283870E+06    1.7945999E-02
  1.2302770E+06    1.8604999E-02
  1.2321730E+06    1.9463999E-02
  1.2340740E+06    2.0663001E-02
  1.2359820E+06    2.1828000E-02
  1.2378950E+06    2.2674000E-02
  1.2398140E+06    2.3727000E-02
  1.2417390E+06    2.5978999E-02
  1.2436700E+06    2.7942000E-02
  1.2456080E+06    2.9283000E-02
  1.2475510E+06    3.0680999E-02
  1.2495000E+06    3.2540999E-02
  1.2514560E+06    3.4293000E-02
  1.2534170E+06    3.6261000E-02
  1.2553850E+06    3.8157001E-02
  1.2573590E+06    4.0348999E-02
  1.2593390E+06    4.3315001E-02
  1.2613250E+06    4.6326000E-02
  1.2633180E+06    4.9114998E-02
  1.2653170E+06    5.1695999E-02
  1.2673220E+06    5.4632999E-02
  1.2693340E+06    5.7836998E-02
  1.2713520E+06    6.0862999E-02
  1.2733760E+06    6.3607000E-02
  1.2754070E+06    6.6960000E-02
  1.2774440E+06    7.1231999E-02
  1.2794880E+06    7.6605000E-02
  1.2815390E+06    8.0960996E-02
  1.2835960E+06    8.5565999E-02
  1.2856590E+06    8.9645997E-02
  1.2877299E+06    9.4342001E-02
  1.2898070E+06    9.9702999E-02
  1.2918900E+06    1.0449100E-01
  1.2939810E+06    1.0940200E-01
  1.2960780E+06    1.1494500E-01
  1.2981821E+06    1.2044200E-01
  1.3002930E+06    1.2751400E-01
  1.3024110E+06    1.3459601E-01
  1.3045351E+06    1.3886400E-01
  1.3066670E+06    1.4612301E-01
  1.3088049E+06    1.5033101E-01
  1.3109509E+06    1.5750299E-01
  1.3131039E+06    1.6200700E-01
  1.3152631E+06    1.7000900E-01
  1.3174300E+06    1.7437001E-01
  1.3196040E+06    1.8209800E-01
  1.3217850E+06    1.8780400E-01
  1.3239740E+06    1.9574900E-01
  1.3261690E+06    2.0051301E-01
  1.3283720E+06    2.0870601E-01
  1.3305830E+06    2.1332300E-01
  1.3328000E+06    2.2232300E-01
  1.3350250E+06    2.2694901E-01
  1.3372580E+06    2.3125900E-01
  1.3394980E+06    2.3926701E-01
  1.3417450E+06    2.4197499E-01
  1.3439999E+06    2.4996901E-01
  1.3462630E+06    2.5945500E-01
  1.3485330E+06    2.6852301E-01
  1.3508110E+06    2.7731100E-01
  1.3530969E+06    2.8522500E-01
  1.3553900E+06    2.9364899E-01
  1.3576910E+06    3.0211201E-01
  1.3600000E+06    3.1082299E-01
  1.3623170E+06    3.1880099E-01
  1.3646420E+06    3.2286501E-01
  1.3669749E+06    3.3417600E-01
  1.3693150E+06    3.4867999E-01
  1.3716640E+06    3.5619900E-01
  1.3740210E+06    3.7083101E-01
  1.3763860E+06    3.8573101E-01
  1.3787590E+06    4.0042299E-01
  1.3811400E+06    4.1458300E-01
  1.3835300E+06    4.2987800E-01
  1.3859270E+06    4.4499999E-01
  1.3883340E+06    4.5795199E-01
  1.3907480E+06    4.6597299E-01
  1.3931709E+06    4.8023701E-01
  1.3956020E+06    4.9548200E-01
  1.3980420E+06    5.0985402E-01
  1.4004910E+06    5.3222603E-01
  1.4029480E+06    5.4775101E-01
  1.4054131E+06    5.6236899E-01
  1.4078880E+06    5.8499902E-01
  1.4103709E+06    6.0802197E-01
  1.4128619E+06    6.2928998E-01
  1.4153630E+06    6.4511597E-01
  1.4178729E+06    6.5841001E-01
  1.4203909E+06    6.7159098E-01
  1.4229179E+06    6.7577398E-01
  1.4254550E+06    6.8847901E-01
  1.4280000E+06    7.0029199E-01
  1.4305550E+06    7.0249802E-01
  1.4331190E+06    7.1588802E-01
  1.4356911E+06    7.2825998E-01
  1.4382739E+06    7.4045402E-01
  1.4408650E+06    7.4196899E-01
  1.4434660E+06    7.5459099E-01
  1.4460760E+06    7.5715101E-01
  1.4486960E+06    7.6871502E-01
  1.4513251E+06    7.7059400E-01
  1.4539639E+06    7.8435302E-01
  1.4566119E+06    7.8699201E-01
  1.4592700E+06    7.9859298E-01
  1.4619380E+06    8.0431998E-01
  1.4646159E+06    8.1231701E-01
  1.4673030E+06    8.1323802E-01
  1.4700000E+06    8.2368398E-01
  1.4727071E+06    8.3464903E-01
  1.4754250E+06    8.4763497E-01
  1.4781520E+06    8.5901201E-01
  1.4808890E+06    8.6890799E-01
  1.4836369E+06    8.7996501E-01
  1.4863940E+06    8.9105397E-01
  1.4891620E+06    8.9855099E-01
  1.4919411E+06    9.0083200E-01
  1.4947290E+06    9.1208100E-01
  1.4975281E+06    9.2348897E-01
  1.5003380E+06    9.3327099E-01
  1.5031580E+06    9.4221300E-01
  1.5059891E+06    9.5186102E-01
  1.5088300E+06    9.6177101E-01
  1.5116830E+06    9.7209400E-01
  1.5145461E+06    9.8139501E-01
  1.5174200E+06    9.9447602E-01
  1.5203040E+06    9.9974900E-01
  1.5232001E+06    9.9915099E-01
  1.5261070E+06    9.9754798E-01
  1.5290250E+06    9.9570000E-01
  1.5319540E+06    9.9506199E-01
  1.5348950E+06    9.9367601E-01
  1.5378461E+06    1.0000000E+00
  1.5408090E+06    9.9835300E-01
  1.5437840E+06    9.9750203E-01
  1.5467700E+06    9.9506301E-01
  1.5497681E+06    9.9327499E-01
  1.5527769E+06    9.9294502E-01
  1.5557980E+06    9.8070103E-01
  1.5588310E+06    9.7773898E-01
  1.5618750E+06    9.7575599E-01
  1.5649319E+06    9.6554399E-01
  1.5680000E+06    9.6363401E-01
  1.5710808E+06    9.6077001E-01
  1.5741730E+06    9.5425802E-01
  1.5772780E+06    9.5775700E-01
  1.5803959E+06    9.5533699E-01
  1.5835250E+06    9.5260698E-01
  1.5866671E+06    9.5077801E-01
  1.5898211E+06    9.5971000E-01
  1.5929880E+06    9.5704800E-01
  1.5961681E+06    9.5405900E-01
  1.5993601E+06    9.5087898E-01
  1.6025649E+06    9.4938499E-01
  1.6057828E+06    9.4737798E-01
  1.6090140E+06    9.4666803E-01
  1.6122580E+06    9.4695300E-01
  1.6155150E+06    9.4789100E-01
  1.6187860E+06    9.5576501E-01
  1.6220689E+06    9.5349997E-01
  1.6253661E+06    9.5415902E-01
  1.6286761E+06    9.5602602E-01
  1.6319999E+06    9.5602602E-01
  1.6353380E+06    9.6496201E-01
  1.6386891E+06    9.6546102E-01
  1.6420539E+06    9.6503103E-01
  1.6454320E+06    9.6379697E-01
  1.6488250E+06    9.5341802E-01
  1.6522322E+06    9.5182598E-01
  1.6556520E+06    9.4906700E-01
  1.6590871E+06    9.4496399E-01
  1.6625369E+06    9.3123400E-01
  1.6660001E+06    9.2658699E-01
  1.6694780E+06    9.2086798E-01
  1.6729711E+06    9.1358000E-01
