# wave[Angstroms]  norm_trans
  6.5000000E+03    0.0000000E+00
  6.5099994E+03    0.0000000E+00
  6.5200002E+03    0.0000000E+00
  6.5300002E+03    0.0000000E+00
  6.5399996E+03    0.0000000E+00
  6.5499997E+03    0.0000000E+00
  6.5599997E+03    0.0000000E+00
  6.5699998E+03    0.0000000E+00
  6.5799999E+03    0.0000000E+00
  6.5900000E+03    0.0000000E+00
  6.6000001E+03    0.0000000E+00
  6.6099994E+03    0.0000000E+00
  6.6200002E+03    0.0000000E+00
  6.6299996E+03    0.0000000E+00
  6.6399996E+03    0.0000000E+00
  6.6499997E+03    0.0000000E+00
  6.6599998E+03    0.0000000E+00
  6.6699999E+03    0.0000000E+00
  6.6799999E+03    0.0000000E+00
  6.6900000E+03    0.0000000E+00
  6.6999994E+03    0.0000000E+00
  6.7100002E+03    0.0000000E+00
  6.7200002E+03    0.0000000E+00
  6.7299996E+03    0.0000000E+00
  6.7399997E+03    0.0000000E+00
  6.7499997E+03    0.0000000E+00
  6.7599998E+03    0.0000000E+00
  6.7699999E+03    0.0000000E+00
  6.7800000E+03    0.0000000E+00
  6.7899993E+03    0.0000000E+00
  6.8000001E+03    0.0000000E+00
  6.8100002E+03    0.0000000E+00
  6.8199995E+03    0.0000000E+00
  6.8299996E+03    0.0000000E+00
  6.8399997E+03    0.0000000E+00
  6.8499998E+03    0.0000000E+00
  6.8599998E+03    0.0000000E+00
  6.8699999E+03    0.0000000E+00
  6.8799993E+03    0.0000000E+00
  6.8900001E+03    0.0000000E+00
  6.9000002E+03    0.0000000E+00
  6.9099995E+03    0.0000000E+00
  6.9199996E+03    0.0000000E+00
  6.9299997E+03    5.2887666E-05
  6.9400005E+03    5.2887666E-05
  6.9499998E+03    1.5866300E-04
  6.9599999E+03    3.1732599E-04
  6.9700000E+03    5.8176433E-04
  6.9799993E+03    1.0048656E-03
  6.9900001E+03    1.6924053E-03
  7.0000002E+03    2.6972708E-03
  7.0099995E+03    4.2839008E-03
  7.0199996E+03    6.4522955E-03
