# wave[Angstroms]  norm_trans
  5.1999999E+03    1.1562030E-04
  5.2039999E+03    0.0000000E+00
  5.2079999E+03    2.8905077E-04
  5.2120002E+03    1.1562030E-04
  5.2160001E+03    0.0000000E+00
  5.2200001E+03    0.0000000E+00
  5.2239997E+03    5.7810150E-05
  5.2279996E+03    1.1562030E-04
  5.2320000E+03    0.0000000E+00
  5.2359999E+03    0.0000000E+00
  5.2399999E+03    2.3124060E-04
  5.2439998E+03    0.0000000E+00
  5.2480002E+03    2.3124060E-04
  5.2520001E+03    6.3591165E-04
  5.2560001E+03    3.4686091E-04
  5.2599997E+03    0.0000000E+00
  5.2639996E+03    0.0000000E+00
  5.2679999E+03    4.0467107E-04
  5.2719999E+03    7.5153197E-04
  5.2759999E+03    2.3124060E-04
  5.2799998E+03    2.8905077E-04
  5.2840001E+03    0.0000000E+00
  5.2880001E+03    1.1562030E-04
  5.2919997E+03    2.8905077E-04
  5.2959997E+03    2.3124060E-04
  5.2999996E+03    6.3591165E-04
  5.3039999E+03    5.7810150E-05
  5.3079999E+03    2.8905077E-04
  5.3119998E+03    0.0000000E+00
  5.3160002E+03    1.1562030E-04
  5.3200001E+03    1.7343045E-04
  5.3240001E+03    0.0000000E+00
  5.3279997E+03    5.7810150E-05
  5.3319996E+03    0.0000000E+00
  5.3359996E+03    3.4686091E-04
  5.3399999E+03    2.8905077E-04
  5.3439999E+03    1.1562030E-04
  5.3479998E+03    1.1562030E-04
  5.3520002E+03    4.0467107E-04
  5.3560001E+03    0.0000000E+00
  5.3600001E+03    0.0000000E+00
  5.3639997E+03    0.0000000E+00
  5.3679996E+03    0.0000000E+00
  5.3719996E+03    5.7810155E-04
  5.3759999E+03    4.6248120E-04
  5.3799999E+03    2.3124060E-04
  5.3839998E+03    2.8905077E-04
  5.3880001E+03    4.0467107E-04
  5.3920001E+03    0.0000000E+00
  5.3960001E+03    0.0000000E+00
  5.3999996E+03    1.1562030E-04
  5.4039996E+03    1.0405828E-03
  5.4079999E+03    5.7810155E-04
  5.4119999E+03    7.5153197E-04
  5.4159998E+03    2.3124060E-04
  5.4200002E+03    2.3124060E-04
  5.4240001E+03    2.3124060E-04
  5.4280001E+03    0.0000000E+00
  5.4320000E+03    5.7810150E-05
  5.4359996E+03    7.5153197E-04
  5.4399996E+03    5.2029139E-04
  5.4439999E+03    3.4686091E-04
  5.4479999E+03    3.4686091E-04
  5.4519998E+03    5.7810150E-05
  5.4560001E+03    1.3296335E-03
  5.4600001E+03    5.7810155E-04
  5.4640001E+03    2.3124060E-04
  5.4679997E+03    8.6715235E-04
  5.4719996E+03    1.7343045E-04
  5.4759996E+03    5.7810150E-05
  5.4799999E+03    9.8277256E-04
  5.4839998E+03    3.4686091E-04
  5.4879998E+03    1.5030639E-03
  5.4920001E+03    1.0405828E-03
  5.4960001E+03    5.2029139E-04
  5.5000000E+03    6.9372181E-04
  5.5039996E+03    8.6715235E-04
  5.5079996E+03    2.3124062E-03
  5.5119996E+03    2.0233553E-03
  5.5159999E+03    1.7921148E-03
  5.5199998E+03    1.2718233E-03
  5.5239998E+03    3.4107990E-03
  5.5280001E+03    3.6998496E-03
  5.5320001E+03    5.2029137E-03
  5.5360000E+03    5.8966354E-03
  5.5399996E+03    6.3013067E-03
  5.5439996E+03    7.6309405E-03
  5.5479995E+03    1.0926119E-02
  5.5519999E+03    1.0405827E-02
  5.5559998E+03    1.2660424E-02
  5.5599998E+03    1.4741588E-02
  5.5640001E+03    1.8903920E-02
  5.5680001E+03    2.3355301E-02
  5.5720000E+03    2.5898948E-02
  5.5759996E+03    3.2489303E-02
  5.5799996E+03    3.6709446E-02
  5.5839999E+03    4.1334260E-02
  5.5879998E+03    4.8791766E-02
  5.5919998E+03    5.5382125E-02
  5.5960001E+03    6.8389408E-02
  5.6000001E+03    7.6078162E-02
  5.6040000E+03    8.7755814E-02
  5.6079996E+03    9.7178861E-02
  5.6119996E+03    1.1440630E-01
  5.6159995E+03    1.2544803E-01
  5.6199999E+03    1.4325356E-01
  5.6239998E+03    1.5816858E-01
  5.6279998E+03    1.7343046E-01
  5.6320001E+03    1.9083130E-01
  5.6360001E+03    2.0979305E-01
  5.6400000E+03    2.2817668E-01
  5.6439996E+03    2.5268817E-01
  5.6479996E+03    2.7182335E-01
  5.6519995E+03    2.9142097E-01
  5.6559998E+03    3.2067293E-01
  5.6599998E+03    3.3813161E-01
  5.6639998E+03    3.6403054E-01
  5.6680001E+03    3.8865769E-01
  5.6720000E+03    4.0935367E-01
  5.6760000E+03    4.3744943E-01
  5.6799996E+03    4.5167071E-01
  5.6839996E+03    4.8069143E-01
  5.6879999E+03    4.9745637E-01
  5.6919998E+03    5.1873052E-01
  5.6959998E+03    5.4098743E-01
  5.6999997E+03    5.6538332E-01
  5.7040001E+03    5.8659965E-01
  5.7080000E+03    5.9885538E-01
  5.7120000E+03    6.2804949E-01
  5.7159996E+03    6.4082551E-01
  5.7199995E+03    6.6903692E-01
  5.7239999E+03    6.7770845E-01
  5.7279998E+03    6.9395310E-01
  5.7319998E+03    7.1453351E-01
  5.7359997E+03    7.3996997E-01
  5.7400001E+03    7.4216676E-01
  5.7440000E+03    7.5893170E-01
  5.7480000E+03    7.6985782E-01
  5.7519996E+03    7.8350097E-01
  5.7559995E+03    7.9939878E-01
  5.7599998E+03    8.0778122E-01
  5.7639998E+03    8.1697315E-01
  5.7679998E+03    8.2206035E-01
  5.7720001E+03    8.4177363E-01
  5.7760000E+03    8.4576255E-01
  5.7800000E+03    8.5952133E-01
  5.7839996E+03    8.6460865E-01
  5.7879995E+03    8.7137240E-01
  5.7919999E+03    8.8073772E-01
  5.7959998E+03    8.9282000E-01
