# wave[Angstroms]  norm_trans
  1.0416700E+06    1.0562657E-09
  1.0443900E+06    1.6931585E-09
  1.0471200E+06    2.0774200E-09
  1.0498700E+06    1.7609876E-09
  1.0526300E+06    1.4010068E-08
  1.0554100E+06    4.0408004E-08
  1.0582000E+06    6.9760389E-08
  1.0610100E+06    1.2561968E-07
  1.0638300E+06    3.0845834E-07
  1.0666700E+06    5.5693903E-07
  1.0695200E+06    5.1647658E-07
  1.0723900E+06    2.2292345E-07
  1.0752700E+06    4.0961741E-08
  1.0781700E+06    2.7374901E-07
  1.0810800E+06    5.0670440E-07
  1.0840100E+06    4.7654274E-07
  1.0869600E+06    6.9690509E-07
  1.0899200E+06    2.1695073E-06
  1.0929000E+06    7.4843865E-06
  1.0958900E+06    1.7074181E-05
  1.0989000E+06    2.7629725E-05
  1.1019300E+06    3.9209808E-05
  1.1049700E+06    6.6656597E-05
  1.1080300E+06    1.0597085E-04
  1.1111100E+06    1.5367763E-04
  1.1142100E+06    2.2433749E-04
  1.1173200E+06    3.3993527E-04
  1.1204500E+06    4.5844898E-04
  1.1236000E+06    5.9876259E-04
  1.1267600E+06    7.7488675E-04
  1.1299400E+06    1.0313067E-03
  1.1331400E+06    1.3623241E-03
  1.1363600E+06    1.8428840E-03
  1.1396000E+06    2.3631398E-03
  1.1428600E+06    2.7230019E-03
  1.1461300E+06    3.0011302E-03
  1.1494300E+06    3.5186787E-03
  1.1527400E+06    4.1171196E-03
  1.1560700E+06    4.4912132E-03
  1.1594200E+06    4.7619510E-03
  1.1627900E+06    5.3088237E-03
  1.1661800E+06    6.0626459E-03
  1.1695900E+06    7.1277982E-03
  1.1730200E+06    8.4209936E-03
  1.1764700E+06    9.5177377E-03
  1.1799400E+06    1.0813018E-02
  1.1834300E+06    1.2702769E-02
  1.1869400E+06    1.4910654E-02
  1.1904800E+06    1.7480124E-02
  1.1940300E+06    2.0633342E-02
  1.1976000E+06    2.3733841E-02
  1.2012000E+06    2.7274288E-02
  1.2048200E+06    3.2116104E-02
  1.2084600E+06    3.7501231E-02
  1.2121200E+06    4.3330695E-02
