# wave[Angstroms]  norm_trans
  6.4300002E+03    0.0000000E+00
  6.4549997E+03    2.3148146E-04
  6.4799999E+03    6.9444446E-04
  6.5050001E+03    9.2592585E-04
  6.5300002E+03    9.2592585E-04
  6.5549997E+03    9.2592585E-04
  6.5799999E+03    6.9444446E-04
  6.6050001E+03    9.2592585E-04
  6.6299996E+03    2.0833332E-03
  6.6549997E+03    4.3981480E-03
  6.6799999E+03    7.8703705E-03
  6.7050001E+03    1.2962963E-02
  6.7299996E+03    2.4074074E-02
  6.7549998E+03    4.5601852E-02
  6.7800000E+03    8.0787033E-02
  6.8049994E+03    1.3171296E-01
  6.8299996E+03    1.9699074E-01
  6.8549998E+03    2.7337962E-01
  6.8799993E+03    3.5925925E-01
  6.9049995E+03    4.5833331E-01
  6.9299997E+03    5.6666666E-01
  6.9549998E+03    6.7268515E-01
  6.9799993E+03    7.6157403E-01
  7.0050002E+03    8.2546294E-01
  7.0300004E+03    8.8634259E-01
  7.0549999E+03    9.4143510E-01
  7.0800001E+03    9.8263884E-01
  7.1050003E+03    1.0000000E+00
  7.1299997E+03    9.8425919E-01
  7.1549999E+03    9.3240738E-01
  7.1800001E+03    8.8981479E-01
  7.2049996E+03    9.0532404E-01
  7.2299998E+03    9.2847222E-01
  7.2549999E+03    9.2314810E-01
  7.2800001E+03    9.0833330E-01
  7.3049996E+03    9.0717590E-01
  7.3299998E+03    9.2314810E-01
  7.3550000E+03    9.2106473E-01
  7.3799994E+03    9.0972221E-01
  7.4049996E+03    9.0231484E-01
  7.4299998E+03    8.9629626E-01
  7.4550000E+03    8.8935184E-01
  7.4799995E+03    8.7939817E-01
  7.5049997E+03    8.6504626E-01
  7.5299999E+03    8.5300922E-01
  7.5549993E+03    8.5138887E-01
  7.5799995E+03    8.3402777E-01
  7.6049997E+03    3.5347223E-01
  7.6299992E+03    5.0370371E-01
  7.6550001E+03    6.3703704E-01
  7.6800003E+03    7.9490739E-01
  7.7049997E+03    7.8518516E-01
  7.7299999E+03    7.7800930E-01
  7.7550001E+03    7.6828700E-01
  7.7800003E+03    7.5740737E-01
  7.8049998E+03    7.4560189E-01
  7.8300000E+03    7.3449069E-01
  7.8550001E+03    7.2430557E-01
  7.8799996E+03    7.1643519E-01
  7.9049998E+03    7.1226853E-01
  7.9300000E+03    7.1180552E-01
  7.9549995E+03    7.1435183E-01
  7.9799996E+03    7.1712959E-01
  8.0049998E+03    7.1712959E-01
  8.0300000E+03    7.1203703E-01
  8.0549995E+03    6.9930553E-01
  8.0799997E+03    6.8032408E-01
  8.1049999E+03    6.5300924E-01
  8.1299993E+03    6.0115737E-01
  8.1549995E+03    5.1898146E-01
  8.1799997E+03    4.2013890E-01
  8.2049999E+03    3.1805554E-01
  8.2299994E+03    2.2523148E-01
  8.2549996E+03    1.5092592E-01
  8.2799997E+03    9.4907410E-02
  8.3049999E+03    5.4861110E-02
  8.3300001E+03    2.9629627E-02
  8.3550003E+03    1.7129630E-02
  8.3799998E+03    1.2268518E-02
  8.4050000E+03    8.3333328E-03
  8.4300002E+03    5.0925924E-03
  8.4549996E+03    3.2407406E-03
  8.4799998E+03    2.5462962E-03
  8.5050000E+03    2.3148148E-03
  8.5300002E+03    2.3148148E-03
  8.5549997E+03    2.0833332E-03
  8.5799998E+03    1.3888889E-03
  8.6050000E+03    6.9444446E-04
  8.6299995E+03    0.0000000E+00
