# wave[Angstroms]  norm_trans
  1.6666666E+06    4.8937730E-04
  1.6694490E+06    3.8007327E-04
  1.6722407E+06    2.7076923E-04
  1.6747614E+06    1.5633700E-04
  1.6775709E+06    2.4249084E-05
  1.6803900E+06    0.0000000E+00
  1.6832182E+06    0.0000000E+00
  1.6857719E+06    0.0000000E+00
  1.6886188E+06    0.0000000E+00
  1.6914750E+06    0.0000000E+00
  1.6943410E+06    1.0249084E-04
  1.6972166E+06    2.6461537E-04
  1.6998129E+06    4.3032967E-04
  1.7027074E+06    5.9589744E-04
  1.7056113E+06    6.0556777E-04
  1.7085254E+06    6.0087914E-04
  1.7114496E+06    6.1245420E-04
  1.7140899E+06    6.5523811E-04
  1.7170329E+06    6.9802196E-04
  1.7199863E+06    8.5142854E-04
  1.7229496E+06    1.0389744E-03
  1.7256254E+06    1.1566300E-03
  1.7286085E+06    9.7347982E-04
  1.7316017E+06    7.9018314E-04
  1.7346052E+06    5.8871793E-04
  1.7376194E+06    3.7567766E-04
  1.7403411E+06    1.7025640E-04
  1.7433751E+06    1.6146520E-04
  1.7464198E+06    1.5282050E-04
  1.7494751E+06    1.8783883E-04
  1.7525410E+06    2.7384615E-04
  1.7553098E+06    3.5985347E-04
  1.7583963E+06    3.0212454E-04
  1.7614936E+06    2.2593407E-04
  1.7646020E+06    1.5824176E-04
  1.7674088E+06    1.0908425E-04
  1.7705383E+06    5.9999998E-05
  1.7736785E+06    2.9523810E-04
  1.7768301E+06    6.3296704E-04
  1.7799929E+06    9.2981686E-04
  1.7828491E+06    1.0127473E-03
  1.7860333E+06    1.0955310E-03
  1.7892288E+06    8.5040292E-04
  1.7924359E+06    3.7157509E-04
  1.7956544E+06    0.0000000E+00
  1.7985610E+06    0.0000000E+00
  1.8018018E+06    0.0000000E+00
  1.8050542E+06    1.7655679E-04
  1.8083181E+06    8.2461536E-04
  1.8112659E+06    1.4725275E-03
  1.8145528E+06    1.6395604E-03
  1.8178513E+06    1.7274725E-03
  1.8211620E+06    1.6761905E-03
  1.8244846E+06    1.2685714E-03
  1.8274855E+06    8.6153846E-04
  1.8308312E+06    8.3384616E-04
  1.8341891E+06    9.6424908E-04
  1.8375598E+06    1.1110622E-03
  1.8409425E+06    1.3665934E-03
  1.8439976E+06    1.6219780E-03
  1.8474042E+06    1.9018315E-03
  1.8508237E+06    2.1992675E-03
  1.8542554E+06    2.4981685E-03
  1.8573551E+06    2.9333334E-03
  1.8608114E+06    3.3714287E-03
  1.8642802E+06    3.5780219E-03
  1.8677626E+06    3.4417582E-03
  1.8712573E+06    3.3054946E-03
  1.8744143E+06    3.1179488E-03
  1.8779343E+06    2.9172162E-03
  1.8814674E+06    2.8293040E-03
  1.8850140E+06    3.0725275E-03
  1.8885741E+06    3.3142858E-03
  1.8917896E+06    3.5311354E-03
  1.8953752E+06    3.7333332E-03
  1.8989746E+06    3.9076922E-03
  1.9025873E+06    3.8241758E-03
  1.9058509E+06    3.7406592E-03
  1.9094901E+06    3.5824175E-03
  1.9131431E+06    3.3553115E-03
  1.9168105E+06    3.1282052E-03
  1.9204916E+06    3.4446886E-03
  1.9238168E+06    3.7919413E-03
  1.9275250E+06    4.2109890E-03
  1.9312477E+06    4.7531137E-03
  1.9349843E+06    5.2937730E-03
  1.9383602E+06    5.6278389E-03
  1.9421246E+06    5.9091575E-03
  1.9459037E+06    6.2373625E-03
  1.9496977E+06    6.7355311E-03
  1.9535065E+06    7.2322343E-03
  1.9569471E+06    8.0234436E-03
  1.9607844E+06    8.9728935E-03
  1.9646365E+06    9.8959710E-03
  1.9685039E+06    1.0458608E-02
  1.9723864E+06    1.1022711E-02
  1.9758940E+06    1.1745055E-02
  1.9798059E+06    1.2630037E-02
  1.9837335E+06    1.3513553E-02
  1.9876763E+06    1.4974359E-02
  1.9912386E+06    1.6498169E-02
  1.9952113E+06    1.8153846E-02
  1.9992003E+06    2.0073259E-02
  2.0032050E+06    2.2007326E-02
  2.0072261E+06    2.4761906E-02
  2.0108586E+06    2.7765568E-02
  2.0149102E+06    3.1047620E-02
  2.0189783E+06    3.5457876E-02
  2.0230629E+06    3.9882783E-02
  2.0271638E+06    4.4923078E-02
  2.0308690E+06    5.0344322E-02
  2.0350020E+06    5.5897437E-02
  2.0391518E+06    6.4527474E-02
  2.0433184E+06    7.3157512E-02
  2.0470828E+06    8.3047621E-02
  2.0512819E+06    9.4344325E-02
  2.0554984E+06    1.0565568E-01
  2.0597322E+06    1.2149451E-01
  2.0639835E+06    1.3786080E-01
  2.0678246E+06    1.5706959E-01
  2.0721095E+06    1.8212454E-01
  2.0764120E+06    2.0717949E-01
  2.0807324E+06    2.3399267E-01
  2.0850709E+06    2.6153845E-01
  2.0889908E+06    2.8849816E-01
  2.0933639E+06    3.1311354E-01
  2.0977553E+06    3.3787546E-01
  2.1021651E+06    3.6600733E-01
  2.1061499E+06    3.9648351E-01
  2.1105951E+06    4.2710623E-01
  2.1150593E+06    4.6534798E-01
  2.1195421E+06    5.0358975E-01
  2.1240439E+06    5.3714287E-01
  2.1281123E+06    5.6468862E-01
  2.1326508E+06    5.9208792E-01
  2.1372089E+06    6.0073262E-01
  2.1417862E+06    6.0630035E-01
  2.1463834E+06    6.1245424E-01
  2.1505376E+06    6.2021977E-01
  2.1551725E+06    6.2783885E-01
  2.1598274E+06    6.3648349E-01
  2.1645021E+06    6.4556777E-01
  2.1687269E+06    6.5421247E-01
  2.1734405E+06    6.6021979E-01
  2.1781746E+06    6.6622710E-01
  2.1829294E+06    6.6930401E-01
  2.1877049E+06    6.7018312E-01
  2.1920210E+06    6.7091572E-01
  2.1968365E+06    6.8190473E-01
  2.2016730E+06    6.9289374E-01
  2.2065314E+06    6.9904763E-01
  2.2109220E+06    6.9787544E-01
