# wave[microns]    norm_trans
  1.0901544E+03    9.7326952E-01
  1.0914323E+03    9.6698558E-01
  1.0927094E+03    9.5393884E-01
  1.0939933E+03    9.7212946E-01
  1.0952763E+03    9.7303480E-01
  1.0965663E+03    9.7077984E-01
  1.0978593E+03    9.1183543E-01
  1.0991514E+03    9.7037643E-01
  1.1004506E+03    9.7427022E-01
  1.1017488E+03    9.7534001E-01
  1.1030541E+03    9.7569633E-01
  1.1043625E+03    9.7605991E-01
  1.1056700E+03    9.7467679E-01
  1.1069845E+03    9.7628832E-01
  1.1083022E+03    9.7705644E-01
  1.1096191E+03    9.7732151E-01
  1.1109431E+03    9.7751433E-01
  1.1122662E+03    9.7772181E-01
  1.1135966E+03    9.7772181E-01
  1.1149301E+03    9.7733623E-01
  1.1162628E+03    9.7740012E-01
  1.1176027E+03    9.7741795E-01
  1.1189417E+03    9.7676831E-01
  1.1202881E+03    9.7361320E-01
  1.1216377E+03    9.1560245E-01
  1.1229865E+03    9.7297293E-01
  1.1243426E+03    9.7643924E-01
  1.1256978E+03    9.7733933E-01
  1.1270605E+03    9.7767359E-01
  1.1284265E+03    9.7800261E-01
  1.1297916E+03    9.7794604E-01
  1.1311642E+03    9.7380596E-01
  1.1325359E+03    9.7681332E-01
  1.1339153E+03    9.7798795E-01
  1.1352979E+03    9.7451121E-01
  1.1366797E+03    9.2854124E-01
  1.1380692E+03    9.7313851E-01
  1.1394620E+03    9.7721988E-01
  1.1408540E+03    9.6813297E-01
  1.1422536E+03    9.8074269E-01
  1.1436524E+03    9.8159462E-01
  1.1450589E+03    9.8203576E-01
  1.1464689E+03    9.8233026E-01
  1.1478781E+03    9.8250103E-01
  1.1492950E+03    9.8252195E-01
  1.1507110E+03    9.8275876E-01
  1.1521351E+03    9.8287714E-01
  1.1535625E+03    9.8284680E-01
  1.1549892E+03    9.8257327E-01
  1.1564237E+03    9.8135781E-01
  1.1578574E+03    9.7136456E-01
  1.1592993E+03    9.5834613E-01
  1.1607445E+03    9.6683788E-01
  1.1621890E+03    9.8241198E-01
  1.1636415E+03    9.8348910E-01
  1.1650931E+03    9.8395121E-01
  1.1665530E+03    9.8400468E-01
  1.1680165E+03    9.8414296E-01
  1.1694792E+03    9.8430014E-01
  1.1709499E+03    9.8424780E-01
  1.1724199E+03    9.8404449E-01
  1.1738982E+03    9.8398787E-01
  1.1753802E+03    9.8394394E-01
  1.1768612E+03    9.8416603E-01
  1.1783506E+03    9.8425508E-01
  1.1798440E+03    9.8447412E-01
  1.1813363E+03    9.8517931E-01
  1.1828372E+03    9.8549157E-01
  1.1843372E+03    9.8577654E-01
  1.1858456E+03    9.8488176E-01
  1.1873580E+03    9.8505145E-01
  1.1888695E+03    9.8519820E-01
  1.1903895E+03    9.8437560E-01
  1.1919088E+03    9.8226732E-01
  1.1934366E+03    9.7307980E-01
  1.1949683E+03    9.8175812E-01
  1.1964993E+03    9.8331207E-01
  1.1980389E+03    9.7764111E-01
  1.1995776E+03    9.0789866E-01
  1.2011253E+03    9.7478259E-01
  1.2026768E+03    9.8436093E-01
  1.2042276E+03    9.8579961E-01
  1.2057871E+03    9.8334032E-01
  1.2073459E+03    9.6173167E-01
  1.2089136E+03    9.7562820E-01
  1.2104854E+03    9.8321462E-01
  1.2120564E+03    9.8778427E-01
  1.2136364E+03    9.8876190E-01
