# wave[microns]    norm_trans
  1.8420427E+02    2.2009599E-03
  1.8440936E+02    2.5627101E-03
  1.8461491E+02    2.3187101E-03
  1.8481977E+02    1.2333200E-03
  1.8502622E+02    1.0169100E-03
  1.8523201E+02    5.5952498E-04
  1.8543939E+02    2.3330401E-03
  1.8564724E+02    2.3016001E-03
  1.8585439E+02    1.9394100E-03
  1.8606319E+02    1.9417600E-03
  1.8627243E+02    1.0606500E-03
  1.8648100E+02    7.1177603E-04
  1.8669120E+02    1.2688000E-03
  1.8690186E+02    2.3606700E-04
  1.8711184E+02    1.5017299E-03
  1.8732344E+02    3.8907499E-04
  1.8753438E+02    1.5528901E-03
  1.8774694E+02    1.0884900E-03
  1.8796001E+02    2.1500701E-04
  1.8817236E+02    1.1798000E-03
  1.8838639E+02    2.1933899E-03
  1.8860090E+02    8.3146599E-04
  1.8881472E+02    1.1400600E-03
  1.8903021E+02    8.3377102E-04
  1.8924499E+02    1.2226900E-03
  1.8946146E+02    9.6863200E-04
  1.8967844E+02    1.9091200E-03
  1.8989470E+02    2.3758800E-03
  1.9011265E+02    1.8109600E-03
  1.9033113E+02    1.3913499E-03
  1.9054887E+02    1.8887400E-03
  1.9076834E+02    1.5185300E-03
  1.9098832E+02    1.4252600E-03
  1.9120758E+02    7.7697902E-04
  1.9142857E+02    1.2308300E-03
  1.9164884E+02    2.8299000E-03
  1.9187086E+02    2.6914501E-03
  1.9209337E+02    1.0444300E-03
  1.9231518E+02    4.7992301E-04
  1.9253874E+02    2.0977501E-03
  1.9276283E+02    2.8947301E-03
  1.9298619E+02    2.7356399E-03
  1.9321130E+02    1.6112300E-03
  1.9343695E+02    1.4353200E-03
  1.9366187E+02    1.8367900E-03
  1.9388858E+02    2.2066799E-03
  1.9411454E+02    2.6930701E-03
  1.9434232E+02    2.1580600E-03
  1.9457060E+02    1.4406299E-03
  1.9479819E+02    2.4232699E-03
  1.9502754E+02    2.9389199E-03
  1.9525746E+02    2.3485399E-03
  1.9548665E+02    1.9210100E-03
  1.9571764E+02    1.5132900E-03
  1.9594791E+02    2.0276899E-03
  1.9617998E+02    1.9031800E-03
  1.9641263E+02    5.9808698E-04
  1.9664453E+02    5.9140503E-04
  1.9687827E+02    1.3838700E-03
  1.9711256E+02    1.7352999E-03
  1.9734613E+02    1.5298600E-03
  1.9758153E+02    1.6017400E-03
  1.9781751E+02    2.3326799E-03
  1.9805276E+02    2.0939200E-03
  1.9828986E+02    1.2398800E-03
  1.9852622E+02    2.0879100E-03
  1.9876445E+02    2.6232300E-03
  1.9900327E+02    3.2056300E-03
  1.9924133E+02    3.3930801E-03
  1.9948129E+02    2.3354699E-03
  1.9972182E+02    1.9315700E-03
  1.9996162E+02    2.7983000E-03
  2.0020332E+02    3.3568300E-03
  2.0044426E+02    3.8467499E-03
  2.0068713E+02    2.2184800E-03
  2.0093058E+02    1.2456600E-03
  2.0117329E+02    2.3041000E-03
  2.0141791E+02    3.2673499E-03
  2.0166316E+02    2.2015499E-03
  2.0190762E+02    4.3037900E-04
  2.0215407E+02    1.2203600E-03
  2.0240109E+02    2.0087401E-03
  2.0264737E+02    1.6678800E-03
  2.0289561E+02    1.9849199E-03
  2.0314308E+02    1.6569300E-03
  2.0339253E+02    1.3055800E-03
  2.0364259E+02    1.0025901E-03
  2.0389190E+02    9.0223103E-04
  2.0414320E+02    3.1330300E-04
  2.0439513E+02    6.9995603E-04
  2.0464625E+02    1.2833400E-03
  2.0489942E+02    1.2332801E-03
  2.0515182E+02    2.4153800E-03
  2.0540623E+02    1.3815000E-03
  2.0566128E+02    1.5439900E-03
  2.0591555E+02    2.1469500E-03
  2.0617187E+02    1.9825100E-04
  2.0642881E+02    1.7973999E-03
  2.0668500E+02    1.0787300E-03
  2.0694323E+02    9.2333998E-04
  2.0720212E+02    1.0569900E-03
  2.0746021E+02    1.2351900E-03
  2.0772039E+02    1.7968400E-03
  2.0797979E+02    1.2781100E-03
  2.0824126E+02    6.1107101E-04
  2.0850342E+02    1.8235300E-03
  2.0876475E+02    2.4858599E-03
  2.0902823E+02    3.0652501E-03
  2.0929234E+02    2.9881201E-03
  2.0955568E+02    1.8288700E-03
  2.0982113E+02    8.3323102E-04
  2.1008728E+02    9.0757402E-04
  2.1035263E+02    2.5254400E-03
  2.1062011E+02    3.8494400E-03
  2.1088680E+02    2.9307900E-03
  2.1115564E+02    2.6869499E-03
  2.1142519E+02    1.7276600E-03
  2.1169391E+02    2.4656701E-04
  2.1196482E+02    1.9419400E-03
  2.1223642E+02    2.0563300E-03
  2.1250723E+02    1.4321700E-03
  2.1278022E+02    1.2437300E-03
  2.1305243E+02    1.8800700E-03
  2.1332683E+02    2.1540199E-03
  2.1360193E+02    2.2569201E-03
  2.1387623E+02    2.1616500E-03
  2.1415277E+02    1.8773600E-03
