# wave[microns]    norm_trans
  5.3999996E-01    0.0000000E+00
  5.4100001E-01    0.0000000E+00
  5.4200000E-01    0.0000000E+00
  5.4299998E-01    6.2507817E-05
  5.4399997E-01    6.2507817E-05
  5.4499996E-01    2.5003127E-04
  5.4600000E-01    5.0006254E-04
  5.4699999E-01    1.1251407E-03
  5.4799998E-01    2.1877736E-03
  5.4899997E-01    4.0005003E-03
  5.5000001E-01    7.1258908E-03
  5.5100000E-01    1.2064008E-02
  5.5199999E-01    1.9627454E-02
  5.5299997E-01    3.0753845E-02
  5.5399996E-01    4.6318289E-02
  5.5500001E-01    6.6945873E-02
  5.5599999E-01    9.3136646E-02
  5.5699998E-01    1.2501563E-01
  5.5799997E-01    1.6233279E-01
  5.5900002E-01    2.0490061E-01
  5.6000000E-01    2.5153145E-01
  5.6099999E-01    3.0003750E-01
  5.6199998E-01    3.5041881E-01
  5.6299996E-01    4.0211278E-01
  5.6400001E-01    4.5286909E-01
  5.6500000E-01    5.0200027E-01
  5.6599998E-01    5.4900616E-01
  5.6699997E-01    5.9376174E-01
  5.6799996E-01    6.3551694E-01
  5.6900001E-01    6.7408425E-01
  5.6999999E-01    7.1058887E-01
  5.7099998E-01    7.4303043E-01
  5.7199997E-01    7.7303416E-01
  5.7300001E-01    7.9978746E-01
  5.7400000E-01    8.2397807E-01
  5.7499999E-01    8.4523070E-01
  5.7599998E-01    8.6529565E-01
  5.7699996E-01    8.8229775E-01
  5.7800001E-01    8.9792472E-01
  5.7900000E-01    9.1136396E-01
  5.7999998E-01    9.2380297E-01
  5.8099997E-01    9.3455434E-01
  5.8199996E-01    9.4424301E-01
  5.8300000E-01    9.5249414E-01
  5.8399999E-01    9.5993257E-01
  5.8499998E-01    9.6668333E-01
  5.8599997E-01    9.7224653E-01
  5.8700001E-01    9.7712219E-01
  5.8800000E-01    9.8124766E-01
  5.8899999E-01    9.8537320E-01
  5.8999997E-01    9.8824859E-01
  5.9099996E-01    9.9037385E-01
  5.9200001E-01    9.9312419E-01
  5.9299999E-01    9.9512440E-01
  5.9399998E-01    9.9674964E-01
  5.9499997E-01    9.9793720E-01
  5.9599996E-01    9.9843729E-01
  5.9700000E-01    9.9931240E-01
  5.9799999E-01    1.0000000E+00
  5.9899998E-01    9.9968743E-01
  5.9999996E-01    9.9956250E-01
  6.0100001E-01    9.9906242E-01
  6.0200000E-01    9.9893737E-01
  6.0299999E-01    9.9799979E-01
  6.0399997E-01    9.9681216E-01
  6.0499996E-01    9.9587458E-01
  6.0600001E-01    9.9481183E-01
  6.0699999E-01    9.9324912E-01
  6.0799998E-01    9.9199903E-01
  6.0899997E-01    9.9056137E-01
  6.1000001E-01    9.8843610E-01
  6.1100000E-01    9.8643583E-01
  6.1199999E-01    9.8456055E-01
  6.1299998E-01    9.8256034E-01
  6.1399996E-01    9.8081017E-01
  6.1500001E-01    9.7824728E-01
  6.1600000E-01    9.7549695E-01
  6.1699998E-01    9.7318417E-01
  6.1799997E-01    9.7018385E-01
  6.1899996E-01    9.6880865E-01
  6.2000000E-01    9.6512061E-01
  6.2099999E-01    9.6218276E-01
  6.2199998E-01    9.5949495E-01
  6.2299997E-01    9.5636958E-01
  6.2400001E-01    9.5355672E-01
  6.2500000E-01    9.5005631E-01
  6.2599999E-01    9.4699341E-01
  6.2699997E-01    9.4368047E-01
  6.2799996E-01    9.4005501E-01
  6.2900001E-01    9.3692964E-01
  6.3000000E-01    9.3374175E-01
  6.3099998E-01    9.3067884E-01
  6.3199997E-01    9.2705339E-01
  6.3299996E-01    9.2299044E-01
  6.3400000E-01    9.1955245E-01
  6.3499999E-01    9.1655213E-01
  6.3599998E-01    9.1192651E-01
  6.3699996E-01    9.0898865E-01
  6.3800001E-01    9.0492564E-01
  6.3900000E-01    9.0161276E-01
  6.3999999E-01    8.9798731E-01
  6.4099997E-01    8.9448684E-01
  6.4199996E-01    8.8986129E-01
  6.4300001E-01    8.8629824E-01
  6.4399999E-01    8.8192272E-01
  6.4499998E-01    8.7829727E-01
  6.4599997E-01    8.7392175E-01
  6.4699996E-01    8.6973375E-01
  6.4800000E-01    8.6623329E-01
  6.4899999E-01    8.6210775E-01
  6.4999998E-01    8.5791975E-01
  6.5099996E-01    8.5341918E-01
  6.5200001E-01    8.4960622E-01
  6.5300000E-01    8.4473062E-01
  6.5399998E-01    8.4098011E-01
  6.5499997E-01    8.3585453E-01
  6.5599996E-01    8.3216655E-01
  6.5700001E-01    8.2741594E-01
  6.5799999E-01    8.2397807E-01
  6.5899998E-01    8.1947750E-01
  6.5999997E-01    8.1453931E-01
  6.6099995E-01    8.1022626E-01
  6.6200000E-01    8.0616331E-01
  6.6299999E-01    8.0191272E-01
  6.6399997E-01    7.9759973E-01
  6.6499996E-01    7.9284912E-01
  6.6600001E-01    7.8909862E-01
  6.6700000E-01    7.8384799E-01
  6.6799998E-01    7.7928489E-01
  6.6899997E-01    7.7503437E-01
  6.6999996E-01    7.7003378E-01
  6.7100000E-01    7.6553321E-01
  6.7199999E-01    7.6122016E-01
  6.7299998E-01    7.5628203E-01
  6.7399997E-01    7.5159395E-01
  6.7500001E-01    7.4678087E-01
  6.7600000E-01    7.4171776E-01
  6.7699999E-01    7.3677963E-01
  6.7799997E-01    7.3159146E-01
  6.7899996E-01    7.2596574E-01
  6.8000001E-01    7.2021508E-01
  6.8099999E-01    7.1421432E-01
  6.8199998E-01    7.0908868E-01
  6.8299997E-01    7.0358795E-01
  6.8399996E-01    6.9764972E-01
