# wave[microns]    norm_trans
  6.5999997E-01    0.0000000E+00
  6.6099995E-01    0.0000000E+00
  6.6200000E-01    0.0000000E+00
  6.6299999E-01    0.0000000E+00
  6.6399997E-01    0.0000000E+00
  6.6499996E-01    0.0000000E+00
  6.6600001E-01    0.0000000E+00
  6.6700000E-01    0.0000000E+00
  6.6799998E-01    0.0000000E+00
  6.6899997E-01    0.0000000E+00
  6.6999996E-01    0.0000000E+00
  6.7100000E-01    0.0000000E+00
  6.7199999E-01    0.0000000E+00
  6.7299998E-01    0.0000000E+00
  6.7399997E-01    0.0000000E+00
  6.7500001E-01    0.0000000E+00
  6.7600000E-01    0.0000000E+00
  6.7699999E-01    0.0000000E+00
  6.7799997E-01    0.0000000E+00
  6.7899996E-01    0.0000000E+00
  6.8000001E-01    0.0000000E+00
  6.8099999E-01    0.0000000E+00
  6.8199998E-01    0.0000000E+00
  6.8299997E-01    0.0000000E+00
  6.8399996E-01    0.0000000E+00
  6.8500000E-01    0.0000000E+00
  6.8599999E-01    0.0000000E+00
  6.8699998E-01    0.0000000E+00
  6.8799996E-01    0.0000000E+00
  6.8900001E-01    0.0000000E+00
  6.9000000E-01    0.0000000E+00
  6.9099998E-01    0.0000000E+00
  6.9199997E-01    0.0000000E+00
  6.9299996E-01    0.0000000E+00
  6.9400001E-01    5.4197604E-05
  6.9499999E-01    1.0839521E-04
  6.9599998E-01    2.1679042E-04
  6.9699997E-01    4.3358083E-04
  6.9799995E-01    8.1296411E-04
  6.9900000E-01    1.3549401E-03
  6.9999999E-01    2.2762993E-03
  7.0099998E-01    3.5770421E-03
  7.0199996E-01    5.4739583E-03
  7.0300001E-01    8.0754431E-03
  7.0400000E-01    1.1598288E-02
  7.0499998E-01    1.6313480E-02
  7.0599997E-01    2.2112623E-02
  7.0699996E-01    2.9700289E-02
  7.0800000E-01    3.8751289E-02
  7.0899999E-01    4.9753405E-02
  7.0999998E-01    6.2652431E-02
  7.1099997E-01    7.7231586E-02
  7.1199995E-01    9.4412230E-02
  7.1300000E-01    1.1278521E-01
  7.1399999E-01    1.3348870E-01
  7.1499997E-01    1.5619750E-01
  7.1599996E-01    1.8009864E-01
  7.1700001E-01    2.0567992E-01
  7.1799999E-01    2.3250774E-01
  7.1899998E-01    2.6041949E-01
  7.1999997E-01    2.8946942E-01
  7.2099996E-01    3.1954908E-01
  7.2200000E-01    3.4897837E-01
  7.2299999E-01    3.7987101E-01
  7.2399998E-01    4.1119725E-01
  7.2499996E-01    4.4095173E-01
  7.2600001E-01    4.6989322E-01
  7.2700000E-01    5.0046068E-01
  7.2799999E-01    5.2934802E-01
  7.2899997E-01    5.5758494E-01
  7.2999996E-01    5.8609289E-01
  7.3100001E-01    6.1270398E-01
  7.3199999E-01    6.3866454E-01
  7.3299998E-01    6.6343290E-01
  7.3399997E-01    6.8771344E-01
  7.3499995E-01    7.1101838E-01
  7.3600000E-01    7.3188442E-01
  7.3699999E-01    7.5247955E-01
  7.3799998E-01    7.7171969E-01
  7.3899996E-01    7.9014689E-01
  7.4000001E-01    8.0770689E-01
  7.4100000E-01    8.2472497E-01
  7.4199998E-01    8.4125525E-01
  7.4299997E-01    8.5507566E-01
  7.4399996E-01    8.6867923E-01
  7.4500000E-01    8.8206601E-01
  7.4599999E-01    8.9382690E-01
  7.4699998E-01    9.0526259E-01
  7.4799997E-01    9.1669828E-01
  7.4899995E-01    9.2509896E-01
  7.5000000E-01    9.3425834E-01
  7.5099999E-01    9.4054520E-01
  7.5199997E-01    9.4889170E-01
