# wave[microns]    norm_trans
  5.8499998E-01    0.0000000E+00
  5.8599997E-01    0.0000000E+00
  5.8700001E-01    0.0000000E+00
  5.8800000E-01    0.0000000E+00
  5.8899999E-01    5.2314936E-05
  5.8999997E-01    2.0925974E-04
  5.9099996E-01    4.7083446E-04
  5.9200001E-01    9.9398382E-04
  5.9299999E-01    1.9356527E-03
  5.9399998E-01    3.6620456E-03
  5.9499997E-01    6.5393671E-03
  5.9599996E-01    1.1195397E-02
  5.9700000E-01    1.8257914E-02
  5.9799999E-01    2.8511640E-02
  5.9899998E-01    4.2584360E-02
  5.9999996E-01    6.0946900E-02
  6.0100001E-01    8.3965473E-02
  6.0200000E-01    1.1127388E-01
  6.0299999E-01    1.4344756E-01
  6.0399997E-01    1.7933559E-01
  6.0499996E-01    2.1831024E-01
  6.0600001E-01    2.5995290E-01
  6.0699999E-01    3.0306044E-01
  6.0799998E-01    3.4799895E-01
  6.0899997E-01    3.9351296E-01
  6.1000001E-01    4.3907928E-01
  6.1100000E-01    4.8297149E-01
  6.1199999E-01    5.2586973E-01
  6.1299998E-01    5.6746012E-01
  6.1399996E-01    6.0884124E-01
  6.1500001E-01    6.4635110E-01
  6.1600000E-01    6.8281460E-01
  6.1699998E-01    7.1723783E-01
  6.1799997E-01    7.4836522E-01
  6.1899996E-01    7.7624905E-01
  6.2000000E-01    8.0151719E-01
  6.2099999E-01    8.2265240E-01
  6.2199998E-01    8.4043944E-01
  6.2299997E-01    8.5540152E-01
  6.2400001E-01    8.6607379E-01
  6.2500000E-01    8.7345022E-01
  6.2599999E-01    8.7747842E-01
  6.2699997E-01    8.7920481E-01
  6.2799996E-01    8.7794930E-01
  6.2900001E-01    8.7601364E-01
  6.3000000E-01    8.7151450E-01
  6.3099998E-01    8.6680621E-01
  6.3199997E-01    8.6152238E-01
  6.3299996E-01    8.5571545E-01
  6.3400000E-01    8.4964693E-01
  6.3499999E-01    8.4451997E-01
  6.3599998E-01    8.3881772E-01
  6.3699996E-01    8.3442324E-01
  6.3800001E-01    8.3165056E-01
  6.3900000E-01    8.2825011E-01
  6.3999999E-01    8.2573897E-01
