# wave[microns]    norm_trans
  6.5399998E-01    1.6249154E-03
  6.5410000E-01    1.3540962E-03
  6.5419996E-01    1.6249154E-03
  6.5429997E-01    1.3540962E-03
  6.5439999E-01    1.8957347E-03
  6.5450001E-01    2.0988490E-03
  6.5459996E-01    2.0311442E-03
  6.5469998E-01    1.9634394E-03
  6.5480000E-01    1.8957347E-03
  6.5489995E-01    2.0988490E-03
  6.5499997E-01    2.5050780E-03
  6.5509999E-01    2.6404874E-03
  6.5520000E-01    2.9113069E-03
  6.5529996E-01    3.1144212E-03
  6.5539998E-01    3.3175356E-03
  6.5549999E-01    3.3852404E-03
  6.5560001E-01    3.7914694E-03
  6.5569997E-01    4.2654029E-03
  6.5579998E-01    4.7393367E-03
  6.5590000E-01    5.0101560E-03
  6.5599996E-01    5.1455656E-03
  6.5609998E-01    5.8903182E-03
  6.5619999E-01    6.0257278E-03
  6.5630001E-01    7.1767094E-03
  6.5639997E-01    7.1767094E-03
  6.5649998E-01    7.5829388E-03
  6.5660000E-01    9.0047400E-03
  6.5669996E-01    9.9526066E-03
  6.5679997E-01    1.1442113E-02
  6.5689999E-01    1.1712932E-02
  6.5700001E-01    1.4691944E-02
  6.5709996E-01    1.5842924E-02
  6.5719998E-01    1.7738659E-02
  6.5730000E-01    2.0243738E-02
  6.5740001E-01    2.1462426E-02
  6.5749997E-01    2.5660122E-02
  6.5759999E-01    2.8232906E-02
  6.5770000E-01    3.1821258E-02
  6.5779996E-01    3.5612732E-02
  6.5789998E-01    4.0622886E-02
  6.5799999E-01    4.5159109E-02
  6.5810001E-01    5.4163847E-02
  6.5819997E-01    6.3033178E-02
  6.5829998E-01    7.1563981E-02
  6.5840000E-01    8.4495597E-02
  6.5849996E-01    9.7698040E-02
  6.5859997E-01    1.1658768E-01
  6.5869999E-01    1.3493569E-01
  6.5880001E-01    1.5903859E-01
  6.5889996E-01    1.8584971E-01
  6.5899998E-01    2.2295193E-01
  6.5910000E-01    2.6993906E-01
  6.5920001E-01    3.1076509E-01
  6.5929997E-01    3.7183478E-01
  6.5939999E-01    4.3500340E-01
  6.5950000E-01    5.0006771E-01
  6.5959996E-01    5.7217336E-01
  6.5969998E-01    6.4136767E-01
  6.5979999E-01    7.0670277E-01
  6.5990001E-01    7.7569401E-01
  6.5999997E-01    8.4319568E-01
  6.6009998E-01    8.9438057E-01
  6.6020000E-01    9.1611373E-01
  6.6029996E-01    9.3981045E-01
  6.6039997E-01    9.6601218E-01
  6.6049999E-01    9.8781312E-01
  6.6060001E-01    9.8381853E-01
  6.6069996E-01    1.0000000E+00
  6.6079998E-01    9.9817193E-01
  6.6090000E-01    9.9905211E-01
  6.6099995E-01    9.8436022E-01
  6.6109997E-01    9.4969535E-01
  6.6119999E-01    9.2457682E-01
  6.6130000E-01    8.8551116E-01
  6.6139996E-01    8.5287750E-01
  6.6149998E-01    7.9052138E-01
  6.6159999E-01    7.2660798E-01
  6.6170001E-01    6.5822613E-01
  6.6179997E-01    5.8293837E-01
  6.6189998E-01    5.1597834E-01
  6.6200000E-01    4.3974271E-01
  6.6209996E-01    3.8259986E-01
  6.6219997E-01    3.2721734E-01
  6.6229999E-01    2.7549085E-01
  6.6240001E-01    2.3344618E-01
  6.6249996E-01    1.9776574E-01
  6.6259998E-01    1.6932973E-01
  6.6270000E-01    1.4258632E-01
  6.6279995E-01    1.1875424E-01
  6.6289997E-01    1.0433311E-01
  6.6299999E-01    8.9505762E-02
  6.6310000E-01    7.7183478E-02
  6.6319996E-01    6.5470554E-02
  6.6329998E-01    5.7887614E-02
  6.6339999E-01    4.9763035E-02
  6.6350001E-01    4.3669600E-02
  6.6359997E-01    3.7711579E-02
  6.6369998E-01    3.3446174E-02
  6.6380000E-01    2.9857820E-02
  6.6389996E-01    2.6269466E-02
  6.6399997E-01    2.3628978E-02
  6.6409999E-01    2.0311443E-02
  6.6420001E-01    1.8077184E-02
  6.6429996E-01    1.7197020E-02
  6.6439998E-01    1.5910629E-02
  6.6450000E-01    1.3337848E-02
  6.6459996E-01    1.2389980E-02
  6.6469997E-01    1.1374407E-02
  6.6479999E-01    9.9526066E-03
  6.6490000E-01    8.8693295E-03
  6.6499996E-01    8.3276918E-03
  6.6509998E-01    7.8537576E-03
  6.6520000E-01    7.0412997E-03
  6.6530001E-01    7.1767094E-03
  6.6539997E-01    5.8226138E-03
  6.6549999E-01    5.2132700E-03
  6.6560000E-01    5.0101560E-03
  6.6569996E-01    4.4008126E-03
  6.6579998E-01    4.5362222E-03
  6.6589999E-01    4.0622884E-03
  6.6600001E-01    3.7237646E-03
  6.6609997E-01    3.2498308E-03
  6.6619998E-01    3.6560597E-03
  6.6630000E-01    3.1144212E-03
  6.6639996E-01    2.6404874E-03
  6.6649997E-01    2.5727828E-03
  6.6659999E-01    2.4373732E-03
  6.6670001E-01    2.1665539E-03
  6.6679996E-01    2.0988490E-03
  6.6689998E-01    2.0988490E-03
  6.6700000E-01    2.0988490E-03
  6.6710001E-01    1.9634394E-03
  6.6719997E-01    1.8280299E-03
  6.6729999E-01    1.5572106E-03
  6.6740000E-01    1.3540962E-03
  6.6749996E-01    1.3540962E-03
  6.6759998E-01    1.3540962E-03
  6.6769999E-01    1.4895058E-03
  6.6780001E-01    1.1509818E-03
  6.6789997E-01    1.2186866E-03
  6.6799998E-01    1.2863914E-03
