# wave[microns]    norm_trans
  6.3800001E-01    1.3913042E-04
  6.3809997E-01    2.0869565E-04
  6.3819999E-01    5.5652170E-04
  6.3830000E-01    6.9565221E-04
  6.3839996E-01    6.2608696E-04
  6.3849998E-01    9.0434781E-04
  6.3859999E-01    1.1826087E-03
  6.3870001E-01    1.6000001E-03
  6.3879997E-01    2.0173911E-03
  6.3889998E-01    2.8521740E-03
  6.3900000E-01    4.0347823E-03
  6.3909996E-01    5.4260870E-03
  6.3919997E-01    7.9304343E-03
  6.3929999E-01    1.1408696E-02
  6.3940001E-01    1.7808694E-02
  6.3949996E-01    2.8173914E-02
  6.3959998E-01    4.6539132E-02
  6.3970000E-01    8.2643479E-02
  6.3980001E-01    1.4671305E-01
  6.3989997E-01    2.6747826E-01
  6.3999999E-01    4.6079999E-01
  6.4010000E-01    6.8097389E-01
  6.4019996E-01    8.7798262E-01
  6.4029998E-01    9.5728695E-01
  6.4039999E-01    9.7279996E-01
  6.4050001E-01    9.8128694E-01
  6.4059997E-01    9.7947830E-01
  6.4069998E-01    9.8462605E-01
  6.4080000E-01    1.0000000E+00
  6.4089996E-01    9.8427832E-01
  6.4099997E-01    9.9241740E-01
  6.4109999E-01    9.8219132E-01
  6.4120001E-01    9.4671303E-01
  6.4129996E-01    8.4779131E-01
  6.4139998E-01    6.6059130E-01
  6.4150000E-01    4.5780867E-01
  6.4160001E-01    2.7791303E-01
  6.4169997E-01    1.5958261E-01
  6.4179999E-01    9.0643473E-02
  6.4190000E-01    5.4121740E-02
  6.4199996E-01    3.1652175E-02
  6.4209998E-01    1.9686956E-02
  6.4219999E-01    1.3634783E-02
  6.4230001E-01    9.0434775E-03
  6.4239997E-01    5.9130439E-03
  6.4249998E-01    4.5913043E-03
  6.4260000E-01    3.6869564E-03
  6.4269996E-01    2.2956522E-03
  6.4279997E-01    1.8086956E-03
  6.4289999E-01    1.2521739E-03
  6.4300001E-01    9.0434781E-04
