# wave[microns]    norm_trans
  1.7728100E+01    0.0000000E+00
  1.7758400E+01    1.9448000E-03
  1.7788900E+01    3.1796000E-03
  1.7819500E+01    2.5287000E-03
  1.7850100E+01    2.5207000E-03
  1.7880899E+01    4.3072999E-03
  1.7911800E+01    4.5042001E-03
  1.7942801E+01    2.7167001E-03
  1.7973900E+01    2.0862001E-03
  1.8005100E+01    2.8102000E-03
  1.8036400E+01    4.5950999E-03
  1.8067801E+01    5.6191999E-03
  1.8099300E+01    4.6171001E-03
  1.8131001E+01    5.1901001E-03
  1.8162701E+01    6.6469000E-03
  1.8194599E+01    5.0049000E-03
  1.8226601E+01    6.0266000E-03
  1.8258699E+01    8.1219999E-03
  1.8290899E+01    8.0746002E-03
  1.8323200E+01    7.7404999E-03
  1.8355600E+01    7.7332999E-03
  1.8388100E+01    9.3812002E-03
  1.8420799E+01    1.0785000E-02
  1.8453600E+01    1.2268000E-02
  1.8486500E+01    1.1570000E-02
  1.8519501E+01    9.5124999E-03
  1.8552601E+01    1.1295000E-02
  1.8585899E+01    1.1792000E-02
  1.8619200E+01    9.5782001E-03
  1.8652700E+01    1.2876000E-02
  1.8686300E+01    1.4380000E-02
  1.8720100E+01    1.1955000E-02
  1.8753901E+01    1.1949000E-02
  1.8787901E+01    1.0837000E-02
  1.8822001E+01    1.2651000E-02
  1.8856199E+01    1.7421000E-02
  1.8890600E+01    1.5102000E-02
  1.8924999E+01    1.3221000E-02
  1.8959600E+01    1.4991000E-02
  1.8994400E+01    1.7109999E-02
  1.9029200E+01    2.0528000E-02
  1.9064199E+01    2.0228000E-02
  1.9099300E+01    1.8310999E-02
  1.9134501E+01    1.8852999E-02
  1.9169901E+01    2.0721000E-02
  1.9205400E+01    2.3654001E-02
  1.9240999E+01    2.4067000E-02
  1.9276800E+01    2.5137000E-02
  1.9312700E+01    2.8471000E-02
  1.9348700E+01    2.8844999E-02
  1.9384899E+01    3.1171000E-02
  1.9421200E+01    3.4565002E-02
  1.9457600E+01    3.8077001E-02
  1.9494200E+01    4.3016002E-02
  1.9530899E+01    4.6108998E-02
  1.9567801E+01    5.0556000E-02
  1.9604799E+01    5.5893999E-02
  1.9641899E+01    5.9778001E-02
  1.9679199E+01    6.4281002E-02
  1.9716600E+01    6.7828998E-02
  1.9754101E+01    7.5015001E-02
  1.9791800E+01    8.3052002E-02
  1.9829700E+01    8.7352999E-02
  1.9867701E+01    9.4857000E-02
  1.9905800E+01    1.0502000E-01
  1.9944099E+01    1.1636000E-01
