# wave[microns]    norm_trans
  2.3907001E+00    2.6815999E-04
  2.3913000E+00    3.4691000E-04
  2.3917999E+00    1.6385000E-04
  2.3924000E+00    2.7565000E-04
  2.3929000E+00    3.0228001E-04
  2.3935001E+00    6.5797001E-05
  2.3940001E+00    2.4398000E-04
  2.3945999E+00    2.3146000E-04
  2.3951001E+00    2.1863000E-04
  2.3957000E+00    3.8437999E-04
  2.3961999E+00    3.9100999E-04
  2.3968000E+00    2.3198000E-04
  2.3973999E+00    2.9850000E-04
  2.3979001E+00    2.3948999E-04
  2.3984001E+00    2.4689999E-04
  2.3989999E+00    3.0062001E-04
  2.3996000E+00    5.3464999E-05
  2.4001000E+00    1.7365000E-04
  2.4007001E+00    1.6688000E-04
  2.4012001E+00    2.0726000E-04
  2.4017999E+00    2.4773000E-04
  2.4022999E+00    4.0200999E-04
  2.4029000E+00    3.2863001E-04
  2.4035001E+00    2.8894001E-04
  2.4040000E+00    2.4249000E-04
  2.4045999E+00    2.1631000E-04
  2.4051001E+00    2.4414000E-04
  2.4057000E+00    2.4443999E-04
  2.4063001E+00    3.9365000E-04
  2.4068000E+00    3.1182001E-04
  2.4073999E+00    4.6739000E-04
  2.4079001E+00    7.8623998E-04
  2.4085000E+00    5.2315998E-04
  2.4089999E+00    3.8166001E-04
  2.4096000E+00    5.1252003E-04
  2.4102001E+00    5.0639000E-04
  2.4107001E+00    5.0579000E-04
  2.4112999E+00    5.6001003E-04
  2.4117999E+00    4.8528999E-04
  2.4124000E+00    5.4049998E-04
  2.4130001E+00    7.0684002E-04
  2.4135001E+00    4.8210000E-04
  2.4140999E+00    3.3834000E-04
  2.4145999E+00    3.9418001E-04
  2.4152000E+00    4.0764999E-04
  2.4158001E+00    4.7584000E-04
  2.4163001E+00    5.5077998E-04
  2.4168999E+00    5.7823001E-04
  2.4175000E+00    4.4812000E-04
  2.4180000E+00    4.4900001E-04
  2.4186001E+00    5.5336999E-04
  2.4191999E+00    5.0481001E-04
  2.4196999E+00    6.9155003E-04
  2.4203000E+00    7.0725998E-04
  2.4209001E+00    4.1009000E-04
  2.4214001E+00    5.3755997E-04
  2.4219999E+00    6.6637999E-04
  2.4224999E+00    4.5652999E-04
  2.4231000E+00    5.4881000E-04
  2.4237001E+00    6.4803998E-04
  2.4242001E+00    5.2860001E-04
  2.4247999E+00    4.7977001E-04
  2.4254000E+00    5.2966003E-04
  2.4260001E+00    5.3599000E-04
  2.4265001E+00    5.4879999E-04
  2.4270999E+00    5.6179002E-04
  2.4275999E+00    5.2597001E-04
  2.4282000E+00    5.1936001E-04
  2.4288001E+00    6.3339999E-04
  2.4294000E+00    7.6219998E-04
  2.4298999E+00    7.3617999E-04
  2.4305000E+00    6.2398001E-04
  2.4310999E+00    5.7295000E-04
  2.4316001E+00    7.0585997E-04
  2.4322000E+00    7.9144997E-04
  2.4328001E+00    5.3765997E-04
  2.4333999E+00    4.9786002E-04
  2.4339001E+00    6.0784002E-04
  2.4345000E+00    5.9240003E-04
  2.4351001E+00    5.6915998E-04
  2.4356000E+00    6.1950000E-04
  2.4361999E+00    5.8528001E-04
  2.4368000E+00    4.2286000E-04
  2.4374001E+00    5.6202000E-04
  2.4379001E+00    8.9287001E-04
  2.4384999E+00    7.4377999E-04
  2.4391000E+00    6.2006002E-04
  2.4396000E+00    7.5641001E-04
  2.4402001E+00    7.2946999E-04
  2.4408000E+00    8.9179003E-04
  2.4414001E+00    6.6418003E-04
  2.4419000E+00    4.9696001E-04
  2.4425001E+00    9.2770997E-04
  2.4431000E+00    8.7236002E-04
  2.4437001E+00    8.2409999E-04
  2.4442000E+00    9.2585001E-04
  2.4447999E+00    8.7505003E-04
  2.4454000E+00    1.1117000E-03
  2.4460001E+00    1.2317999E-03
  2.4465001E+00    8.8091003E-04
  2.4470999E+00    7.3976000E-04
  2.4477000E+00    9.7348000E-04
  2.4482999E+00    9.9525996E-04
  2.4489000E+00    8.7824999E-04
  2.4493999E+00    1.1231001E-03
  2.4500000E+00    1.3111000E-03
  2.4505999E+00    1.2614999E-03
  2.4512000E+00    1.1752000E-03
  2.4518001E+00    1.1767000E-03
