# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  3.0200002E-01    0.0000000E+00
  3.0400002E-01    0.0000000E+00
  3.0600002E-01    0.0000000E+00
  3.0800003E-01    0.0000000E+00
  3.1000000E-01    0.0000000E+00
  3.1200001E-01    0.0000000E+00
  3.1400001E-01    0.0000000E+00
  3.1600001E-01    0.0000000E+00
  3.1800002E-01    0.0000000E+00
  3.2000002E-01    0.0000000E+00
  3.2200003E-01    0.0000000E+00
  3.2400000E-01    0.0000000E+00
  3.2600001E-01    0.0000000E+00
  3.2800001E-01    0.0000000E+00
  3.3000001E-01    0.0000000E+00
  3.3200002E-01    0.0000000E+00
  3.3400002E-01    0.0000000E+00
  3.3600003E-01    0.0000000E+00
  3.3800003E-01    0.0000000E+00
  3.4000000E-01    0.0000000E+00
  3.4200001E-01    0.0000000E+00
  3.4400001E-01    0.0000000E+00
  3.4600002E-01    0.0000000E+00
  3.4800002E-01    0.0000000E+00
  3.5000002E-01    0.0000000E+00
  3.5200003E-01    0.0000000E+00
  3.5400000E-01    0.0000000E+00
  3.5600001E-01    0.0000000E+00
  3.5800001E-01    0.0000000E+00
  3.6000001E-01    0.0000000E+00
  3.6200002E-01    3.4943860E-05
  3.6400002E-01    1.0483157E-04
  3.6600003E-01    3.6108654E-04
  3.6800003E-01    1.2113871E-03
  3.7000000E-01    4.8571960E-03
  3.7200001E-01    1.9358896E-02
  3.7400001E-01    5.8274705E-02
  3.7600002E-01    1.3289149E-01
  3.7800002E-01    2.4695989E-01
  3.8000003E-01    3.8626939E-01
  3.8200003E-01    5.2420449E-01
  3.8400000E-01    6.3913476E-01
  3.8600001E-01    7.1793324E-01
  3.8800001E-01    7.6578301E-01
  3.9000002E-01    7.9535711E-01
  3.9200002E-01    8.1526345E-01
  3.9400002E-01    8.3233941E-01
  3.9600003E-01    8.4659648E-01
  3.9800003E-01    8.5845405E-01
  4.0000001E-01    8.6886740E-01
  4.0200001E-01    8.7751013E-01
  4.0400001E-01    8.8590831E-01
  4.0600002E-01    8.9336300E-01
  4.0800002E-01    9.0172625E-01
  4.1000003E-01    9.1114944E-01
  4.1200003E-01    9.2032802E-01
  4.1400003E-01    9.2932022E-01
  4.1600001E-01    9.3619257E-01
  4.1800001E-01    9.4186509E-01
  4.2000002E-01    9.4707173E-01
  4.2200002E-01    9.5254630E-01
  4.2400002E-01    9.5839351E-01
  4.2600003E-01    9.6396130E-01
  4.2800003E-01    9.7033268E-01
  4.3000001E-01    9.7671574E-01
  4.3200001E-01    9.8281926E-01
  4.3400002E-01    9.8803753E-01
  4.3600002E-01    9.9067003E-01
  4.3800002E-01    9.9155527E-01
  4.4000003E-01    9.9199790E-01
  4.4200003E-01    9.9249876E-01
  4.4400004E-01    9.9306953E-01
  4.4600001E-01    9.9330246E-01
  4.4800001E-01    9.9310446E-01
  4.5000002E-01    9.9334902E-01
  4.5200002E-01    9.9530590E-01
  4.5400003E-01    9.9770534E-01
  4.5600003E-01    9.9907988E-01
  4.5800003E-01    9.9854398E-01
  4.6000001E-01    9.9662209E-01
  4.6200001E-01    9.9676186E-01
  4.6400002E-01    9.9919629E-01
  4.6600002E-01    1.0000000E+00
  4.6800002E-01    9.9442065E-01
  4.7000003E-01    9.7901046E-01
  4.7200003E-01    9.5220846E-01
  4.7400004E-01    9.0834230E-01
  4.7600001E-01    8.3527470E-01
  4.7800002E-01    7.1867871E-01
  4.8000002E-01    5.6067419E-01
  4.8200002E-01    3.8373014E-01
  4.8400003E-01    2.2086848E-01
  4.8600003E-01    1.0358524E-01
  4.8800004E-01    3.6807530E-02
  4.9000001E-01    8.5845413E-03
  4.9200001E-01    1.7006011E-03
  4.9400002E-01    5.1250990E-04
  4.9600002E-01    1.6307134E-04
  4.9800003E-01    5.8239762E-05
  5.0000000E-01    2.3295906E-05
  5.0200003E-01    0.0000000E+00
  5.0400001E-01    0.0000000E+00
  5.0600004E-01    0.0000000E+00
  5.0800002E-01    0.0000000E+00
  5.1000005E-01    0.0000000E+00
  5.1200002E-01    0.0000000E+00
  5.1400000E-01    0.0000000E+00
  5.1600003E-01    0.0000000E+00
  5.1800001E-01    0.0000000E+00
  5.2000004E-01    0.0000000E+00
  5.2200001E-01    0.0000000E+00
  5.2400005E-01    0.0000000E+00
  5.2600002E-01    0.0000000E+00
  5.2800000E-01    0.0000000E+00
  5.3000003E-01    0.0000000E+00
  5.3200001E-01    0.0000000E+00
  5.3400004E-01    0.0000000E+00
  5.3600001E-01    0.0000000E+00
