# wave[microns]    norm_trans
  5.0200003E-01    3.2856187E-05
  5.0400001E-01    3.2856187E-05
  5.0600004E-01    3.2856187E-05
  5.0800002E-01    3.2856187E-05
  5.1000005E-01    3.2856187E-05
  5.1200002E-01    3.2856187E-05
  5.1400000E-01    3.2856187E-05
  5.1600003E-01    3.2856187E-05
  5.1800001E-01    3.2856187E-05
  5.2000004E-01    3.2856187E-05
  5.2200001E-01    3.2856187E-05
  5.2400005E-01    3.2856187E-05
  5.2600002E-01    3.2856187E-05
  5.2800000E-01    3.2856187E-05
  5.3000003E-01    3.2856187E-05
  5.3200001E-01    3.2856187E-05
  5.3400004E-01    3.2856187E-05
  5.3600001E-01    3.2856187E-05
  5.3800005E-01    3.2856187E-05
  5.4000002E-01    3.2856187E-05
  5.4200006E-01    3.2856187E-05
  5.4400003E-01    3.2856187E-05
  5.4600000E-01    3.2856187E-05
  5.4800004E-01    3.2856187E-05
  5.5000001E-01    3.2856187E-05
  5.5200005E-01    3.2856187E-05
  5.5400002E-01    3.2856187E-05
  5.5600005E-01    3.2856187E-05
  5.5800003E-01    3.2856187E-05
  5.6000000E-01    3.2856187E-05
  5.6200004E-01    3.2856187E-05
  5.6400001E-01    3.2856187E-05
  5.6600004E-01    3.2856187E-05
  5.6800002E-01    3.2856187E-05
  5.7000005E-01    3.2856187E-05
  5.7200003E-01    3.2856187E-05
  5.7400000E-01    3.2856187E-05
  5.7600003E-01    3.2856187E-05
  5.7800001E-01    3.2856187E-05
  5.8000004E-01    3.2856187E-05
  5.8200002E-01    3.2856187E-05
  5.8400005E-01    3.2856187E-05
  5.8600003E-01    3.2856187E-05
  5.8800000E-01    3.2856187E-05
  5.9000003E-01    3.2856187E-05
  5.9200001E-01    3.2856187E-05
  5.9400004E-01    3.2856187E-05
  5.9600002E-01    3.2856187E-05
  5.9800005E-01    3.2856187E-05
  6.0000002E-01    3.2856187E-05
  6.0200006E-01    3.2856187E-05
  6.0400003E-01    3.2856187E-05
  6.0600001E-01    3.2856187E-05
  6.0800004E-01    3.2856187E-05
  6.1000001E-01    3.2856187E-05
  6.1200005E-01    3.2856187E-05
  6.1400002E-01    3.2856187E-05
  6.1600006E-01    3.2856187E-05
  6.1800003E-01    3.2856187E-05
  6.2000000E-01    3.2856187E-05
  6.2200004E-01    3.2856187E-05
  6.2400001E-01    3.2856187E-05
  6.2600005E-01    3.2856187E-05
  6.2800002E-01    3.2856187E-05
