# wave[microns]    norm_trans
  4.7660002E-01    1.0035236E-03
  4.7680002E-01    1.0369744E-03
  4.7700003E-01    1.0369744E-03
  4.7720003E-01    1.0369744E-03
  4.7740000E-01    1.0704250E-03
  4.7760004E-01    1.0704250E-03
  4.7780001E-01    1.0704250E-03
  4.7800002E-01    1.1261764E-03
  4.7820005E-01    1.1373266E-03
  4.7840002E-01    1.1596272E-03
  4.7860003E-01    1.1261764E-03
  4.7880000E-01    1.1261764E-03
  4.7900003E-01    1.2042283E-03
  4.7920004E-01    1.3045806E-03
  4.7940001E-01    1.3826324E-03
  4.7960004E-01    1.3826324E-03
  4.7980002E-01    1.3491816E-03
  4.8000002E-01    1.3491816E-03
  4.8020002E-01    1.4272335E-03
  4.8040003E-01    1.5164356E-03
  4.8060003E-01    1.5498863E-03
  4.8080000E-01    1.6167879E-03
  4.8100004E-01    1.6836893E-03
  4.8120004E-01    1.5944875E-03
  4.8140001E-01    1.6836893E-03
  4.8160002E-01    1.7728915E-03
  4.8180002E-01    1.7394407E-03
  4.8200002E-01    1.8732438E-03
  4.8220003E-01    1.9178450E-03
  4.8240003E-01    1.9066947E-03
  4.8260003E-01    1.9958967E-03
  4.8280001E-01    2.0404977E-03
  4.8300001E-01    2.0627982E-03
  4.8320004E-01    2.1296998E-03
  4.8340002E-01    2.1743008E-03
  4.8360002E-01    2.2969537E-03
  4.8380002E-01    2.3861560E-03
  4.8400003E-01    2.4307568E-03
  4.8420003E-01    2.5199589E-03
  4.8440000E-01    2.5868604E-03
  4.8460004E-01    2.6537622E-03
  4.8480001E-01    2.6760625E-03
  4.8500001E-01    2.7541143E-03
  4.8520005E-01    2.9102182E-03
  4.8540002E-01    3.0774721E-03
  4.8560002E-01    3.1778244E-03
  4.8580000E-01    3.2670267E-03
  4.8600003E-01    3.4565809E-03
  4.8620003E-01    3.5903840E-03
  4.8640001E-01    3.6572858E-03
  4.8660004E-01    3.7910889E-03
  4.8680001E-01    4.0029436E-03
  4.8700002E-01    4.2147986E-03
  4.8720002E-01    4.4378038E-03
  4.8740003E-01    4.6162084E-03
  4.8760003E-01    4.7611613E-03
  4.8780000E-01    4.9395654E-03
  4.8800004E-01    5.1737209E-03
  4.8820004E-01    5.4301769E-03
  4.8840001E-01    5.6977831E-03
  4.8860002E-01    6.0768924E-03
  4.8880002E-01    6.3444986E-03
  4.8900002E-01    6.7682085E-03
  4.8920003E-01    7.1919183E-03
  4.8940003E-01    7.4706753E-03
  4.8960003E-01    7.8609344E-03
  4.8980001E-01    8.3515458E-03
  4.9000001E-01    8.8867582E-03
  4.9020004E-01    9.3773697E-03
  4.9040002E-01    9.8122293E-03
  4.9060002E-01    1.0380893E-02
  4.9080002E-01    1.0960707E-02
  4.9100003E-01    1.1685474E-02
  4.9120003E-01    1.2521744E-02
  4.9140000E-01    1.3291111E-02
  4.9160004E-01    1.4138531E-02
  4.9180001E-01    1.5086303E-02
  4.9200001E-01    1.6011775E-02
  4.9220005E-01    1.7149102E-02
  4.9240002E-01    1.8498283E-02
  4.9260002E-01    1.9735962E-02
  4.9280000E-01    2.1163195E-02
  4.9300003E-01    2.2936087E-02
  4.9320003E-01    2.4753580E-02
  4.9340001E-01    2.6504172E-02
  4.9360004E-01    2.8444318E-02
  4.9380001E-01    3.0730121E-02
  4.9400002E-01    3.3250079E-02
  4.9420002E-01    3.6048796E-02
  4.9440002E-01    3.9204318E-02
  4.9460003E-01    4.2683199E-02
  4.9480000E-01    4.6753041E-02
  4.9500003E-01    5.1335804E-02
  4.9520004E-01    5.5851657E-02
  4.9540001E-01    6.0980778E-02
  4.9560001E-01    6.7124575E-02
  4.9580002E-01    7.3959678E-02
  4.9600002E-01    8.1664510E-02
  4.9620003E-01    8.9949161E-02
  4.9640003E-01    9.9482626E-02
  4.9660003E-01    1.1045448E-01
  4.9680001E-01    1.2227376E-01
  4.9700001E-01    1.3572098E-01
  4.9720004E-01    1.5169930E-01
  4.9740002E-01    1.6966237E-01
  4.9760002E-01    1.8948753E-01
  4.9780002E-01    2.1166541E-01
  4.9800003E-01    2.3693191E-01
  4.9820003E-01    2.6528701E-01
  4.9840000E-01    2.9681996E-01
  4.9860004E-01    3.3148611E-01
  4.9880001E-01    3.6867222E-01
  4.9900001E-01    4.0998396E-01
  4.9920005E-01    4.5514250E-01
  4.9940002E-01    5.0286561E-01
  4.9960002E-01    5.5211633E-01
  4.9980003E-01    6.0174614E-01
  5.0000000E-01    6.5040588E-01
  5.0020003E-01    6.9989073E-01
  5.0040001E-01    7.4774760E-01
  5.0060004E-01    7.9165739E-01
  5.0080001E-01    8.3189869E-01
  5.0100005E-01    8.6728960E-01
  5.0120002E-01    8.9777440E-01
  5.0139999E-01    9.2212659E-01
  5.0160003E-01    9.3963248E-01
  5.0180000E-01    9.5262253E-01
  5.0200003E-01    9.6525580E-01
  5.0220001E-01    9.7470009E-01
  5.0240004E-01    9.7835732E-01
  5.0260001E-01    9.7842425E-01
  5.0279999E-01    9.7985148E-01
  5.0300002E-01    9.8224884E-01
  5.0320005E-01    9.8233801E-01
  5.0340003E-01    9.8273945E-01
  5.0360000E-01    9.8573881E-01
  5.0380003E-01    9.8757863E-01
  5.0400001E-01    9.8916197E-01
  5.0420004E-01    9.9252933E-01
  5.0440001E-01    9.9490434E-01
  5.0460005E-01    9.9771416E-01
  5.0480002E-01    1.0000000E+00
  5.0500000E-01    9.9920833E-01
  5.0520003E-01    9.9605286E-01
  5.0540000E-01    9.9097943E-01
  5.0560004E-01    9.8159093E-01
  5.0580001E-01    9.6623701E-01
  5.0600004E-01    9.4401461E-01
  5.0620002E-01    9.1815710E-01
  5.0639999E-01    8.8757193E-01
  5.0660002E-01    8.4834534E-01
  5.0680000E-01    8.0604124E-01
  5.0700003E-01    7.5966728E-01
  5.0720006E-01    7.0985907E-01
  5.0740004E-01    6.5948218E-01
  5.0760001E-01    6.0666341E-01
  5.0779998E-01    5.5518264E-01
  5.0800002E-01    5.0502878E-01
  5.0820005E-01    4.5650285E-01
  5.0840002E-01    4.1299453E-01
  5.0860006E-01    3.7283128E-01
  5.0880003E-01    3.3492041E-01
  5.0900000E-01    3.0041033E-01
  5.0920004E-01    2.7005932E-01
  5.0940001E-01    2.4306454E-01
  5.0960004E-01    2.1815486E-01
  5.0980002E-01    1.9632265E-01
  5.1000005E-01    1.7635253E-01
  5.1020002E-01    1.5814415E-01
  5.1040000E-01    1.4303555E-01
  5.1060003E-01    1.2977789E-01
  5.1080000E-01    1.1737880E-01
  5.1100004E-01    1.0630660E-01
  5.1120001E-01    9.6761972E-02
  5.1140004E-01    8.8120513E-02
  5.1160002E-01    8.0527186E-02
  5.1179999E-01    7.3859334E-02
  5.1200002E-01    6.7626335E-02
  5.1220006E-01    6.2017750E-02
  5.1240003E-01    5.6933232E-02
  5.1260000E-01    5.2417379E-02
  5.1280004E-01    4.8392136E-02
  5.1300001E-01    4.4779446E-02
  5.1320004E-01    4.1445520E-02
  5.1340008E-01    3.8200796E-02
  5.1359999E-01    3.5625085E-02
  5.1380002E-01    3.3093974E-02
  5.1400000E-01    3.0863922E-02
  5.1420003E-01    2.8734222E-02
  5.1440006E-01    2.6693726E-02
  5.1459998E-01    2.5032336E-02
  5.1480001E-01    2.3426700E-02
  5.1500005E-01    2.2099817E-02
  5.1520002E-01    2.0672584E-02
  5.1540005E-01    1.9223049E-02
  5.1560003E-01    1.8108023E-02
  5.1580000E-01    1.7149102E-02
  5.1600003E-01    1.6078677E-02
  5.1620007E-01    1.5075153E-02
  5.1640004E-01    1.4328085E-02
  5.1660001E-01    1.3525267E-02
  5.1679999E-01    1.2677846E-02
  5.1700002E-01    1.2042282E-02
  5.1720005E-01    1.1417868E-02
  5.1740003E-01    1.0737701E-02
  5.1760000E-01    1.0258241E-02
  5.1780003E-01    9.7453287E-03
  5.1800001E-01    9.2770178E-03
  5.1820004E-01    8.8867582E-03
  5.1840007E-01    8.4853489E-03
  5.1859999E-01    7.9835868E-03
  5.1880002E-01    7.5487266E-03
  5.1900005E-01    7.3814727E-03
  5.1920003E-01    7.1138670E-03
  5.1940006E-01    6.7236074E-03
  5.1959997E-01    6.3444986E-03
  5.1980001E-01    6.0768924E-03
  5.2000004E-01    5.9430893E-03
  5.2020001E-01    5.7869856E-03
  5.2040005E-01    5.5974307E-03
  5.2060002E-01    5.3409752E-03
  5.2079999E-01    5.0845193E-03
  5.2100003E-01    4.8949649E-03
  5.2120006E-01    4.6496587E-03
  5.2140003E-01    4.4712545E-03
  5.2160001E-01    4.2705499E-03
  5.2180004E-01    4.1367467E-03
  5.2200001E-01    4.1144462E-03
  5.2220005E-01    3.8914413E-03
  5.2240002E-01    3.6572858E-03
  5.2260000E-01    3.5680835E-03
  5.2280003E-01    3.5234827E-03
  5.2300000E-01    3.5011822E-03
  5.2320004E-01    3.3562286E-03
  5.2340007E-01    3.1666742E-03
  5.2359998E-01    3.0774721E-03
  5.2380002E-01    3.0440213E-03
  5.2400005E-01    2.9102182E-03
  5.2420002E-01    2.7875653E-03
  5.2440006E-01    2.7875653E-03
  5.2460003E-01    2.7429643E-03
  5.2480000E-01    2.6537622E-03
  5.2500004E-01    2.5199589E-03
  5.2520001E-01    2.4307568E-03
  5.2540004E-01    2.4865083E-03
  5.2560002E-01    2.3861560E-03
  5.2579999E-01    2.2077516E-03
  5.2600002E-01    2.2412026E-03
  5.2620006E-01    2.1966014E-03
  5.2640003E-01    2.0070472E-03
  5.2660000E-01    2.0070472E-03
  5.2680004E-01    1.9958967E-03
  5.2700001E-01    1.9066947E-03
  5.2720004E-01    1.9066947E-03
  5.2740008E-01    1.8732438E-03
  5.2759999E-01    1.8397932E-03
  5.2780002E-01    1.7728915E-03
