# wave[microns]    norm_trans
  7.5650007E-01    4.3359023E-04
  7.5660002E-01    2.1679512E-05
  7.5670004E-01    2.2763487E-04
  7.5680000E-01    6.8290462E-04
  7.5690007E-01    2.1679512E-04
  7.5700003E-01    1.0622961E-03
  7.5709999E-01    1.4091682E-03
  7.5720006E-01    1.0406165E-03
  7.5730002E-01    1.1923731E-03
  7.5740004E-01    1.1381743E-03
  7.5750005E-01    1.1923731E-03
  7.5760001E-01    8.5634075E-04
  7.5770003E-01    1.3224502E-03
  7.5780004E-01    9.7557809E-04
  7.5790006E-01    1.2574117E-03
  7.5800002E-01    1.8969573E-03
  7.5810003E-01    1.4416876E-03
  7.5820005E-01    1.3224502E-03
  7.5830001E-01    8.2382141E-04
  7.5840008E-01    5.7450705E-04
  7.5850004E-01    8.8886003E-04
  7.5860000E-01    1.1598539E-03
  7.5870007E-01    1.5067260E-03
  7.5880003E-01    1.5500851E-03
  7.5890005E-01    1.3766490E-03
  7.5900006E-01    1.3766490E-03
  7.5910002E-01    1.5500851E-03
  7.5920004E-01    1.9403164E-03
  7.5930005E-01    2.0378740E-03
  7.5940007E-01    1.8969573E-03
  7.5950003E-01    2.0812331E-03
  7.5959998E-01    2.3630667E-03
  7.5970006E-01    2.4281053E-03
  7.5980002E-01    2.6774197E-03
  7.5990003E-01    2.6774197E-03
  7.6000005E-01    2.5690221E-03
  7.6010001E-01    3.2085679E-03
  7.6020002E-01    3.4687219E-03
  7.6030004E-01    3.0459713E-03
  7.6040006E-01    3.5229207E-03
  7.6050001E-01    3.8589532E-03
  7.6060003E-01    3.4362026E-03
  7.6070005E-01    3.9239917E-03
  7.6080000E-01    4.2708637E-03
  7.6090008E-01    3.5229207E-03
  7.6100004E-01    3.1543691E-03
  7.6109999E-01    3.6529980E-03
  7.6120007E-01    4.7261333E-03
  7.6130003E-01    5.6366730E-03
  7.6140004E-01    5.8751479E-03
  7.6150006E-01    5.1922430E-03
  7.6160002E-01    5.0404868E-03
  7.6170003E-01    5.7559106E-03
  7.6180005E-01    6.0052252E-03
  7.6190007E-01    6.3520973E-03
  7.6200002E-01    7.0241620E-03
  7.6210004E-01    7.1433992E-03
  7.6220006E-01    6.9157644E-03
  7.6230001E-01    7.4794316E-03
  7.6240003E-01    8.0430992E-03
  7.6250005E-01    8.5525671E-03
  7.6260000E-01    9.9292165E-03
  7.6270002E-01    1.0005095E-02
  7.6280004E-01    9.3655493E-03
  7.6290005E-01    1.0482044E-02
  7.6300001E-01    1.0872276E-02
  7.6310003E-01    1.0687999E-02
  7.6320004E-01    1.1479302E-02
  7.6330000E-01    1.2487398E-02
  7.6340008E-01    1.3690612E-02
  7.6350003E-01    1.4601151E-02
  7.6359999E-01    1.4742068E-02
  7.6370007E-01    1.4904665E-02
  7.6380002E-01    1.6075358E-02
  7.6390004E-01    1.7712161E-02
  7.6400006E-01    1.8926214E-02
  7.6410002E-01    1.9880112E-02
  7.6420003E-01    2.1300120E-02
  7.6430005E-01    2.2362417E-02
  7.6440006E-01    2.3869142E-02
  7.6450002E-01    2.6579080E-02
  7.6460004E-01    2.8551918E-02
  7.6470006E-01    2.9375739E-02
  7.6480001E-01    3.0687351E-02
  7.6490009E-01    3.3462327E-02
  7.6500005E-01    3.5706155E-02
  7.6510000E-01    3.7451357E-02
  7.6520002E-01    3.9890304E-02
  7.6530004E-01    4.3760099E-02
