# wave[microns]    norm_trans
  6.8004996E-01    0.0000000E+00
  6.8010998E-01    1.0461271E-03
  6.8267000E-01    2.0891593E-03
  6.8520999E-01    2.0852939E-03
  6.8770999E-01    2.5837582E-03
  6.9017994E-01    5.3859735E-03
  6.9260997E-01    1.6932175E-02
  6.9507003E-01    6.6589355E-02
  6.9742996E-01    2.6939812E-01
  6.9976002E-01    7.2927439E-01
  7.0203996E-01    9.8214340E-01
  7.0458996E-01    9.6222848E-01
  7.0717996E-01    9.7668737E-01
  7.0978999E-01    1.0000000E+00
  7.1232998E-01    9.9895400E-01
  7.1483999E-01    9.8385227E-01
  7.1732002E-01    9.2377585E-01
  7.1977001E-01    8.7484187E-01
  7.2219998E-01    9.5914614E-01
  7.2463995E-01    9.0552795E-01
  7.2701001E-01    8.8502151E-01
  7.2933996E-01    8.8837296E-01
  7.3163998E-01    9.0425569E-01
  7.3390001E-01    9.4344139E-01
  7.3613995E-01    9.5137364E-01
  7.3837996E-01    9.6290016E-01
  7.4053997E-01    9.6652520E-01
  7.4265999E-01    9.6559066E-01
  7.4474996E-01    9.6100718E-01
  7.4710000E-01    9.6333325E-01
  7.4945998E-01    9.5724601E-01
  7.5185001E-01    9.5511931E-01
  7.5414997E-01    9.5257968E-01
  7.5642997E-01    9.4448495E-01
  7.5867999E-01    9.1926473E-01
  7.6089996E-01    2.8213546E-01
  7.6308995E-01    4.5276815E-01
  7.6528996E-01    6.6007566E-01
  7.6741999E-01    8.2581490E-01
  7.6950997E-01    8.7434441E-01
  7.7156001E-01    8.8568944E-01
  7.7357996E-01    8.8049245E-01
  7.7556998E-01    8.7985915E-01
  7.7759999E-01    8.8072866E-01
  7.7980000E-01    8.7592924E-01
  7.8197002E-01    8.6532384E-01
  7.8411001E-01    8.4608907E-01
  7.8622001E-01    8.2768458E-01
  7.8830999E-01    8.0992228E-01
  7.9039997E-01    8.0164474E-01
  7.9241997E-01    7.9867792E-01
  7.9440999E-01    8.0389625E-01
  7.9636002E-01    7.9407501E-01
  7.9827994E-01    7.9368824E-01
  8.0035996E-01    7.8484815E-01
  8.0241001E-01    7.7860475E-01
  8.0442995E-01    7.7200544E-01
  8.0642998E-01    7.6550931E-01
  8.0838996E-01    7.5689214E-01
  8.1032002E-01    7.3893350E-01
  8.1225997E-01    7.1768582E-01
  8.1412995E-01    6.8059820E-01
  8.1595999E-01    6.5894842E-01
  8.1774998E-01    6.3733131E-01
  8.1950992E-01    6.6256243E-01
  8.2137001E-01    6.8825459E-01
  8.2332999E-01    6.0428548E-01
  8.2522994E-01    6.7673934E-01
  8.2709002E-01    6.5939242E-01
  8.2892001E-01    6.3521641E-01
  8.3072001E-01    6.4151883E-01
  8.3249003E-01    6.2801504E-01
  8.3425993E-01    6.3061529E-01
  8.3594996E-01    6.2591738E-01
  8.3760995E-01    6.2314105E-01
  8.3922994E-01    6.1988223E-01
  8.4082001E-01    6.1304832E-01
  8.4244996E-01    6.1092424E-01
  8.4427994E-01    5.9847951E-01
  8.4604001E-01    5.9290922E-01
  8.4776998E-01    5.8195347E-01
  8.4945995E-01    5.6094205E-01
  8.5112000E-01    5.0856811E-01
  8.5275000E-01    4.0535802E-01
  8.5437000E-01    2.6240006E-01
  8.5592997E-01    1.4968950E-01
  8.5744995E-01    8.0009177E-02
  8.5892993E-01    4.3492023E-02
  8.6036998E-01    2.4823077E-02
  8.6177999E-01    1.4737889E-02
  8.6316997E-01    9.7270785E-03
  8.6449003E-01    6.9539822E-03
  8.6577994E-01    5.2786297E-03
  8.6702001E-01    4.1879751E-03
  8.6821997E-01    3.6311690E-03
  8.6937994E-01    3.0825192E-03
  8.7050992E-01    3.0584461E-03
  8.7157995E-01    3.0312371E-03
  8.7260991E-01    3.0055342E-03
  8.7342000E-01    0.0000000E+00
